binary_variable,tree_count,total_binary_variables
yr <= 0.5,11,68
hr <= 6.5,10,68
hr <= 5.5,10,68
hr <= 0.5,7,68
workingday <= 0.5,5,68
hr <= 22.5,3,68
hr <= 21.5,3,68
temp <= 0.45000000298023224,2,68
hr <= 20.5,2,68
temp <= 0.4699999988079071,2,68
temp <= 0.3100000023841858,2,68
hr <= 19.5,2,68
season <= 1.5,2,68
temp <= 0.3700000047683716,1,68
atemp <= 0.3409000039100647,1,68
hum <= 0.8050000071525574,1,68
hum <= 0.8149999976158142,1,68
atemp <= 0.31059999763965607,1,68
weathersit <= 2.5,1,68
season <= 2.5,1,68
atemp <= 0.4317999929189682,1,68
hum <= 0.7400000095367432,1,68
