binary_variable,tree_count,total_binary_variables,importance
yr <= 0.5,11,68,0.056062957042132704
hr <= 6.5,10,68,0.46312086987025936
hr <= 5.5,10,68,0.018607474161042338
hr <= 0.5,7,68,0.0008096801679913968
workingday <= 0.5,5,68,0.021720461568918346
hr <= 22.5,3,68,0.03102661626161084
hr <= 21.5,3,68,0.0372509058445047
temp <= 0.45000000298023224,2,68,0.024602904482848197
hr <= 20.5,2,68,0.01619561929854328
temp <= 0.4699999988079071,2,68,0.02542059365574621
temp <= 0.3100000023841858,2,68,0.022505945966429273
hr <= 19.5,2,68,0.010010662780357308
season <= 1.5,2,68,0.03232570264503581
temp <= 0.3700000047683716,1,68,0.02624119438392082
atemp <= 0.3409000039100647,1,68,0.018382205568217992
hum <= 0.8050000071525574,1,68,0.00661862552562371
hum <= 0.8149999976158142,1,68,0.0032503475772678436
atemp <= 0.31059999763965607,1,68,0.009248239113817353
weathersit <= 2.5,1,68,0.025567465354266735
season <= 2.5,1,68,0.004464753190719423
atemp <= 0.4317999929189682,1,68,0.000812126768145148
hum <= 0.7400000095367432,1,68,0.005461934271598681
