binary_variable,tree_count,total_binary_variables,importance
texture_mean <= 14.990000247955322,4,22,0.02118490553571934
radius_worst <= 16.795000076293945,4,22,0.2836308067641498
concave points_worst <= 0.16029999405145645,3,22,0.025806956938518835
concave points_mean <= 0.05127999931573868,3,22,0.15142443349413423
perimeter_worst <= 112.79999923706055,2,22,0.17094482821023882
concave points_worst <= 0.14169999957084656,2,22,0.05852643242490906
concavity_worst <= 0.2248000055551529,2,22,0.012681437802285015
concavity_worst <= 0.20795000344514847,2,22,0.010648158764142776
perimeter_worst <= 114.45000076293945,1,22,0.09327357686225711
concave points_worst <= 0.17584999650716782,1,22,0.016237614435787324
area_worst <= 953.7000122070312,1,22,0.007593747606110097
area_mean <= 696.25,1,22,0.0116422989234195
concave points_mean <= 0.0559299997985363,1,22,0.03572766062963871
texture_mean <= 15.87999963760376,1,22,0.011612404615756735
area_se <= 34.404998779296875,1,22,0.012529401609689074
smoothness_worst <= 0.1782499998807907,1,22,0.008914209306113863
