binary_variable,tree_count,total_binary_variables,importance
age <= 22.5,5,18,0.10965328078970168
priors_count <= 2.5,4,18,0.24053472257829295
age <= 33.5,4,18,0.06856008247004858
priors_count <= 1.5,3,18,0.11180787263076357
priors_count <= 8.5,2,18,0.017413059374539113
age <= 36.5,2,18,0.020136096723307562
priors_count <= 5.5,2,18,0.06198339717281516
priors_count <= 9.5,2,18,0.01896100089583836
age <= 24.5,1,18,0.05014959974119424
priors_count <= 3.5,1,18,0.0543488565800591
age <= 29.5,1,18,0.04197154934677616
age <= 34.5,1,18,0.01950052891952914
age <= 20.5,1,18,0.03881842056015287
age <= 38.5,1,18,0.029698719295113432
