binary_variable,tree_count,total_binary_variables,importance
MSinceMostRecentInqexcl7days <= 0.5,9,284,0.04116764478042145
ExternalRiskEstimate <= 70.5,4,284,0.1059515695673879
MSinceMostRecentInqexcl7days <= 1.5,4,284,0.01911606067467339
ExternalRiskEstimate <= 74.5,3,284,0.19109210376065583
ExternalRiskEstimate <= 73.5,3,284,0.13872828274235385
ExternalRiskEstimate <= 78.5,3,284,0.02847267953697279
ExternalRiskEstimate <= 63.5,3,284,0.014582670967520542
MSinceMostRecentInqexcl7days <= -7.5,3,284,0.03581436067748204
NumSatisfactoryTrades <= 15.5,2,284,0.0065644497987933405
ExternalRiskEstimate <= 67.5,2,284,0.0276726082188537
PercentTradesWBalance <= 47.5,2,284,0.01426690844182594
NumSatisfactoryTrades <= 9.5,2,284,0.0043353936034473
NetFractionRevolvingBurden <= 57.5,2,284,0.005926136792299104
ExternalRiskEstimate <= 81.5,1,284,0.006020951731138957
MSinceOldestTradeOpen <= 138.5,1,284,0.0018042822187590056
AverageMInFile <= 49.5,1,284,0.0056016751537632725
PercentTradesWBalance <= 73.5,1,284,0.00665330522819157
ExternalRiskEstimate <= 80.5,1,284,0.004206216856082457
NumSatisfactoryTrades <= 27.5,1,284,0.005824563878012801
PercentInstallTrades <= 43.5,1,284,0.00439219874309884
AverageMInFile <= 59.5,1,284,0.004653432374366724
NetFractionRevolvingBurden <= 47.5,1,284,0.005464192279758334
AverageMInFile <= 64.5,1,284,0.005787480832754322
NetFractionRevolvingBurden <= 37.5,1,284,0.008528878325590475
AverageMInFile <= 42.5,1,284,0.00822820027420686
ExternalRiskEstimate <= 62.5,1,284,0.0034007045504290106
NetFractionRevolvingBurden <= 59.5,1,284,0.004603017404466962
AverageMInFile <= 88.5,1,284,0.0014764788157076282
PercentInstallTrades <= 45.5,1,284,0.0042720829248671065
AverageMInFile <= 63.5,1,284,0.004440493385279623
PercentInstallTrades <= 53.5,1,284,0.001584833253250895
PercentTradesWBalance <= 43.5,1,284,0.0024646909238719887
NumSatisfactoryTrades <= 18.5,1,284,0.005743850556329975
MSinceOldestTradeOpen <= 392.0,1,284,0.0007792550717601742
ExternalRiskEstimate <= 75.5,1,284,0.029672533314658103
PercentTradesWBalance <= 81.5,1,284,0.003721855855354899
AverageMInFile <= 57.5,1,284,0.0017174610025845645
ExternalRiskEstimate <= 84.5,1,284,0.0034916192175246208
PercentTradesWBalance <= 2.0,1,284,0.0013314176047229329
NumSatisfactoryTrades <= 19.5,1,284,0.003041761427995351
PercentTradesWBalance <= 24.0,1,284,0.003509496312100241
