binary_variable,tree_count,total_binary_variables,importance
word_freq_hp <= 0.38499999046325684,4,109,0.03659082906626102
char_freq_! <= 0.079500000923872,4,109,0.16833432871985315
word_freq_remove <= 0.054999999701976776,3,109,0.0756803510203031
char_freq_$ <= 0.05550000071525574,2,109,0.1332147540667947
word_freq_remove <= 0.044999999925494194,2,109,0.035982824365326974
char_freq_$ <= 0.02949999924749136,2,109,0.0377633406662639
word_freq_hp <= 0.11999999731779099,2,109,0.04060745944719108
capital_run_length_longest <= 17.5,1,109,0.020211889145488156
capital_run_length_average <= 2.399500012397766,1,109,0.014770344506864581
char_freq_$ <= 0.039499999955296516,1,109,0.03920442745811759
word_freq_free <= 0.19500000029802322,1,109,0.018882402725326652
capital_run_length_total <= 68.5,1,109,0.010578118595576088
char_freq_$ <= 0.08050000295042992,1,109,0.008291111425886791
word_freq_hp <= 0.2199999988079071,1,109,0.011287878358750525
word_freq_money <= 0.009999999776482582,1,109,0.013829825717051544
word_freq_free <= 0.024999999441206455,1,109,0.04347632883908396
word_freq_your <= 0.6050000190734863,1,109,0.01856953547553037
capital_run_length_average <= 3.7345000505447388,1,109,0.01060888387785489
