dataset,model,accuracy,macro_f1,n_leaves,params
bike,LicketyRESPLIT,0.6067318757192175,0.61,3,default
bike,LicketyRESPLIT (Threshold Guessing),0.8547180667433832,0.85,6,default
bike,GOSDT (Threshold Guessing),0.8512658227848101,0.85,7,default
bike,XGBoost,0.8829113924050633,0.88,189,default
breast_cancer_data,LicketyRESPLIT,0.6491228070175439,0.44,2,default
breast_cancer_data,LicketyRESPLIT (Threshold Guessing),0.956140350877193,0.95,7,default
breast_cancer_data,GOSDT (Threshold Guessing),0.9473684210526315,0.94,6,default
breast_cancer_data,XGBoost,0.9649122807017544,0.96,179,default
spambase,LicketyRESPLIT,0.7882736156351792,0.77,5,default
spambase,LicketyRESPLIT (Threshold Guessing),0.8914223669923995,0.88,7,default
spambase,GOSDT (Threshold Guessing),0.9142236699239956,0.91,15,default
spambase,XGBoost,0.9131378935939196,0.91,193,default
