instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt_binary
1,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,0
2,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,0
3,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,0
4,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,0
5,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0
6,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0
7,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,0
8,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,0
9,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,0
10,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,0
11,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,0
12,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,0
13,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,0
14,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,0
15,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,0
16,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,0
17,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,0
18,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,0
19,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,0
20,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,0
21,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,0
22,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,0
23,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,0
24,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,0
25,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,0
26,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,0
27,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,0
28,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,0
29,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,0
30,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0
31,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0
32,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0
33,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,0
34,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,0
35,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,0
36,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,0
37,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,0
38,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,0
39,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,0
40,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,0
41,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,0
42,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,0
43,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,0
44,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,0
45,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,0
46,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0
47,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0
48,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0
49,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0
50,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0
51,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0
52,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0
53,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,0
54,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1
55,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,0
56,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,0
57,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,0
58,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,0
59,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,0
60,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,0
61,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,0
62,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,0
63,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,1
64,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,1
65,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,0
66,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,0
67,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,0
68,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0
69,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,0
70,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0
71,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0
72,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0
73,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0
74,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0
75,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0
76,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,0
77,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,1
78,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,0
79,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,0
80,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,0
81,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,0
82,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,0
83,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,0
84,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,0
85,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,0
86,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,1
87,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,1
88,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,0
89,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,0
