dataset,param_tag,root_features_dropped,tgb_acc_baseline,tgb_acc_ablated,praxis_acc_baseline,praxis_acc_ablated,overlap_baseline,overlap_ablated
bike,nest100_depth1,hr,0.872554660529344,0.7235327963176065,0.8380322209436134,0.7154775604142692,0.4,0.5
bike,nest100_depth2,hr,0.8909666283084005,0.7373417721518988,0.8380322209436134,0.7123130034522439,0.4,0.4
bike,nest100_depth3,hr,0.8875143843498274,0.7350402761795167,0.8380322209436134,0.7123130034522439,0.4,0.5
bike,nest10_depth1,hr,0.770138089758343,0.6467203682393556,0.770138089758343,0.6467203682393556,1.0,1.0
bike,nest10_depth2,hr,0.8564441887226697,0.6703107019562716,0.8345799769850403,0.6467203682393556,0.4,0.3333333333333333
bike,nest10_depth3,hr,0.8777330264672036,0.7255466052934407,0.8380322209436134,0.7123130034522439,0.4,0.2
bike,nest15_depth1,hr,0.8060989643268124,0.6495972382048332,0.8060989643268124,0.6495972382048332,1.0,1.0
bike,nest15_depth2,hr,0.8621979286536249,0.6766398158803222,0.8380322209436134,0.680379746835443,0.4,0.75
bike,nest15_depth3,hr,0.8780207134637514,0.7238204833141542,0.8380322209436134,0.7123130034522439,0.4,0.4
bike,nest200_depth1,hr,0.883199079401611,0.7327387802071347,0.8380322209436134,0.7154775604142692,0.4,0.4
bike,nest200_depth2,hr,0.8906789413118527,0.7416570771001151,0.8380322209436134,0.7123130034522439,0.4,0.4
bike,nest200_depth3,hr,0.8889528193325662,0.748849252013809,0.8380322209436134,0.7123130034522439,0.4,0.4
bike,nest20_depth1,hr,0.8383199079401611,0.6467203682393556,0.8345799769850403,0.6467203682393556,0.6666666666666666,0.5
bike,nest20_depth2,hr,0.8855005753739931,0.726409666283084,0.8380322209436134,0.7059838895281934,0.4,0.4
bike,nest20_depth3,hr,0.8855005753739931,0.7238204833141542,0.8380322209436134,0.7123130034522439,0.4,0.4
bike,nest25_depth1,hr,0.8489643268124281,0.6815304948216341,0.8380322209436134,0.6838319907940161,0.5,1.0
bike,nest25_depth2,hr,0.8817606444188723,0.7252589182968929,0.8380322209436134,0.7059838895281934,0.4,0.4
bike,nest25_depth3,hr,0.8837744533947065,0.7269850402761795,0.8380322209436134,0.7123130034522439,0.4,0.4
bike,nest30_depth1,hr,0.8616225546605294,0.6809551208285386,0.8380322209436134,0.6838319907940161,0.4,1.0
bike,nest30_depth2,hr,0.8857882623705409,0.7252589182968929,0.8380322209436134,0.7059838895281934,0.4,0.4
bike,nest30_depth3,hr,0.8829113924050633,0.7266973532796318,0.8380322209436134,0.7123130034522439,0.4,0.4
bike,nest35_depth1,hr,0.8656501726121979,0.7174913693901036,0.8380322209436134,0.7056962025316456,0.4,0.5
bike,nest35_depth2,hr,0.8803222094361335,0.7197928653624857,0.8380322209436134,0.7059838895281934,0.4,0.5
bike,nest35_depth3,hr,0.8855005753739931,0.7272727272727273,0.8380322209436134,0.7123130034522439,0.4,0.4
bike,nest40_depth1,hr,0.8650747986191024,0.7160529344073648,0.8380322209436134,0.7056962025316456,0.4,0.5
bike,nest40_depth2,hr,0.8837744533947065,0.7330264672036824,0.8380322209436134,0.7059838895281934,0.4,0.4
bike,nest40_depth3,hr,0.8857882623705409,0.7295742232451093,0.8380322209436134,0.7123130034522439,0.4,0.5
bike,nest5_depth2,hr,0.8158803222094362,0.6475834292289988,0.8147295742232451,0.6475834292289988,0.6666666666666666,0.5
bike,nest5_depth3,hr,0.8584579976985041,0.7163406214039125,0.8380322209436134,0.7059838895281934,0.5,0.6666666666666666
breast_cancer,nest100_depth1,perimeter_worst,0.9736842105263158,0.9736842105263158,0.9649122807017544,0.9649122807017544,0.2,0.25
breast_cancer,nest100_depth2,radius_worst,0.9649122807017544,0.9649122807017544,0.9473684210526315,0.9473684210526315,0.25,0.2
breast_cancer,nest100_depth3,perimeter_worst,0.9649122807017544,0.9649122807017544,0.956140350877193,0.956140350877193,0.375,0.42857142857142855
breast_cancer,nest10_depth1,perimeter_worst,0.9298245614035088,0.9122807017543859,0.8771929824561403,0.9122807017543859,0.5,1.0
breast_cancer,nest10_depth2,radius_worst,0.9649122807017544,0.9649122807017544,0.9473684210526315,0.9473684210526315,0.2,0.2857142857142857
breast_cancer,nest10_depth3,perimeter_worst,0.9649122807017544,0.956140350877193,0.9473684210526315,0.9473684210526315,0.2,0.2222222222222222
breast_cancer,nest15_depth1,perimeter_worst,0.9385964912280702,0.9385964912280702,0.9385964912280702,0.9385964912280702,0.5,0.6666666666666666
breast_cancer,nest15_depth2,radius_worst,0.956140350877193,0.956140350877193,0.9473684210526315,0.9473684210526315,0.16666666666666666,0.2222222222222222
breast_cancer,nest15_depth3,perimeter_worst,0.956140350877193,0.9649122807017544,0.9473684210526315,0.9473684210526315,0.18181818181818182,0.3
breast_cancer,nest200_depth1,perimeter_worst,0.9824561403508771,0.9824561403508771,0.9649122807017544,0.9649122807017544,0.3,0.375
breast_cancer,nest200_depth2,radius_worst,0.9649122807017544,0.9736842105263158,0.9473684210526315,0.9473684210526315,0.2,0.25
breast_cancer,nest200_depth3,perimeter_worst,0.956140350877193,0.956140350877193,0.956140350877193,0.956140350877193,0.375,0.375
breast_cancer,nest20_depth1,perimeter_worst,0.9473684210526315,0.9473684210526315,0.956140350877193,0.956140350877193,0.4,0.5
breast_cancer,nest20_depth2,radius_worst,0.956140350877193,0.9736842105263158,0.9473684210526315,0.9473684210526315,0.16666666666666666,0.2222222222222222
breast_cancer,nest20_depth3,perimeter_worst,0.9649122807017544,0.9736842105263158,0.956140350877193,0.956140350877193,0.3333333333333333,0.3333333333333333
breast_cancer,nest25_depth1,perimeter_worst,0.9649122807017544,0.9649122807017544,0.956140350877193,0.956140350877193,0.5,0.6
breast_cancer,nest25_depth2,radius_worst,0.956140350877193,0.9736842105263158,0.9473684210526315,0.9473684210526315,0.16666666666666666,0.2222222222222222
breast_cancer,nest25_depth3,perimeter_worst,0.9649122807017544,0.9649122807017544,0.956140350877193,0.956140350877193,0.18181818181818182,0.18181818181818182
breast_cancer,nest30_depth1,perimeter_worst,0.9736842105263158,0.956140350877193,0.956140350877193,0.956140350877193,0.42857142857142855,0.5
breast_cancer,nest30_depth2,radius_worst,0.9649122807017544,0.9649122807017544,0.9473684210526315,0.9473684210526315,0.25,0.2
breast_cancer,nest30_depth3,perimeter_worst,0.9649122807017544,0.9649122807017544,0.9473684210526315,0.9473684210526315,0.18181818181818182,0.16666666666666666
breast_cancer,nest35_depth1,perimeter_worst,0.956140350877193,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.5,0.6
breast_cancer,nest35_depth2,radius_worst,0.9649122807017544,0.9736842105263158,0.9473684210526315,0.9473684210526315,0.25,0.2
breast_cancer,nest35_depth3,perimeter_worst,0.9649122807017544,0.9649122807017544,0.956140350877193,0.956140350877193,0.18181818181818182,0.18181818181818182
breast_cancer,nest40_depth1,perimeter_worst,0.956140350877193,0.9649122807017544,0.9473684210526315,0.9473684210526315,0.42857142857142855,0.6
breast_cancer,nest40_depth2,radius_worst,0.9649122807017544,0.9649122807017544,0.9473684210526315,0.9473684210526315,0.25,0.2
breast_cancer,nest40_depth3,perimeter_worst,0.956140350877193,0.956140350877193,0.956140350877193,0.956140350877193,0.25,0.18181818181818182
breast_cancer,nest5_depth1,perimeter_worst,0.9385964912280702,0.9473684210526315,0.9385964912280702,0.9385964912280702,0.5,0.6666666666666666
breast_cancer,nest5_depth2,perimeter_worst,0.956140350877193,0.956140350877193,0.956140350877193,0.956140350877193,0.6,0.75
breast_cancer,nest5_depth3,perimeter_worst,0.9298245614035088,0.9385964912280702,0.9210526315789473,0.9210526315789473,0.375,0.42857142857142855
compas,nest100_depth1,priors_count,0.6903039073806078,0.6287988422575976,0.6548480463096961,0.605643994211288,1.0,0.5
compas,nest100_depth2,priors_count,0.6837916063675832,0.630246020260492,0.6548480463096961,0.605643994211288,1.0,0.5
compas,nest100_depth3,priors_count,0.6837916063675832,0.630246020260492,0.6548480463096961,0.605643994211288,1.0,0.5
compas,nest10_depth1,priors_count,0.6751085383502171,0.5636758321273516,0.6751085383502171,0.5636758321273516,1.0,1.0
compas,nest10_depth2,priors_count,0.670767004341534,0.5636758321273516,0.6548480463096961,0.5636758321273516,1.0,1.0
compas,nest10_depth3,priors_count,0.6736613603473227,0.6063675832127352,0.6548480463096961,0.605643994211288,1.0,1.0
compas,nest15_depth1,priors_count,0.6751085383502171,0.5636758321273516,0.6751085383502171,0.5636758321273516,1.0,1.0
compas,nest15_depth2,priors_count,0.6714905933429812,0.5636758321273516,0.6548480463096961,0.5636758321273516,1.0,1.0
compas,nest15_depth3,priors_count,0.6780028943560058,0.6063675832127352,0.6548480463096961,0.605643994211288,1.0,1.0
compas,nest200_depth1,priors_count,0.6808972503617945,0.605643994211288,0.6548480463096961,0.605643994211288,1.0,1.0
compas,nest200_depth2,priors_count,0.6837916063675832,0.6287988422575976,0.6548480463096961,0.605643994211288,1.0,0.5
compas,nest200_depth3,priors_count,0.6837916063675832,0.6287988422575976,0.6548480463096961,0.605643994211288,1.0,0.5
compas,nest20_depth1,priors_count,0.6693198263386396,0.605643994211288,0.6548480463096961,0.605643994211288,1.0,1.0
compas,nest20_depth2,priors_count,0.6816208393632417,0.605643994211288,0.6548480463096961,0.605643994211288,1.0,1.0
compas,nest20_depth3,priors_count,0.6758321273516642,0.6063675832127352,0.6548480463096961,0.605643994211288,1.0,1.0
compas,nest25_depth1,priors_count,0.678726483357453,0.605643994211288,0.6548480463096961,0.605643994211288,1.0,1.0
compas,nest25_depth2,priors_count,0.6816208393632417,0.605643994211288,0.6548480463096961,0.605643994211288,1.0,1.0
compas,nest25_depth3,priors_count,0.6881331403762663,0.6280752532561505,0.6548480463096961,0.605643994211288,1.0,0.5
compas,nest30_depth1,priors_count,0.678726483357453,0.605643994211288,0.6548480463096961,0.605643994211288,1.0,1.0
compas,nest30_depth2,priors_count,0.6816208393632417,0.605643994211288,0.6548480463096961,0.605643994211288,1.0,1.0
compas,nest30_depth3,priors_count,0.6837916063675832,0.6287988422575976,0.6548480463096961,0.605643994211288,1.0,0.5
compas,nest35_depth1,priors_count,0.678726483357453,0.605643994211288,0.6548480463096961,0.605643994211288,1.0,1.0
compas,nest35_depth2,priors_count,0.6866859623733719,0.61794500723589,0.6548480463096961,0.605643994211288,1.0,0.6666666666666666
compas,nest35_depth3,priors_count,0.6852387843704776,0.6287988422575976,0.6548480463096961,0.605643994211288,1.0,0.5
compas,nest40_depth1,priors_count,0.683068017366136,0.605643994211288,0.6548480463096961,0.605643994211288,1.0,1.0
compas,nest40_depth2,priors_count,0.6816208393632417,0.605643994211288,0.6548480463096961,0.605643994211288,1.0,1.0
compas,nest40_depth3,priors_count,0.6866859623733719,0.630246020260492,0.6548480463096961,0.605643994211288,1.0,0.5
