n_estimators,max_depth,Model,Feature,Threshold (≤),Train AUC,Test AUC,Train-Test gap
5,1,TGB,hr,6.5,0.7716,0.7683,0.0032
100,2,TGB,hr,6.5,0.7716,0.7683,0.0032
40,3,TGB,hr,6.5,0.7716,0.7683,0.0032
10,3,TGB,hr,6.5,0.7716,0.7683,0.0032
40,2,TGB,hr,6.5,0.7716,0.7683,0.0032
40,1,TGB,hr,6.5,0.7716,0.7683,0.0032
35,3,TGB,hr,6.5,0.7716,0.7683,0.0032
35,2,TGB,hr,6.5,0.7716,0.7683,0.0032
35,1,TGB,hr,6.5,0.7716,0.7683,0.0032
5,2,TGB,hr,6.5,0.7716,0.7683,0.0032
30,3,TGB,hr,6.5,0.7716,0.7683,0.0032
30,2,TGB,hr,6.5,0.7716,0.7683,0.0032
30,1,TGB,hr,6.5,0.7716,0.7683,0.0032
15,1,TGB,hr,6.5,0.7716,0.7683,0.0032
15,2,TGB,hr,6.5,0.7716,0.7683,0.0032
25,3,TGB,hr,6.5,0.7716,0.7683,0.0032
25,2,TGB,hr,6.5,0.7716,0.7683,0.0032
25,1,TGB,hr,6.5,0.7716,0.7683,0.0032
20,3,TGB,hr,6.5,0.7716,0.7683,0.0032
15,3,TGB,hr,6.5,0.7716,0.7683,0.0032
20,2,TGB,hr,6.5,0.7716,0.7683,0.0032
100,1,TGB,hr,6.5,0.7716,0.7683,0.0032
20,1,TGB,hr,6.5,0.7716,0.7683,0.0032
10,1,TGB,hr,6.5,0.7716,0.7683,0.0032
10,2,TGB,hr,6.5,0.7716,0.7683,0.0032
200,3,TGB,hr,6.5,0.7716,0.7683,0.0032
200,1,TGB,hr,6.5,0.7716,0.7683,0.0032
100,3,TGB,hr,6.5,0.7716,0.7683,0.0032
200,2,TGB,hr,6.5,0.7716,0.7683,0.0032
5,3,TGB,hr,6.5,0.7716,0.7683,0.0032
20,3,TGB,hr,5.5,0.7406,0.7405,0.0001
20,2,TGB,hr,5.5,0.7406,0.7405,0.0001
25,2,TGB,hr,5.5,0.7406,0.7405,0.0001
200,3,TGB,hr,5.5,0.7406,0.7405,0.0001
15,2,TGB,hr,5.5,0.7406,0.7405,0.0001
25,3,TGB,hr,5.5,0.7406,0.7405,0.0001
10,3,TGB,hr,5.5,0.7406,0.7405,0.0001
40,3,TGB,hr,5.5,0.7406,0.7405,0.0001
30,2,TGB,hr,5.5,0.7406,0.7405,0.0001
100,2,TGB,hr,5.5,0.7406,0.7405,0.0001
200,2,TGB,hr,5.5,0.7406,0.7405,0.0001
30,3,TGB,hr,5.5,0.7406,0.7405,0.0001
35,2,TGB,hr,5.5,0.7406,0.7405,0.0001
40,2,TGB,hr,5.5,0.7406,0.7405,0.0001
100,3,TGB,hr,5.5,0.7406,0.7405,0.0001
15,3,TGB,hr,5.5,0.7406,0.7405,0.0001
35,3,TGB,hr,5.5,0.7406,0.7405,0.0001
5,3,TGB,hr,5.5,0.7406,0.7405,0.0001
,,XGBoost,hr,7.0,0.747,0.7347,0.0123
,,XGBoost,temp,0.48,0.7353,0.7184,0.017
,,XGBoost,atemp,0.4697,0.7366,0.7169,0.0196
,,XGBoost,hum,0.38,0.6886,0.6868,0.0018
35,2,TGB,temp,0.3700000047683716,0.6506,0.65,0.0006
30,2,TGB,temp,0.3700000047683716,0.6506,0.65,0.0006
20,2,TGB,temp,0.3700000047683716,0.6506,0.65,0.0006
40,3,TGB,temp,0.3700000047683716,0.6506,0.65,0.0006
100,2,TGB,temp,0.3700000047683716,0.6506,0.65,0.0006
40,2,TGB,temp,0.3700000047683716,0.6506,0.65,0.0006
20,3,TGB,temp,0.3700000047683716,0.6506,0.65,0.0006
100,3,TGB,temp,0.3700000047683716,0.6506,0.65,0.0006
200,2,TGB,temp,0.3700000047683716,0.6506,0.65,0.0006
35,3,TGB,temp,0.3700000047683716,0.6506,0.65,0.0006
200,3,TGB,temp,0.3700000047683716,0.6506,0.65,0.0006
25,3,TGB,temp,0.3700000047683716,0.6506,0.65,0.0006
25,2,TGB,temp,0.3700000047683716,0.6506,0.65,0.0006
30,3,TGB,temp,0.3700000047683716,0.6506,0.65,0.0006
15,1,TGB,temp,0.3700000047683716,0.6506,0.65,0.0006
15,2,TGB,temp,0.3700000047683716,0.6506,0.65,0.0006
15,3,TGB,temp,0.3700000047683716,0.6506,0.65,0.0006
5,3,TGB,temp,0.3700000047683716,0.6506,0.65,0.0006
10,2,TGB,temp,0.3700000047683716,0.6506,0.65,0.0006
10,3,TGB,temp,0.3700000047683716,0.6506,0.65,0.0006
200,1,TGB,atemp,0.5985000133514404,0.6653,0.6477,0.0176
100,3,TGB,temp,0.45000000298023224,0.6623,0.6477,0.0146
35,3,TGB,temp,0.45000000298023224,0.6623,0.6477,0.0146
10,3,TGB,temp,0.45000000298023224,0.6623,0.6477,0.0146
20,3,TGB,temp,0.45000000298023224,0.6623,0.6477,0.0146
35,2,TGB,temp,0.45000000298023224,0.6623,0.6477,0.0146
35,1,TGB,atemp,0.5985000133514404,0.6653,0.6477,0.0176
200,2,TGB,temp,0.45000000298023224,0.6623,0.6477,0.0146
30,3,TGB,temp,0.45000000298023224,0.6623,0.6477,0.0146
25,1,TGB,atemp,0.5985000133514404,0.6653,0.6477,0.0176
15,2,TGB,temp,0.45000000298023224,0.6623,0.6477,0.0146
25,2,TGB,temp,0.45000000298023224,0.6623,0.6477,0.0146
30,2,TGB,temp,0.45000000298023224,0.6623,0.6477,0.0146
30,1,TGB,atemp,0.5985000133514404,0.6653,0.6477,0.0176
200,3,TGB,temp,0.45000000298023224,0.6623,0.6477,0.0146
25,3,TGB,temp,0.45000000298023224,0.6623,0.6477,0.0146
40,1,TGB,atemp,0.5985000133514404,0.6653,0.6477,0.0176
100,2,TGB,temp,0.45000000298023224,0.6623,0.6477,0.0146
40,3,TGB,temp,0.45000000298023224,0.6623,0.6477,0.0146
20,1,TGB,atemp,0.5985000133514404,0.6653,0.6477,0.0176
5,2,TGB,temp,0.45000000298023224,0.6623,0.6477,0.0146
40,2,TGB,temp,0.45000000298023224,0.6623,0.6477,0.0146
100,1,TGB,atemp,0.5985000133514404,0.6653,0.6477,0.0176
20,2,TGB,temp,0.45000000298023224,0.6623,0.6477,0.0146
5,3,TGB,temp,0.45000000298023224,0.6623,0.6477,0.0146
15,3,TGB,temp,0.45000000298023224,0.6623,0.6477,0.0146
10,2,TGB,temp,0.45000000298023224,0.6623,0.6477,0.0146
40,3,TGB,temp,0.4299999922513962,0.6575,0.647,0.0105
30,3,TGB,temp,0.4299999922513962,0.6575,0.647,0.0105
5,3,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
200,2,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
200,1,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
30,3,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
25,1,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
30,1,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
10,2,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
30,2,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
100,2,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
15,3,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
40,3,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
20,3,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
35,3,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
20,2,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
40,1,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
10,3,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
200,3,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
100,3,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
40,2,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
100,1,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
35,1,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
25,3,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
10,1,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
35,2,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
20,1,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
15,2,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
25,2,TGB,temp,0.4699999988079071,0.6664,0.6468,0.0196
25,3,TGB,atemp,0.4317999929189682,0.657,0.6458,0.0112
200,3,TGB,atemp,0.4317999929189682,0.657,0.6458,0.0112
20,3,TGB,atemp,0.4317999929189682,0.657,0.6458,0.0112
100,3,TGB,atemp,0.4317999929189682,0.657,0.6458,0.0112
35,3,TGB,atemp,0.4317999929189682,0.657,0.6458,0.0112
100,2,TGB,temp,0.48999999463558197,0.6649,0.6439,0.021
200,2,TGB,temp,0.48999999463558197,0.6649,0.6439,0.021
35,2,TGB,temp,0.48999999463558197,0.6649,0.6439,0.021
40,2,TGB,temp,0.48999999463558197,0.6649,0.6439,0.021
10,2,TGB,temp,0.48999999463558197,0.6649,0.6439,0.021
30,2,TGB,temp,0.48999999463558197,0.6649,0.6439,0.021
25,2,TGB,temp,0.48999999463558197,0.6649,0.6439,0.021
20,2,TGB,temp,0.48999999463558197,0.6649,0.6439,0.021
15,2,TGB,temp,0.48999999463558197,0.6649,0.6439,0.021
20,3,TGB,atemp,0.3409000039100647,0.6415,0.6406,0.0009
35,3,TGB,atemp,0.3409000039100647,0.6415,0.6406,0.0009
100,3,TGB,atemp,0.3409000039100647,0.6415,0.6406,0.0009
10,3,TGB,atemp,0.3409000039100647,0.6415,0.6406,0.0009
40,3,TGB,atemp,0.3409000039100647,0.6415,0.6406,0.0009
200,3,TGB,atemp,0.3409000039100647,0.6415,0.6406,0.0009
30,3,TGB,atemp,0.3409000039100647,0.6415,0.6406,0.0009
15,3,TGB,atemp,0.3409000039100647,0.6415,0.6406,0.0009
25,3,TGB,atemp,0.3409000039100647,0.6415,0.6406,0.0009
5,3,TGB,atemp,0.3409000039100647,0.6415,0.6406,0.0009
10,2,TGB,atemp,0.3257499933242798,0.6342,0.6367,-0.0024
40,2,TGB,atemp,0.3257499933242798,0.6342,0.6367,-0.0024
35,2,TGB,atemp,0.3257499933242798,0.6342,0.6367,-0.0024
5,2,TGB,atemp,0.3257499933242798,0.6342,0.6367,-0.0024
20,2,TGB,atemp,0.3257499933242798,0.6342,0.6367,-0.0024
25,2,TGB,atemp,0.3257499933242798,0.6342,0.6367,-0.0024
200,2,TGB,atemp,0.3257499933242798,0.6342,0.6367,-0.0024
100,2,TGB,atemp,0.3257499933242798,0.6342,0.6367,-0.0024
