n_estimators,max_depth,Model,Feature,Threshold (≤),Train AUC,Test AUC,Train-Test gap
,,XGBoost,perimeter_worst,113.1,0.9736,0.9874,-0.0139
,,XGBoost,concave points_worst,0.1418,0.9627,0.9868,-0.0241
,,XGBoost,radius_worst,16.82,0.969,0.9785,-0.0095
,,XGBoost,area_worst,869.3,0.9682,0.9765,-0.0083
,,XGBoost,concave points_mean,0.0518,0.9636,0.9676,-0.004
,,XGBoost,concavity_mean,0.0817,0.9327,0.956,-0.0233
,,XGBoost,area_se,31.33,0.9209,0.9509,-0.03
,,XGBoost,perimeter_mean,90.96,0.9457,0.9496,-0.0039
,,XGBoost,concavity_worst,0.2623,0.9155,0.9468,-0.0313
,,XGBoost,area_mean,668.3,0.9373,0.9401,-0.0029
,,XGBoost,radius_mean,14.68,0.9368,0.9365,0.0003
15,3,TGB,perimeter_worst,103.70000076293945,0.9115,0.9276,-0.0161
30,3,TGB,perimeter_worst,104.25,0.9133,0.9276,-0.0143
40,3,TGB,perimeter_worst,104.25,0.9133,0.9276,-0.0143
25,3,TGB,perimeter_worst,103.70000076293945,0.9115,0.9276,-0.0161
35,3,TGB,perimeter_worst,104.25,0.9133,0.9276,-0.0143
40,3,TGB,concave points_mean,0.038484999909996986,0.8758,0.9167,-0.0409
35,3,TGB,area_worst,733.7999877929688,0.9004,0.9117,-0.0113
40,3,TGB,area_worst,733.7999877929688,0.9004,0.9117,-0.0113
15,2,TGB,concave points_mean,0.050084998831152916,0.9143,0.9087,0.0056
5,3,TGB,concave points_mean,0.050084998831152916,0.9143,0.9087,0.0056
20,2,TGB,area_worst,710.2000122070312,0.8923,0.9048,-0.0125
40,2,TGB,area_worst,710.2000122070312,0.8923,0.9048,-0.0125
100,2,TGB,area_worst,710.2000122070312,0.8923,0.9048,-0.0125
35,2,TGB,area_worst,710.2000122070312,0.8923,0.9048,-0.0125
100,3,TGB,area_worst,710.2000122070312,0.8923,0.9048,-0.0125
20,3,TGB,area_worst,710.2000122070312,0.8923,0.9048,-0.0125
10,2,TGB,area_worst,710.2000122070312,0.8923,0.9048,-0.0125
25,2,TGB,area_worst,710.2000122070312,0.8923,0.9048,-0.0125
30,2,TGB,area_worst,710.2000122070312,0.8923,0.9048,-0.0125
15,2,TGB,area_worst,710.2000122070312,0.8923,0.9048,-0.0125
100,1,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
10,3,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
30,1,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
25,1,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
200,3,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
100,2,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
15,3,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
15,2,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
25,2,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
200,1,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
15,1,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
30,3,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
35,1,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
40,2,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
35,2,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
10,2,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
200,2,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
100,3,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
20,3,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
20,1,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
35,3,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
40,1,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
20,2,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
5,2,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
30,2,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
40,3,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
25,3,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
5,1,TGB,concave points_mean,0.05127999931573868,0.9161,0.9038,0.0123
30,3,TGB,concave points_worst,0.1359499990940094,0.9037,0.9028,0.0009
5,3,TGB,concave points_worst,0.1359499990940094,0.9037,0.9028,0.0009
15,3,TGB,concave points_worst,0.1359499990940094,0.9037,0.9028,0.0009
100,3,TGB,concave points_worst,0.1359499990940094,0.9037,0.9028,0.0009
40,3,TGB,concave points_worst,0.1359499990940094,0.9037,0.9028,0.0009
25,3,TGB,concave points_worst,0.1359499990940094,0.9037,0.9028,0.0009
200,3,TGB,concave points_worst,0.1359499990940094,0.9037,0.9028,0.0009
20,3,TGB,concave points_worst,0.1359499990940094,0.9037,0.9028,0.0009
40,3,TGB,concave points_worst,0.1376499980688095,0.8996,0.9028,-0.0032
35,3,TGB,concave points_worst,0.1359499990940094,0.9037,0.9028,0.0009
10,3,TGB,concave points_worst,0.1359499990940094,0.9037,0.9028,0.0009
30,3,TGB,area_worst,768.1000061035156,0.9027,0.8988,0.0039
100,3,TGB,area_worst,768.1000061035156,0.9027,0.8988,0.0039
25,3,TGB,area_worst,768.1000061035156,0.9027,0.8988,0.0039
200,3,TGB,area_worst,768.1000061035156,0.9027,0.8988,0.0039
15,3,TGB,area_worst,766.4500122070312,0.8992,0.8988,0.0004
,,XGBoost,perimeter_se,2.765,0.8714,0.8981,-0.0267
40,3,TGB,concave points_worst,0.14169999957084656,0.9072,0.8909,0.0163
20,2,TGB,concave points_worst,0.14169999957084656,0.9072,0.8909,0.0163
30,3,TGB,concave points_worst,0.14169999957084656,0.9072,0.8909,0.0163
30,1,TGB,concave points_worst,0.14169999957084656,0.9072,0.8909,0.0163
100,2,TGB,concave points_worst,0.14169999957084656,0.9072,0.8909,0.0163
5,1,TGB,concave points_worst,0.14169999957084656,0.9072,0.8909,0.0163
40,1,TGB,concave points_worst,0.14169999957084656,0.9072,0.8909,0.0163
100,3,TGB,concave points_worst,0.14169999957084656,0.9072,0.8909,0.0163
20,1,TGB,concave points_worst,0.14169999957084656,0.9072,0.8909,0.0163
15,3,TGB,concave points_worst,0.14169999957084656,0.9072,0.8909,0.0163
200,1,TGB,concave points_worst,0.14169999957084656,0.9072,0.8909,0.0163
15,1,TGB,concave points_worst,0.14169999957084656,0.9072,0.8909,0.0163
20,3,TGB,concave points_worst,0.14169999957084656,0.9072,0.8909,0.0163
25,2,TGB,concave points_worst,0.14169999957084656,0.9072,0.8909,0.0163
5,2,TGB,concave points_worst,0.1419999971985817,0.9042,0.8909,0.0134
35,2,TGB,concave points_worst,0.14169999957084656,0.9072,0.8909,0.0163
5,3,TGB,concave points_worst,0.13984999805688858,0.9002,0.8909,0.0093
25,3,TGB,concave points_worst,0.14169999957084656,0.9072,0.8909,0.0163
10,1,TGB,concave points_worst,0.14169999957084656,0.9072,0.8909,0.0163
10,2,TGB,concave points_worst,0.14169999957084656,0.9072,0.8909,0.0163
