n_estimators,max_depth,Model,Feature,Threshold (≤),Train AUC,Test AUC,Train-Test gap
,,XGBoost,V12,2.9444,0.9327,0.9547,-0.022
,,XGBoost,V14,2.8081,0.9479,0.9543,-0.0064
,,XGBoost,V11,1.7795,0.9126,0.9401,-0.0274
10,3,TGB,V14,-3.1820223331451416,0.901,0.9308,-0.0298
40,2,TGB,V14,-3.1820223331451416,0.901,0.9308,-0.0298
10,2,TGB,V14,-3.1820223331451416,0.901,0.9308,-0.0298
35,3,TGB,V14,-3.1820223331451416,0.901,0.9308,-0.0298
200,2,TGB,V14,-3.1820223331451416,0.901,0.9308,-0.0298
35,2,TGB,V14,-3.1820223331451416,0.901,0.9308,-0.0298
30,3,TGB,V14,-3.1820223331451416,0.901,0.9308,-0.0298
5,3,TGB,V14,-3.1820223331451416,0.901,0.9308,-0.0298
15,2,TGB,V14,-3.1820223331451416,0.901,0.9308,-0.0298
30,2,TGB,V14,-3.1820223331451416,0.901,0.9308,-0.0298
25,3,TGB,V14,-3.1820223331451416,0.901,0.9308,-0.0298
200,3,TGB,V14,-3.1820223331451416,0.901,0.9308,-0.0298
15,3,TGB,V14,-3.1820223331451416,0.901,0.9308,-0.0298
25,2,TGB,V14,-3.1820223331451416,0.901,0.9308,-0.0298
20,3,TGB,V14,-3.1820223331451416,0.901,0.9308,-0.0298
40,3,TGB,V14,-3.1820223331451416,0.901,0.9308,-0.0298
20,2,TGB,V14,-3.1820223331451416,0.901,0.9308,-0.0298
100,2,TGB,V14,-3.1820223331451416,0.901,0.9308,-0.0298
5,2,TGB,V14,-3.1820223331451416,0.901,0.9308,-0.0298
100,3,TGB,V14,-3.1820223331451416,0.901,0.9308,-0.0298
,,XGBoost,V4,1.6578,0.9418,0.9242,0.0175
10,2,TGB,V12,-2.1808799505233765,0.8844,0.9188,-0.0344
100,3,TGB,V12,-2.1808799505233765,0.8844,0.9188,-0.0344
200,3,TGB,V12,-2.1808799505233765,0.8844,0.9188,-0.0344
5,2,TGB,V12,-2.1808799505233765,0.8844,0.9188,-0.0344
35,3,TGB,V12,-2.1808799505233765,0.8844,0.9188,-0.0344
