n_estimators,max_depth,Model,Feature,Threshold (≤),Train AUC,Test AUC,Train-Test gap
,,XGBoost,V14,2.7706,0.9593,0.9587,0.0006
,,XGBoost,V4,1.5991,0.946,0.9454,0.0006
,,XGBoost,V12,3.2799,0.9349,0.9341,0.0008
,,XGBoost,V10,2.7267,0.9269,0.9264,0.0005
15,3,TGB,V14,-1.786939561367035,0.9233,0.9228,0.0005
10,3,TGB,V14,-1.786939561367035,0.9233,0.9228,0.0005
30,3,TGB,V14,-1.786939561367035,0.9233,0.9228,0.0005
5,3,TGB,V14,-1.786939561367035,0.9233,0.9228,0.0005
25,3,TGB,V14,-1.786939561367035,0.9233,0.9228,0.0005
40,3,TGB,V14,-1.786939561367035,0.9233,0.9228,0.0005
35,3,TGB,V14,-1.786939561367035,0.9233,0.9228,0.0005
20,3,TGB,V14,-1.786939561367035,0.9233,0.9228,0.0005
10,1,TGB,V14,-1.7687879800796509,0.9233,0.9227,0.0007
40,2,TGB,V14,-1.7704376578330994,0.9233,0.9227,0.0006
30,2,TGB,V14,-1.7704376578330994,0.9233,0.9227,0.0006
100,1,TGB,V14,-1.7687879800796509,0.9233,0.9227,0.0007
15,2,TGB,V14,-1.7704376578330994,0.9233,0.9227,0.0006
10,2,TGB,V14,-1.7704376578330994,0.9233,0.9227,0.0006
25,2,TGB,V14,-1.7704376578330994,0.9233,0.9227,0.0006
25,1,TGB,V14,-1.7687879800796509,0.9233,0.9227,0.0007
30,1,TGB,V14,-1.7687879800796509,0.9233,0.9227,0.0007
100,2,TGB,V14,-1.7704376578330994,0.9233,0.9227,0.0006
5,1,TGB,V14,-1.7687879800796509,0.9233,0.9227,0.0007
35,2,TGB,V14,-1.7704376578330994,0.9233,0.9227,0.0006
20,1,TGB,V14,-1.7687879800796509,0.9233,0.9227,0.0007
5,2,TGB,V14,-1.7704376578330994,0.9233,0.9227,0.0006
40,1,TGB,V14,-1.7687879800796509,0.9233,0.9227,0.0007
20,2,TGB,V14,-1.7704376578330994,0.9233,0.9227,0.0006
35,1,TGB,V14,-1.7687879800796509,0.9233,0.9227,0.0007
15,1,TGB,V14,-1.7687879800796509,0.9233,0.9227,0.0007
10,3,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
40,3,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
35,3,TGB,V14,-1.7585361003875732,0.9233,0.9226,0.0007
15,3,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
30,2,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
15,3,TGB,V14,-1.7585361003875732,0.9233,0.9226,0.0007
35,3,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
30,2,TGB,V14,-1.7583861351013184,0.9233,0.9226,0.0007
40,3,TGB,V14,-1.7585361003875732,0.9233,0.9226,0.0007
40,1,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
40,2,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
15,2,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
35,2,TGB,V14,-1.7583861351013184,0.9233,0.9226,0.0007
30,3,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
15,1,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
30,3,TGB,V14,-1.7585361003875732,0.9233,0.9226,0.0007
15,2,TGB,V14,-1.7583861351013184,0.9233,0.9226,0.0007
10,3,TGB,V14,-1.7585361003875732,0.9233,0.9226,0.0007
35,2,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
35,1,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
40,2,TGB,V14,-1.7583861351013184,0.9233,0.9226,0.0007
10,2,TGB,V14,-1.7583861351013184,0.9233,0.9226,0.0007
25,1,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
25,3,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
20,3,TGB,V14,-1.7585361003875732,0.9233,0.9226,0.0007
20,2,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
100,2,TGB,V14,-1.7583861351013184,0.9233,0.9226,0.0007
100,2,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
5,3,TGB,V14,-1.7585361003875732,0.9233,0.9226,0.0007
5,3,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
25,2,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
25,2,TGB,V14,-1.7583861351013184,0.9233,0.9226,0.0007
20,1,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
100,1,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
20,2,TGB,V14,-1.7583861351013184,0.9233,0.9226,0.0007
10,1,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
5,2,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
5,1,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
30,1,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
25,3,TGB,V14,-1.7585361003875732,0.9233,0.9226,0.0007
10,2,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
20,3,TGB,V14,-1.812438189983368,0.9233,0.9226,0.0007
5,2,TGB,V14,-1.7583861351013184,0.9233,0.9226,0.0007
15,3,TGB,V14,-1.8169454336166382,0.9232,0.9225,0.0007
25,3,TGB,V14,-1.8169454336166382,0.9232,0.9225,0.0007
40,3,TGB,V14,-1.8169454336166382,0.9232,0.9225,0.0007
20,3,TGB,V14,-1.8169454336166382,0.9232,0.9225,0.0007
30,3,TGB,V14,-1.8169454336166382,0.9232,0.9225,0.0007
10,3,TGB,V14,-1.8169454336166382,0.9232,0.9225,0.0007
35,3,TGB,V14,-1.8169454336166382,0.9232,0.9225,0.0007
35,2,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
20,1,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
20,2,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
15,3,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
20,3,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
30,3,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
25,1,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
15,1,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
25,2,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
15,2,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
25,3,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
30,2,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
5,1,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
30,1,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
35,3,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
35,1,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
10,1,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
40,3,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
40,2,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
10,2,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
100,2,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
100,1,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
40,1,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
10,3,TGB,V14,-1.8273465633392334,0.9231,0.9223,0.0008
5,3,TGB,V14,-1.5734373927116394,0.9225,0.9217,0.0008
10,3,TGB,V14,-1.5734373927116394,0.9225,0.9217,0.0008
25,3,TGB,V14,-1.5734373927116394,0.9225,0.9217,0.0008
20,2,TGB,V14,-1.5734373927116394,0.9225,0.9217,0.0008
30,3,TGB,V14,-1.5734373927116394,0.9225,0.9217,0.0008
40,2,TGB,V14,-1.5734373927116394,0.9225,0.9217,0.0008
10,2,TGB,V14,-1.5734373927116394,0.9225,0.9217,0.0008
15,2,TGB,V14,-1.5734373927116394,0.9225,0.9217,0.0008
15,3,TGB,V14,-1.5734373927116394,0.9225,0.9217,0.0008
40,3,TGB,V14,-1.5734373927116394,0.9225,0.9217,0.0008
25,2,TGB,V14,-1.5734373927116394,0.9225,0.9217,0.0008
30,2,TGB,V14,-1.5734373927116394,0.9225,0.9217,0.0008
5,2,TGB,V14,-1.5734373927116394,0.9225,0.9217,0.0008
35,3,TGB,V14,-1.5734373927116394,0.9225,0.9217,0.0008
100,2,TGB,V14,-1.5734373927116394,0.9225,0.9217,0.0008
20,3,TGB,V14,-1.5734373927116394,0.9225,0.9217,0.0008
35,2,TGB,V14,-1.5734373927116394,0.9225,0.9217,0.0008
100,1,TGB,V14,-1.5627466440200806,0.9224,0.9216,0.0009
15,1,TGB,V14,-1.5627466440200806,0.9224,0.9216,0.0009
10,1,TGB,V14,-1.5627466440200806,0.9224,0.9216,0.0009
40,1,TGB,V14,-1.5627466440200806,0.9224,0.9216,0.0009
30,1,TGB,V14,-1.5627466440200806,0.9224,0.9216,0.0009
20,1,TGB,V14,-1.5627466440200806,0.9224,0.9216,0.0009
25,1,TGB,V14,-1.5627466440200806,0.9224,0.9216,0.0009
35,1,TGB,V14,-1.5627466440200806,0.9224,0.9216,0.0009
10,2,TGB,V14,-1.4366859793663025,0.9211,0.9203,0.0008
15,3,TGB,V14,-1.4366859793663025,0.9211,0.9203,0.0008
35,3,TGB,V14,-1.4366859793663025,0.9211,0.9203,0.0008
15,2,TGB,V14,-1.4366859793663025,0.9211,0.9203,0.0008
100,2,TGB,V14,-1.4366859793663025,0.9211,0.9203,0.0008
40,3,TGB,V14,-1.4366859793663025,0.9211,0.9203,0.0008
40,2,TGB,V14,-1.4366859793663025,0.9211,0.9203,0.0008
20,3,TGB,V14,-1.4366859793663025,0.9211,0.9203,0.0008
30,3,TGB,V14,-1.4366859793663025,0.9211,0.9203,0.0008
25,2,TGB,V14,-1.4366859793663025,0.9211,0.9203,0.0008
35,2,TGB,V14,-1.4366859793663025,0.9211,0.9203,0.0008
20,2,TGB,V14,-1.4366859793663025,0.9211,0.9203,0.0008
5,2,TGB,V14,-1.4366859793663025,0.9211,0.9203,0.0008
10,3,TGB,V14,-1.4366859793663025,0.9211,0.9203,0.0008
25,3,TGB,V14,-1.4366859793663025,0.9211,0.9203,0.0008
30,2,TGB,V14,-1.4366859793663025,0.9211,0.9203,0.0008
10,2,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
10,1,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
20,3,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
100,2,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
15,3,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
20,1,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
100,1,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
30,1,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
25,3,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
25,1,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
25,2,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
20,2,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
15,2,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
30,2,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
35,1,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
35,3,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
40,3,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
10,3,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
40,1,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
35,2,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
15,1,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
40,2,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
30,3,TGB,V14,-1.4205476641654968,0.9208,0.9199,0.0009
20,2,TGB,V14,-1.3845648169517517,0.9201,0.919,0.0011
100,2,TGB,V14,-1.3845648169517517,0.9201,0.919,0.0011
25,2,TGB,V14,-1.3845648169517517,0.9201,0.919,0.0011
15,2,TGB,V14,-1.3845648169517517,0.9201,0.919,0.0011
35,2,TGB,V14,-1.3845648169517517,0.9201,0.919,0.0011
30,2,TGB,V14,-1.3845648169517517,0.9201,0.919,0.0011
10,2,TGB,V14,-1.3845648169517517,0.9201,0.919,0.0011
40,2,TGB,V14,-1.3845648169517517,0.9201,0.919,0.0011
,,XGBoost,V11,1.7673,0.9203,0.9188,0.0015
40,1,TGB,V14,-1.349036455154419,0.9193,0.9181,0.0011
35,1,TGB,V14,-1.349036455154419,0.9193,0.9181,0.0011
30,1,TGB,V14,-1.349036455154419,0.9193,0.9181,0.0011
25,1,TGB,V14,-1.349036455154419,0.9193,0.9181,0.0011
15,1,TGB,V14,-1.349036455154419,0.9193,0.9181,0.0011
100,1,TGB,V14,-1.349036455154419,0.9193,0.9181,0.0011
25,1,TGB,V14,-2.7358014583587646,0.9134,0.913,0.0004
25,1,TGB,V14,-2.7159359455108643,0.9135,0.913,0.0005
100,1,TGB,V14,-2.7159359455108643,0.9135,0.913,0.0005
40,1,TGB,V14,-2.7159359455108643,0.9135,0.913,0.0005
35,1,TGB,V14,-2.7159359455108643,0.9135,0.913,0.0005
100,1,TGB,V14,-2.7358014583587646,0.9134,0.913,0.0004
35,1,TGB,V14,-2.7358014583587646,0.9134,0.913,0.0004
20,2,TGB,V14,-2.7358014583587646,0.9134,0.913,0.0004
25,2,TGB,V14,-2.7358014583587646,0.9134,0.913,0.0004
20,1,TGB,V14,-2.7159359455108643,0.9135,0.913,0.0005
35,2,TGB,V14,-2.7358014583587646,0.9134,0.913,0.0004
30,2,TGB,V14,-2.7358014583587646,0.9134,0.913,0.0004
100,2,TGB,V14,-2.7358014583587646,0.9134,0.913,0.0004
15,1,TGB,V14,-2.7159359455108643,0.9135,0.913,0.0005
40,2,TGB,V14,-2.7358014583587646,0.9134,0.913,0.0004
30,1,TGB,V14,-2.7159359455108643,0.9135,0.913,0.0005
10,2,TGB,V14,-2.7358014583587646,0.9134,0.913,0.0004
15,1,TGB,V14,-2.7358014583587646,0.9134,0.913,0.0004
30,1,TGB,V14,-2.7358014583587646,0.9134,0.913,0.0004
15,2,TGB,V14,-2.7358014583587646,0.9134,0.913,0.0004
40,1,TGB,V14,-2.7358014583587646,0.9134,0.913,0.0004
10,1,TGB,V14,-2.7159359455108643,0.9135,0.913,0.0005
,,XGBoost,V3,2.8911,0.9113,0.9121,-0.0007
20,3,TGB,V10,-1.702573299407959,0.8994,0.899,0.0003
40,2,TGB,V10,-1.702573299407959,0.8994,0.899,0.0003
35,3,TGB,V10,-1.702573299407959,0.8994,0.899,0.0003
30,2,TGB,V10,-1.702573299407959,0.8994,0.899,0.0003
15,2,TGB,V10,-1.702573299407959,0.8994,0.899,0.0003
35,2,TGB,V10,-1.702573299407959,0.8994,0.899,0.0003
25,2,TGB,V10,-1.702573299407959,0.8994,0.899,0.0003
15,3,TGB,V10,-1.702573299407959,0.8994,0.899,0.0003
100,2,TGB,V10,-1.702573299407959,0.8994,0.899,0.0003
20,2,TGB,V10,-1.702573299407959,0.8994,0.899,0.0003
25,3,TGB,V10,-1.702573299407959,0.8994,0.899,0.0003
40,3,TGB,V10,-1.702573299407959,0.8994,0.899,0.0003
30,3,TGB,V10,-1.702573299407959,0.8994,0.899,0.0003
10,3,TGB,V10,-1.702573299407959,0.8994,0.899,0.0003
10,2,TGB,V10,-1.702573299407959,0.8994,0.899,0.0003
40,3,TGB,V10,-1.8405387997627258,0.8993,0.8986,0.0007
10,3,TGB,V10,-1.8405387997627258,0.8993,0.8986,0.0007
20,3,TGB,V10,-1.8405387997627258,0.8993,0.8986,0.0007
15,3,TGB,V10,-1.8405387997627258,0.8993,0.8986,0.0007
25,3,TGB,V10,-1.8405387997627258,0.8993,0.8986,0.0007
35,3,TGB,V10,-1.8405387997627258,0.8993,0.8986,0.0007
30,3,TGB,V10,-1.8405387997627258,0.8993,0.8986,0.0007
15,3,TGB,V10,-1.3339875936508179,0.8943,0.8933,0.001
20,3,TGB,V10,-1.3339875936508179,0.8943,0.8933,0.001
5,3,TGB,V10,-1.3339875936508179,0.8943,0.8933,0.001
40,3,TGB,V10,-1.3339875936508179,0.8943,0.8933,0.001
25,3,TGB,V10,-1.3339875936508179,0.8943,0.8933,0.001
35,3,TGB,V10,-1.3339875936508179,0.8943,0.8933,0.001
30,3,TGB,V10,-1.3339875936508179,0.8943,0.8933,0.001
10,3,TGB,V10,-1.3339875936508179,0.8943,0.8933,0.001
40,3,TGB,V14,-0.6934647560119629,0.8849,0.8845,0.0004
30,3,TGB,V14,-0.6934647560119629,0.8849,0.8845,0.0004
20,3,TGB,V14,-0.6934647560119629,0.8849,0.8845,0.0004
35,3,TGB,V14,-0.6934647560119629,0.8849,0.8845,0.0004
25,3,TGB,V14,-0.6934647560119629,0.8849,0.8845,0.0004
10,3,TGB,V14,-0.6934647560119629,0.8849,0.8845,0.0004
5,3,TGB,V14,-0.6934647560119629,0.8849,0.8845,0.0004
15,3,TGB,V14,-0.6934647560119629,0.8849,0.8845,0.0004
35,2,TGB,V14,-0.6914466023445129,0.8847,0.8843,0.0004
20,2,TGB,V14,-0.6914466023445129,0.8847,0.8843,0.0004
100,2,TGB,V14,-0.6914466023445129,0.8847,0.8843,0.0004
15,2,TGB,V14,-0.6914466023445129,0.8847,0.8843,0.0004
25,2,TGB,V14,-0.6914466023445129,0.8847,0.8843,0.0004
10,2,TGB,V14,-0.6914466023445129,0.8847,0.8843,0.0004
30,2,TGB,V14,-0.6914466023445129,0.8847,0.8843,0.0004
40,2,TGB,V14,-0.6914466023445129,0.8847,0.8843,0.0004
40,3,TGB,V14,-0.663888156414032,0.8817,0.8817,0.0
20,3,TGB,V14,-0.663888156414032,0.8817,0.8817,0.0
35,3,TGB,V14,-0.663888156414032,0.8817,0.8817,0.0
30,3,TGB,V14,-0.663888156414032,0.8817,0.8817,0.0
15,3,TGB,V14,-0.663888156414032,0.8817,0.8817,0.0
10,3,TGB,V14,-0.663888156414032,0.8817,0.8817,0.0
25,3,TGB,V14,-0.663888156414032,0.8817,0.8817,0.0
100,1,TGB,V4,1.6225031018257141,0.8815,0.8804,0.0011
15,1,TGB,V4,1.6225031018257141,0.8815,0.8804,0.0011
30,1,TGB,V4,1.6225031018257141,0.8815,0.8804,0.0011
40,1,TGB,V4,1.6225031018257141,0.8815,0.8804,0.0011
35,1,TGB,V4,1.6225031018257141,0.8815,0.8804,0.0011
25,1,TGB,V4,1.6225031018257141,0.8815,0.8804,0.0011
100,1,TGB,V4,1.5782626867294312,0.8816,0.8802,0.0014
25,1,TGB,V4,1.5782626867294312,0.8816,0.8802,0.0014
25,2,TGB,V4,1.574686348438263,0.8816,0.8802,0.0014
10,1,TGB,V4,1.5782626867294312,0.8816,0.8802,0.0014
40,3,TGB,V4,1.6579349040985107,0.8814,0.8802,0.0011
15,1,TGB,V4,1.5782626867294312,0.8816,0.8802,0.0014
30,3,TGB,V4,1.6579349040985107,0.8814,0.8802,0.0011
100,2,TGB,V4,1.662422001361847,0.8813,0.8802,0.0011
35,3,TGB,V4,1.574686348438263,0.8816,0.8802,0.0014
30,3,TGB,V4,1.574686348438263,0.8816,0.8802,0.0014
15,3,TGB,V4,1.6579349040985107,0.8814,0.8802,0.0011
10,3,TGB,V4,1.6579349040985107,0.8814,0.8802,0.0011
20,3,TGB,V4,1.6579349040985107,0.8814,0.8802,0.0011
35,2,TGB,V4,1.662422001361847,0.8813,0.8802,0.0011
35,2,TGB,V4,1.574686348438263,0.8816,0.8802,0.0014
10,2,TGB,V4,1.574686348438263,0.8816,0.8802,0.0014
35,3,TGB,V4,1.6579349040985107,0.8814,0.8802,0.0011
100,2,TGB,V4,1.574686348438263,0.8816,0.8802,0.0014
15,2,TGB,V4,1.662422001361847,0.8813,0.8802,0.0011
40,2,TGB,V4,1.662422001361847,0.8813,0.8802,0.0011
20,2,TGB,V4,1.574686348438263,0.8816,0.8802,0.0014
40,2,TGB,V4,1.574686348438263,0.8816,0.8802,0.0014
