n_estimators,max_depth,Model,Feature,Threshold (≤),Train AUC,Test AUC,Train-Test gap
20,3,TGB,number_inpatient,0.5,0.5974,0.76,-0.1626
25,2,TGB,number_inpatient,0.5,0.5974,0.76,-0.1626
30,2,TGB,number_inpatient,0.5,0.5974,0.76,-0.1626
30,3,TGB,number_inpatient,0.5,0.5974,0.76,-0.1626
15,2,TGB,number_inpatient,0.5,0.5974,0.76,-0.1626
10,2,TGB,number_inpatient,0.5,0.5974,0.76,-0.1626
25,3,TGB,number_inpatient,0.5,0.5974,0.76,-0.1626
15,3,TGB,number_inpatient,0.5,0.5974,0.76,-0.1626
10,3,TGB,number_inpatient,0.5,0.5974,0.76,-0.1626
5,3,TGB,number_inpatient,0.5,0.5974,0.76,-0.1626
20,2,TGB,number_inpatient,0.5,0.5974,0.76,-0.1626
35,2,TGB,number_inpatient,0.5,0.5974,0.76,-0.1626
35,3,TGB,number_inpatient,0.5,0.5974,0.76,-0.1626
35,1,TGB,number_inpatient,1.5,0.5821,0.6571,-0.075
35,3,TGB,number_inpatient,1.5,0.5821,0.6571,-0.075
35,2,TGB,number_inpatient,1.5,0.5821,0.6571,-0.075
20,3,TGB,number_inpatient,1.0,0.5821,0.6571,-0.075
15,1,TGB,number_inpatient,1.5,0.5821,0.6571,-0.075
15,2,TGB,number_inpatient,1.5,0.5821,0.6571,-0.075
10,3,TGB,number_inpatient,1.5,0.5821,0.6571,-0.075
30,3,TGB,number_inpatient,1.0,0.5821,0.6571,-0.075
30,2,TGB,number_inpatient,1.5,0.5821,0.6571,-0.075
10,2,TGB,number_inpatient,1.5,0.5821,0.6571,-0.075
15,3,TGB,number_inpatient,1.5,0.5821,0.6571,-0.075
30,1,TGB,number_inpatient,1.5,0.5821,0.6571,-0.075
25,3,TGB,number_inpatient,1.0,0.5821,0.6571,-0.075
25,1,TGB,number_inpatient,1.5,0.5821,0.6571,-0.075
20,2,TGB,number_inpatient,1.5,0.5821,0.6571,-0.075
25,2,TGB,number_inpatient,1.5,0.5821,0.6571,-0.075
20,1,TGB,number_inpatient,1.5,0.5821,0.6571,-0.075
5,3,TGB,number_inpatient,1.5,0.5821,0.6571,-0.075
35,3,TGB,number_inpatient,1.0,0.5821,0.6571,-0.075
25,3,TGB,number_inpatient,1.5,0.5821,0.6571,-0.075
15,3,TGB,race_AfricanAmerican,0.5,0.5286,0.6257,-0.0971
35,3,TGB,race_AfricanAmerican,0.5,0.5286,0.6257,-0.0971
5,3,TGB,race_AfricanAmerican,0.5,0.5286,0.6257,-0.0971
30,3,TGB,race_AfricanAmerican,0.5,0.5286,0.6257,-0.0971
25,3,TGB,race_AfricanAmerican,0.5,0.5286,0.6257,-0.0971
10,3,TGB,race_AfricanAmerican,0.5,0.5286,0.6257,-0.0971
20,3,TGB,race_AfricanAmerican,0.5,0.5286,0.6257,-0.0971
15,3,TGB,num_lab_procedures,55.5,0.5071,0.62,-0.1129
30,3,TGB,num_lab_procedures,55.5,0.5071,0.62,-0.1129
10,3,TGB,num_lab_procedures,55.5,0.5071,0.62,-0.1129
5,3,TGB,num_lab_procedures,55.5,0.5071,0.62,-0.1129
25,3,TGB,num_lab_procedures,55.5,0.5071,0.62,-0.1129
20,3,TGB,num_lab_procedures,55.5,0.5071,0.62,-0.1129
35,3,TGB,num_lab_procedures,55.5,0.5071,0.62,-0.1129
25,3,TGB,num_medications,6.5,0.573,0.6171,-0.0442
35,3,TGB,num_medications,6.5,0.573,0.6171,-0.0442
30,3,TGB,num_medications,6.5,0.573,0.6171,-0.0442
5,1,TGB,num_medications,10.5,0.6194,0.6143,0.0051
30,3,TGB,age_[70-80),0.5,0.548,0.6143,-0.0663
15,2,TGB,num_medications,10.5,0.6194,0.6143,0.0051
10,2,TGB,num_medications,10.5,0.6194,0.6143,0.0051
10,1,TGB,num_medications,10.5,0.6194,0.6143,0.0051
30,3,TGB,num_medications,10.5,0.6194,0.6143,0.0051
15,3,TGB,num_medications,10.5,0.6194,0.6143,0.0051
35,3,TGB,num_medications,10.5,0.6194,0.6143,0.0051
30,1,TGB,num_medications,10.5,0.6194,0.6143,0.0051
25,3,TGB,num_medications,10.5,0.6194,0.6143,0.0051
20,1,TGB,num_medications,10.5,0.6194,0.6143,0.0051
20,2,TGB,num_medications,10.5,0.6194,0.6143,0.0051
25,2,TGB,num_medications,10.5,0.6194,0.6143,0.0051
5,3,TGB,num_medications,10.5,0.6194,0.6143,0.0051
25,1,TGB,num_medications,10.5,0.6194,0.6143,0.0051
20,3,TGB,num_medications,10.5,0.6194,0.6143,0.0051
15,1,TGB,num_medications,10.5,0.6194,0.6143,0.0051
30,2,TGB,num_medications,10.5,0.6194,0.6143,0.0051
35,1,TGB,num_medications,10.5,0.6194,0.6143,0.0051
10,3,TGB,num_medications,10.5,0.6194,0.6143,0.0051
35,2,TGB,num_medications,10.5,0.6194,0.6143,0.0051
,,XGBoost,number_inpatient,1.0,0.6107,0.613,-0.0023
5,3,TGB,num_medications,9.5,0.5923,0.6086,-0.0162
10,3,TGB,num_medications,9.5,0.5923,0.6086,-0.0162
25,3,TGB,num_medications,9.5,0.5923,0.6086,-0.0162
35,3,TGB,num_medications,9.5,0.5923,0.6086,-0.0162
20,3,TGB,num_medications,9.5,0.5923,0.6086,-0.0162
30,3,TGB,num_medications,9.5,0.5923,0.6086,-0.0162
15,3,TGB,num_medications,9.5,0.5923,0.6086,-0.0162
100,3,TGB,number_inpatient,0.5,0.6011,0.6034,-0.0023
200,1,TGB,number_inpatient,0.5,0.6011,0.6034,-0.0023
40,3,TGB,number_inpatient,0.5,0.6011,0.6034,-0.0023
200,2,TGB,number_inpatient,0.5,0.6011,0.6034,-0.0023
40,1,TGB,number_inpatient,0.5,0.6011,0.6034,-0.0023
200,3,TGB,number_inpatient,0.5,0.6011,0.6034,-0.0023
40,2,TGB,number_inpatient,0.5,0.6011,0.6034,-0.0023
100,1,TGB,number_inpatient,0.5,0.6011,0.6034,-0.0023
100,2,TGB,number_inpatient,0.5,0.6011,0.6034,-0.0023
15,3,TGB,gender_Male,0.5,0.5505,0.5886,-0.0381
25,3,TGB,gender_Female,0.5,0.5505,0.5886,-0.0381
5,3,TGB,gender_Female,0.5,0.5505,0.5886,-0.0381
10,3,TGB,gender_Female,0.5,0.5505,0.5886,-0.0381
35,3,TGB,gender_Male,0.5,0.5505,0.5886,-0.0381
15,3,TGB,gender_Female,0.5,0.5505,0.5886,-0.0381
35,3,TGB,gender_Female,0.5,0.5505,0.5886,-0.0381
30,2,TGB,gender_Female,0.5,0.5505,0.5886,-0.0381
25,2,TGB,gender_Female,0.5,0.5505,0.5886,-0.0381
15,2,TGB,gender_Female,0.5,0.5505,0.5886,-0.0381
10,3,TGB,gender_Male,0.5,0.5505,0.5886,-0.0381
30,3,TGB,gender_Female,0.5,0.5505,0.5886,-0.0381
30,3,TGB,gender_Male,0.5,0.5505,0.5886,-0.0381
20,2,TGB,gender_Female,0.5,0.5505,0.5886,-0.0381
10,2,TGB,gender_Female,0.5,0.5505,0.5886,-0.0381
20,3,TGB,gender_Male,0.5,0.5505,0.5886,-0.0381
35,2,TGB,gender_Female,0.5,0.5505,0.5886,-0.0381
200,1,TGB,number_inpatient,1.5,0.568,0.5683,-0.0003
100,3,TGB,number_inpatient,1.5,0.568,0.5683,-0.0003
200,2,TGB,number_inpatient,1.5,0.568,0.5683,-0.0003
200,3,TGB,number_inpatient,1.5,0.568,0.5683,-0.0003
100,2,TGB,number_inpatient,1.5,0.568,0.5683,-0.0003
40,1,TGB,number_inpatient,1.5,0.568,0.5683,-0.0003
100,1,TGB,number_inpatient,1.5,0.568,0.5683,-0.0003
40,3,TGB,number_inpatient,1.5,0.568,0.5683,-0.0003
40,2,TGB,number_inpatient,1.5,0.568,0.5683,-0.0003
10,3,TGB,age_[80-90),0.5,0.5036,0.5657,-0.0621
35,3,TGB,age_[80-90),0.5,0.5036,0.5657,-0.0621
15,3,TGB,age_[80-90),0.5,0.5036,0.5657,-0.0621
20,2,TGB,age_[80-90),0.5,0.5036,0.5657,-0.0621
30,2,TGB,age_[80-90),0.5,0.5036,0.5657,-0.0621
15,2,TGB,age_[80-90),0.5,0.5036,0.5657,-0.0621
25,2,TGB,age_[80-90),0.5,0.5036,0.5657,-0.0621
35,2,TGB,age_[80-90),0.5,0.5036,0.5657,-0.0621
10,2,TGB,age_[80-90),0.5,0.5036,0.5657,-0.0621
20,3,TGB,age_[80-90),0.5,0.5036,0.5657,-0.0621
30,3,TGB,age_[80-90),0.5,0.5036,0.5657,-0.0621
25,3,TGB,age_[80-90),0.5,0.5036,0.5657,-0.0621
,,XGBoost,number_diagnoses,7.0,0.5594,0.5584,0.001
10,2,TGB,discharge_disposition_id,6.5,0.5046,0.5571,-0.0526
25,2,TGB,discharge_disposition_id,6.5,0.5046,0.5571,-0.0526
15,2,TGB,discharge_disposition_id,6.5,0.5046,0.5571,-0.0526
35,2,TGB,discharge_disposition_id,6.5,0.5046,0.5571,-0.0526
20,2,TGB,discharge_disposition_id,6.5,0.5046,0.5571,-0.0526
30,2,TGB,discharge_disposition_id,6.5,0.5046,0.5571,-0.0526
25,3,TGB,num_lab_procedures,50.0,0.5148,0.5543,-0.0395
20,3,TGB,num_lab_procedures,50.0,0.5148,0.5543,-0.0395
35,3,TGB,num_medications,15.5,0.6316,0.5543,0.0773
35,3,TGB,num_lab_procedures,74.0,0.5286,0.5543,-0.0257
35,2,TGB,num_medications,15.5,0.6316,0.5543,0.0773
25,1,TGB,num_medications,15.5,0.6316,0.5543,0.0773
30,3,TGB,num_lab_procedures,50.5,0.5148,0.5543,-0.0395
25,2,TGB,num_medications,15.5,0.6316,0.5543,0.0773
