n_estimators,max_depth,Model,Feature,Threshold (≤),Train AUC,Test AUC,Train-Test gap
,,XGBoost,number_inpatient,1.0,0.6014,0.6048,-0.0034
5,1,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
200,3,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
15,3,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
20,1,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
20,2,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
20,3,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
25,1,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
25,2,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
25,3,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
30,1,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
30,2,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
30,3,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
15,1,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
35,1,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
35,2,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
35,3,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
200,2,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
200,1,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
40,1,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
40,2,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
40,3,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
100,1,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
100,2,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
15,2,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
100,3,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
10,1,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
5,2,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
10,3,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
5,3,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
10,2,TGB,number_inpatient,0.5,0.5926,0.597,-0.0043
