n_estimators,max_depth,Model,Feature,Threshold (≤),Train AUC,Test AUC,Train-Test gap
,,XGBoost,ExternalRiskEstimate,74.0,0.7407,0.7521,-0.0114
20,3,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
20,1,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
30,2,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
5,3,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
30,3,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
5,1,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
10,1,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
35,1,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
200,1,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
10,2,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
40,2,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
10,3,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
100,1,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
15,2,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
200,2,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
20,2,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
200,3,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
40,3,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
15,3,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
35,3,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
15,1,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
25,3,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
25,2,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
100,3,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
40,1,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
100,2,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
25,1,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
30,1,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
35,2,TGB,ExternalRiskEstimate,70.5,0.6933,0.7104,-0.0171
200,1,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
15,2,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
35,3,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
100,3,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
20,1,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
40,1,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
15,1,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
10,3,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
20,2,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
40,3,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
100,2,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
35,2,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
100,1,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
5,1,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
25,3,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
5,2,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
5,3,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
25,2,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
25,1,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
15,3,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
30,1,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
30,2,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
200,3,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
30,3,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
10,2,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
20,3,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
200,2,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
35,1,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
40,2,TGB,ExternalRiskEstimate,73.5,0.6954,0.7001,-0.0046
15,3,TGB,ExternalRiskEstimate,74.5,0.6935,0.6982,-0.0047
100,1,TGB,ExternalRiskEstimate,74.5,0.6935,0.6982,-0.0047
40,3,TGB,ExternalRiskEstimate,74.5,0.6935,0.6982,-0.0047
5,1,TGB,ExternalRiskEstimate,74.5,0.6935,0.6982,-0.0047
40,2,TGB,ExternalRiskEstimate,74.5,0.6935,0.6982,-0.0047
40,1,TGB,ExternalRiskEstimate,74.5,0.6935,0.6982,-0.0047
35,3,TGB,ExternalRiskEstimate,74.5,0.6935,0.6982,-0.0047
