n_estimators,max_depth,Model,Feature,Threshold (≤),Train AUC,Test AUC,Train-Test gap
,,XGBoost,char_freq_!,0.079,0.8239,0.8499,-0.0261
5,1,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
25,2,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
35,2,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
35,1,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
30,3,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
30,2,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
10,1,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
30,1,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
25,3,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
25,1,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
40,1,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
10,2,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
20,3,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
20,2,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
20,1,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
15,3,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
15,2,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
15,1,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
10,3,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
35,3,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
200,1,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
40,3,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
100,1,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
100,2,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
5,3,TGB,char_freq_!,0.079500000923872,0.7848,0.7989,-0.0141
