parameter,n_estimators,max_depth,num_splits_used
nest5_depth1,5,1,3
nest5_depth2,5,2,7
nest5_depth3,5,3,28
nest10_depth1,10,1,7
nest10_depth2,10,2,27
nest10_depth3,10,3,58
nest15_depth1,15,1,10
nest15_depth2,15,2,27
nest15_depth3,15,3,58
nest20_depth1,20,1,7
nest20_depth2,20,2,27
nest20_depth3,20,3,59
nest25_depth1,25,1,10
nest25_depth2,25,2,27
nest25_depth3,25,3,60
nest30_depth1,30,1,10
nest30_depth2,30,2,27
nest30_depth3,30,3,58
nest35_depth1,35,1,10
nest35_depth2,35,2,27
nest35_depth3,35,3,60
nest40_depth1,40,1,10
nest40_depth2,40,2,27
nest40_depth3,40,3,60
nest100_depth1,100,1,10
nest100_depth2,100,2,27
