parameter,n_estimators,max_depth,num_splits_used
nest5_depth1,5,1,3
nest5_depth2,5,2,2
nest5_depth3,5,3,21
nest10_depth1,10,1,2
nest10_depth2,10,2,15
nest10_depth3,10,3,17
nest15_depth1,15,1,6
nest15_depth2,15,2,14
nest15_depth3,15,3,41
nest20_depth1,20,1,6
nest20_depth2,20,2,18
nest20_depth3,20,3,33
nest25_depth1,25,1,6
nest25_depth2,25,2,18
nest25_depth3,25,3,41
nest30_depth1,30,1,6
nest30_depth2,30,2,18
nest30_depth3,30,3,41
nest35_depth1,35,1,6
nest35_depth2,35,2,18
nest35_depth3,35,3,41
nest40_depth1,40,1,6
nest40_depth2,40,2,18
nest40_depth3,40,3,41
nest100_depth1,100,1,6
nest100_depth2,100,2,18
nest100_depth3,100,3,41
nest200_depth1,200,1,6
nest200_depth2,200,2,18
nest200_depth3,200,3,41
