parameter,n_estimators,max_depth,num_splits_used
nest5_depth1,5,1,4
nest5_depth2,5,2,9
nest5_depth3,5,3,16
nest10_depth1,10,1,7
nest10_depth2,10,2,14
nest10_depth3,10,3,27
nest15_depth1,15,1,7
nest15_depth2,15,2,18
nest15_depth3,15,3,33
nest20_depth1,20,1,7
nest20_depth2,20,2,20
nest20_depth3,20,3,41
nest25_depth1,25,1,7
nest25_depth2,25,2,19
nest25_depth3,25,3,38
nest30_depth1,30,1,7
nest30_depth2,30,2,16
nest30_depth3,30,3,34
nest35_depth1,35,1,7
nest35_depth2,35,2,18
nest35_depth3,35,3,39
nest40_depth1,40,1,7
nest40_depth2,40,2,19
nest40_depth3,40,3,40
nest100_depth1,100,1,7
nest100_depth2,100,2,18
nest100_depth3,100,3,40
nest200_depth1,200,1,7
nest200_depth2,200,2,18
nest200_depth3,200,3,44
