parameter,n_estimators,max_depth,feature,threshold,tree_count,total_binary_variables,importance
nest5_depth1,5,1,hr,6.5,5,1,1.0
nest5_depth2,5,2,hr,6.5,5,3,0.7663
nest5_depth2,5,2,temp,0.45,8,3,0.1411
nest5_depth2,5,2,atemp,0.3257,2,3,0.0925
nest5_depth3,5,3,hr,6.5,5,13,0.6642
nest5_depth3,5,3,temp,0.37,1,13,0.0562
nest5_depth3,5,3,temp,0.45,2,13,0.0474
nest5_depth3,5,3,hr,22.5,3,13,0.0422
nest5_depth3,5,3,atemp,0.3409,1,13,0.0391
nest5_depth3,5,3,yr,0.5,9,13,0.0354
nest5_depth3,5,3,temp,0.47,4,13,0.0333
nest5_depth3,5,3,temp,0.31,1,13,0.029
nest5_depth3,5,3,hr,21.5,1,13,0.0166
nest5_depth3,5,3,hr,20.5,1,13,0.0144
nest5_depth3,5,3,hum,0.805,1,13,0.0142
nest5_depth3,5,3,hr,5.5,5,13,0.0042
nest5_depth3,5,3,hr,19.5,1,13,0.0037
nest10_depth1,10,1,hr,6.5,8,2,0.9026
nest10_depth1,10,1,temp,0.47,2,2,0.0974
nest10_depth2,10,2,hr,6.5,10,10,0.7339
nest10_depth2,10,2,temp,0.37,1,10,0.0459
nest10_depth2,10,2,hr,21.5,2,10,0.0424
nest10_depth2,10,2,temp,0.45,3,10,0.0384
nest10_depth2,10,2,atemp,0.3257,1,10,0.032
nest10_depth2,10,2,temp,0.47,2,10,0.0278
nest10_depth2,10,2,temp,0.31,1,10,0.0237
nest10_depth2,10,2,season,1.5,1,10,0.0207
nest10_depth2,10,2,temp,0.49,1,10,0.0181
nest10_depth2,10,2,yr,0.5,8,10,0.0171
nest10_depth3,10,3,hr,6.5,10,19,0.6349
nest10_depth3,10,3,temp,0.37,1,19,0.0396
nest10_depth3,10,3,temp,0.47,8,19,0.0385
nest10_depth3,10,3,yr,0.5,16,19,0.0365
nest10_depth3,10,3,temp,0.45,4,19,0.0343
nest10_depth3,10,3,temp,0.31,2,19,0.0302
nest10_depth3,10,3,hr,22.5,3,19,0.0298
nest10_depth3,10,3,season,1.5,2,19,0.0295
nest10_depth3,10,3,hr,21.5,3,19,0.0284
nest10_depth3,10,3,atemp,0.3409,1,19,0.0276
nest10_depth3,10,3,hr,20.5,2,19,0.0173
nest10_depth3,10,3,atemp,0.3106,1,19,0.0134
nest10_depth3,10,3,hum,0.805,1,19,0.01
nest10_depth3,10,3,weathersit,2.5,1,19,0.0077
nest10_depth3,10,3,hum,0.745,1,19,0.0072
nest10_depth3,10,3,hum,0.815,1,19,0.0047
nest10_depth3,10,3,hr,19.5,2,19,0.0043
nest10_depth3,10,3,hr,5.5,10,19,0.0041
nest10_depth3,10,3,season,2.5,1,19,0.0021
nest15_depth1,15,1,hr,6.5,8,2,0.8651
nest15_depth1,15,1,temp,0.37,2,2,0.1349
nest15_depth2,15,2,hr,6.5,10,16,0.6677
nest15_depth2,15,2,hr,21.5,2,16,0.05
nest15_depth2,15,2,temp,0.37,1,16,0.0398
nest15_depth2,15,2,temp,0.45,1,16,0.033
nest15_depth2,15,2,yr,0.5,3,16,0.0288
nest15_depth2,15,2,atemp,0.3257,1,16,0.0278
nest15_depth2,15,2,temp,0.47,1,16,0.0239
nest15_depth2,15,2,temp,0.31,1,16,0.0205
nest15_depth2,15,2,season,1.5,1,16,0.018
nest15_depth2,15,2,temp,0.49,1,16,0.0157
nest15_depth2,15,2,hr,5.5,8,16,0.0086
nest15_depth3,15,3,hr,6.5,10,25,0.5904
nest15_depth3,15,3,yr,0.5,11,25,0.0451
nest15_depth3,15,3,hr,21.5,3,25,0.0362
nest15_depth3,15,3,temp,0.37,1,25,0.0342
nest15_depth3,15,3,temp,0.47,4,25,0.0331
nest15_depth3,15,3,season,1.5,2,25,0.0322
nest15_depth3,15,3,hr,22.5,3,25,0.0303
nest15_depth3,15,3,temp,0.45,3,25,0.0293
nest15_depth3,15,3,temp,0.31,2,25,0.026
nest15_depth3,15,3,atemp,0.3409,1,25,0.0238
nest15_depth3,15,3,weathersit,2.5,1,25,0.0166
nest15_depth3,15,3,hr,20.5,2,25,0.0149
nest15_depth3,15,3,atemp,0.3106,1,25,0.0115
nest15_depth3,15,3,hum,0.805,1,25,0.0086
nest15_depth3,15,3,hr,19.5,2,25,0.0065
nest15_depth3,15,3,hum,0.745,1,25,0.0062
nest15_depth3,15,3,hr,5.5,10,25,0.0041
nest15_depth3,15,3,hum,0.815,1,25,0.004
nest15_depth3,15,3,workingday,0.5,9,25,0.0037
nest15_depth3,15,3,season,2.5,1,25,0.0019
nest15_depth3,15,3,atemp,0.5228,1,25,0.0012
nest20_depth1,20,1,hr,6.5,8,8,0.7703
nest20_depth1,20,1,temp,0.47,1,8,0.0592
nest20_depth1,20,1,atemp,0.5985,1,8,0.0583
nest20_depth2,20,2,hr,6.5,10,24,0.6207
nest20_depth2,20,2,hr,21.5,2,24,0.0458
nest20_depth2,20,2,temp,0.37,1,24,0.0364
nest20_depth2,20,2,yr,0.5,3,24,0.0324
nest20_depth2,20,2,temp,0.45,1,24,0.0302
nest20_depth2,20,2,temp,0.31,1,24,0.0273
nest20_depth2,20,2,atemp,0.3257,1,24,0.0255
nest20_depth2,20,2,temp,0.47,1,24,0.0219
nest20_depth2,20,2,hr,5.5,8,24,0.0215
nest20_depth2,20,2,season,1.5,1,24,0.0165
nest20_depth2,20,2,temp,0.49,1,24,0.0144
nest20_depth3,20,3,hr,6.5,10,32,0.5536
nest20_depth3,20,3,yr,0.5,11,32,0.0516
nest20_depth3,20,3,hr,21.5,3,32,0.0369
nest20_depth3,20,3,season,1.5,2,32,0.0342
nest20_depth3,20,3,temp,0.37,1,32,0.0318
nest20_depth3,20,3,temp,0.47,2,32,0.0308
nest20_depth3,20,3,hr,22.5,3,32,0.0294
nest20_depth3,20,3,temp,0.31,2,32,0.0272
nest20_depth3,20,3,temp,0.45,2,32,0.0268
nest20_depth3,20,3,atemp,0.3409,1,32,0.0221
nest20_depth3,20,3,weathersit,2.5,1,32,0.0189
nest20_depth3,20,3,hr,20.5,2,32,0.0149
nest20_depth3,20,3,hr,5.5,10,32,0.0129
nest20_depth3,20,3,atemp,0.3106,1,32,0.0107
nest20_depth3,20,3,hum,0.805,1,32,0.008
nest20_depth3,20,3,hr,19.5,2,32,0.0073
nest20_depth3,20,3,hum,0.745,1,32,0.0058
nest20_depth3,20,3,workingday,0.5,5,32,0.0045
nest20_depth3,20,3,hum,0.815,1,32,0.0037
nest20_depth3,20,3,season,2.5,1,32,0.0017
nest20_depth3,20,3,hr,0.5,7,32,0.0005
nest20_depth3,20,3,atemp,0.4318,1,32,0.0005
nest25_depth1,25,1,hr,6.5,8,12,0.7208
nest25_depth1,25,1,temp,0.47,1,12,0.0554
nest25_depth1,25,1,atemp,0.5985,1,12,0.0545
nest25_depth2,25,2,hr,6.5,10,27,0.5964
nest25_depth2,25,2,hr,21.5,2,27,0.0484
nest25_depth2,25,2,yr,0.5,3,27,0.0353
nest25_depth2,25,2,temp,0.37,1,27,0.0345
nest25_depth2,25,2,temp,0.45,1,27,0.0286
nest25_depth2,25,2,temp,0.31,1,27,0.0258
nest25_depth2,25,2,hr,5.5,8,27,0.0247
nest25_depth2,25,2,atemp,0.3257,1,27,0.0241
nest25_depth2,25,2,temp,0.47,1,27,0.0208
nest25_depth2,25,2,season,1.5,1,27,0.02
nest25_depth2,25,2,temp,0.49,1,27,0.0136
nest25_depth3,25,3,hr,6.5,10,39,0.5328
nest25_depth3,25,3,yr,0.5,11,39,0.0535
nest25_depth3,25,3,hr,21.5,3,39,0.0369
nest25_depth3,25,3,season,1.5,2,39,0.0328
nest25_depth3,25,3,hr,22.5,3,39,0.0309
nest25_depth3,25,3,temp,0.37,1,39,0.0304
nest25_depth3,25,3,temp,0.47,2,39,0.0295
nest25_depth3,25,3,temp,0.45,2,39,0.028
nest25_depth3,25,3,temp,0.31,2,39,0.0261
nest25_depth3,25,3,weathersit,2.5,1,39,0.0222
nest25_depth3,25,3,atemp,0.3409,1,39,0.0212
nest25_depth3,25,3,hr,20.5,2,39,0.0157
nest25_depth3,25,3,hr,5.5,10,39,0.0126
nest25_depth3,25,3,atemp,0.3106,1,39,0.0103
nest25_depth3,25,3,hr,19.5,2,39,0.0078
nest25_depth3,25,3,hum,0.805,1,39,0.0077
nest25_depth3,25,3,hum,0.745,1,39,0.0056
nest25_depth3,25,3,workingday,0.5,5,39,0.0047
nest25_depth3,25,3,hum,0.815,1,39,0.0036
nest25_depth3,25,3,season,2.5,1,39,0.0031
