parameter,n_estimators,max_depth,feature,threshold,tree_count,total_binary_variables,importance
nest5_depth1,5,1,perimeter_worst,112.8,2,4,0.4158
nest5_depth1,5,1,concave points_worst,0.1417,1,4,0.2278
nest5_depth1,5,1,radius_worst,16.795,1,4,0.1945
nest5_depth1,5,1,concave points_mean,0.0513,1,4,0.1619
nest5_depth2,5,2,radius_worst,16.795,3,7,0.3437
nest5_depth2,5,2,perimeter_worst,112.8,1,7,0.2488
nest5_depth2,5,2,perimeter_worst,114.45,2,7,0.174
nest5_depth2,5,2,concave points_mean,0.0513,2,7,0.1168
nest5_depth2,5,2,concave points_worst,0.142,2,7,0.0461
nest5_depth2,5,2,concave points_worst,0.1603,2,7,0.0427
nest5_depth2,5,2,texture_mean,14.99,3,7,0.028
nest5_depth3,5,3,perimeter_worst,112.8,4,16,0.7027
nest5_depth3,5,3,perimeter_worst,114.45,1,16,0.1015
nest5_depth3,5,3,concave points_worst,0.1603,2,16,0.0399
nest5_depth3,5,3,texture_worst,26.285,4,16,0.0225
nest5_depth3,5,3,area_mean,696.25,4,16,0.0214
nest5_depth3,5,3,concave points_worst,0.1359,2,16,0.0192
nest5_depth3,5,3,concave points_mean,0.0501,3,16,0.013
nest5_depth3,5,3,concave points_worst,0.1398,2,16,0.0126
nest5_depth3,5,3,concave points_worst,0.1456,1,16,0.0126
nest5_depth3,5,3,concave points_worst,0.1807,1,16,0.0122
nest5_depth3,5,3,texture_mean,14.955,2,16,0.0115
nest5_depth3,5,3,texture_mean,16.78,1,16,0.0074
nest5_depth3,5,3,compactness_se,0.0172,2,16,0.0073
nest5_depth3,5,3,texture_worst,24.785,1,16,0.006
nest5_depth3,5,3,area_worst,810.1,3,16,0.0052
nest5_depth3,5,3,concavity_worst,0.1981,2,16,0.0048
nest10_depth1,10,1,perimeter_worst,112.8,6,2,0.5902
nest10_depth1,10,1,concave points_worst,0.1417,4,2,0.4098
nest10_depth2,10,2,perimeter_worst,112.8,1,17,0.1787
nest10_depth2,10,2,concave points_mean,0.0513,4,17,0.1687
nest10_depth2,10,2,radius_worst,16.795,3,17,0.1671
nest10_depth2,10,2,radius_worst,16.805,1,17,0.1446
nest10_depth2,10,2,perimeter_worst,114.45,1,17,0.1177
nest10_depth2,10,2,concave points_mean,0.0559,1,17,0.0444
nest10_depth2,10,2,concave points_worst,0.1417,1,17,0.0368
nest10_depth2,10,2,concave points_worst,0.142,2,17,0.0334
nest10_depth2,10,2,concave points_worst,0.1603,2,17,0.0262
nest10_depth2,10,2,texture_mean,14.99,3,17,0.019
nest10_depth2,10,2,concavity_worst,0.2248,3,17,0.017
nest10_depth2,10,2,concave points_worst,0.1788,1,17,0.0146
nest10_depth2,10,2,area_worst,710.2,2,17,0.0093
nest10_depth2,10,2,area_mean,696.25,2,17,0.006
nest10_depth2,10,2,area_worst,957.45,1,17,0.0057
nest10_depth2,10,2,area_se,34.405,1,17,0.0056
nest10_depth2,10,2,texture_se,0.4731,1,17,0.0053
nest10_depth3,10,3,perimeter_worst,112.8,5,23,0.5622
nest10_depth3,10,3,concave points_mean,0.0513,6,23,0.1273
nest10_depth3,10,3,perimeter_worst,114.45,2,23,0.0747
