parameter,n_estimators,max_depth,feature,threshold,tree_count,total_binary_variables,importance
nest5_depth1,5,1,V14,-1.7688,2,3,0.3913
nest5_depth1,5,1,V14,-1.8273,2,3,0.318
nest5_depth1,5,1,V14,-1.8124,1,3,0.2907
nest5_depth2,5,2,V14,-1.8124,1,7,0.2731
nest5_depth2,5,2,V14,-1.7704,1,7,0.2214
nest5_depth2,5,2,V14,-1.7584,1,7,0.1797
nest5_depth2,5,2,V14,-1.5734,1,7,0.1463
nest5_depth2,5,2,V14,-1.4367,1,7,0.1192
nest5_depth2,5,2,V4,0.7524,5,7,0.0333
nest5_depth2,5,2,V4,-0.0999,5,7,0.027
nest5_depth3,5,3,V14,-1.8124,2,28,0.3991
nest5_depth3,5,3,V14,-1.7869,1,28,0.2108
nest5_depth3,5,3,V14,-1.7585,1,28,0.1711
nest5_depth3,5,3,V14,-1.5734,1,28,0.1134
nest5_depth3,5,3,V4,0.7564,2,28,0.0154
nest5_depth3,5,3,V4,-0.4578,2,28,0.0114
nest5_depth3,5,3,V12,-0.2197,1,28,0.0083
nest5_depth3,5,3,V8,-0.1176,2,28,0.0079
nest5_depth3,5,3,V4,1.5319,1,28,0.0078
nest5_depth3,5,3,V4,0.7524,1,28,0.0068
nest5_depth3,5,3,V12,-0.2149,1,28,0.006
nest5_depth3,5,3,V14,-0.6369,1,28,0.006
nest5_depth3,5,3,V4,-0.0994,1,28,0.0047
nest5_depth3,5,3,V4,-0.0775,1,28,0.0043
nest5_depth3,5,3,V4,1.5747,1,28,0.0042
nest5_depth3,5,3,V10,0.6519,2,28,0.0034
nest5_depth3,5,3,V4,-0.1871,1,28,0.0034
nest5_depth3,5,3,V14,-0.6935,1,28,0.0029
nest5_depth3,5,3,V12,-1.4589,1,28,0.0024
nest5_depth3,5,3,V1,1.9643,1,28,0.0023
nest5_depth3,5,3,V7,0.6949,2,28,0.0021
nest5_depth3,5,3,V7,2.2519,1,28,0.0018
nest5_depth3,5,3,V1,1.9693,1,28,0.0017
nest5_depth3,5,3,V7,2.1286,1,28,0.0009
nest5_depth3,5,3,Amount,-0.1489,1,28,0.0007
nest5_depth3,5,3,V10,-1.334,1,28,0.0006
nest5_depth3,5,3,V26,-0.1289,1,28,0.0005
nest5_depth3,5,3,V10,-3.7741,2,28,0.0001
nest10_depth1,10,1,V14,-1.8124,1,7,0.2101
nest10_depth1,10,1,V14,-1.7688,1,7,0.1703
nest10_depth1,10,1,V14,-2.7159,2,7,0.1465
