parameter,n_estimators,max_depth,feature,threshold,tree_count,total_binary_variables,importance
nest5_depth1,5,1,V17,-2.7038,1,2,0.7258
nest5_depth1,5,1,V17,-2.7225,4,2,0.2742
nest5_depth2,5,2,V17,-3.3262,2,7,0.5778
nest5_depth2,5,2,V17,-2.7038,1,7,0.2919
nest5_depth2,5,2,V14,-7.7549,2,7,0.0359
nest5_depth2,5,2,V17,-3.0959,4,7,0.029
nest5_depth2,5,2,V14,-3.182,3,7,0.0247
nest5_depth2,5,2,V12,-2.1809,1,7,0.0246
nest5_depth2,5,2,V26,-0.2277,2,7,0.016
nest5_depth3,5,3,V17,-2.7038,2,23,0.3079
nest5_depth3,5,3,V14,-4.6642,4,23,0.1563
nest5_depth3,5,3,V10,-1.8473,2,23,0.137
nest5_depth3,5,3,V12,-2.4396,2,23,0.1015
nest5_depth3,5,3,V27,1.7919,3,23,0.0604
nest5_depth3,5,3,V17,-3.3262,1,23,0.0386
nest5_depth3,5,3,V14,-7.7549,1,23,0.036
nest5_depth3,5,3,V17,-2.7145,3,23,0.035
nest5_depth3,5,3,V12,-2.1809,1,23,0.0253
nest5_depth3,5,3,V17,-3.1761,1,23,0.0205
nest5_depth3,5,3,V17,-3.3989,1,23,0.0155
nest5_depth3,5,3,V14,-3.182,3,23,0.0135
nest5_depth3,5,3,V26,-0.2277,1,23,0.0097
nest5_depth3,5,3,V17,-3.0692,1,23,0.0097
nest5_depth3,5,3,V7,0.2395,1,23,0.0062
nest5_depth3,5,3,V27,1.6751,1,23,0.0062
nest5_depth3,5,3,V14,-4.6615,1,23,0.0059
nest5_depth3,5,3,V7,-2.1809,1,23,0.0057
nest5_depth3,5,3,V4,0.016,1,23,0.0039
nest5_depth3,5,3,V7,-3.562,1,23,0.0027
nest5_depth3,5,3,V12,-6.404,1,23,0.0015
nest5_depth3,5,3,V12,-5.6718,1,23,0.0007
nest5_depth3,5,3,V17,-3.1354,1,23,0.0006
nest10_depth1,10,1,V17,-2.7038,1,2,0.5402
nest10_depth1,10,1,V17,-2.7225,9,2,0.4598
nest10_depth2,10,2,V17,-3.3262,7,8,0.8026
nest10_depth2,10,2,V17,-2.7038,1,8,0.1159
nest10_depth2,10,2,V14,-3.182,8,8,0.0334
nest10_depth2,10,2,V14,-7.7549,2,8,0.0143
nest10_depth2,10,2,V12,-2.1809,1,8,0.0098
nest10_depth2,10,2,V17,-3.0959,2,8,0.0094
nest10_depth2,10,2,V17,-3.1616,7,8,0.0084
nest10_depth2,10,2,V26,-0.2277,2,8,0.0064
nest10_depth3,10,3,V17,-2.7038,4,29,0.2393
nest10_depth3,10,3,V14,-4.6642,9,29,0.1557
nest10_depth3,10,3,V12,-2.4396,3,29,0.1002
nest10_depth3,10,3,V10,-1.8473,2,29,0.0984
nest10_depth3,10,3,V17,-3.1761,6,29,0.0883
nest10_depth3,10,3,V27,1.7919,4,29,0.0575
nest10_depth3,10,3,V11,9.0185,4,29,0.035
nest10_depth3,10,3,V7,1.1003,2,29,0.0283
nest10_depth3,10,3,V17,-3.3262,1,29,0.0277
nest10_depth3,10,3,V10,0.614,2,29,0.0274
nest10_depth3,10,3,V14,-7.7549,1,29,0.0258
nest10_depth3,10,3,V12,-2.1809,1,29,0.0181
nest10_depth3,10,3,V8,3.4224,4,29,0.0174
nest10_depth3,10,3,V17,-3.3989,1,29,0.0111
nest10_depth3,10,3,V17,-2.7145,2,29,0.0107
nest10_depth3,10,3,V14,-3.182,4,29,0.0097
nest10_depth3,10,3,V7,-2.1809,2,29,0.0082
