parameter,n_estimators,max_depth,feature,threshold,tree_count,total_binary_variables,importance
nest5_depth1,5,1,number_inpatient,0.5,4,2,0.8399
nest5_depth1,5,1,number_inpatient,1.5,1,2,0.1601
nest5_depth2,5,2,number_inpatient,0.5,5,2,0.8396
nest5_depth2,5,2,number_diagnoses,5.5,10,2,0.1604
nest5_depth3,5,3,number_inpatient,0.5,5,8,0.6209
nest5_depth3,5,3,discharge_disposition_id,10.5,11,8,0.1043
nest5_depth3,5,3,number_diagnoses,5.5,4,8,0.0879
nest5_depth3,5,3,number_inpatient,1.5,3,8,0.0701
nest5_depth3,5,3,change,0.5,7,8,0.0541
nest5_depth3,5,3,number_inpatient,2.5,2,8,0.034
nest5_depth3,5,3,number_diagnoses,6.5,1,8,0.0164
nest5_depth3,5,3,number_outpatient,0.5,2,8,0.0123
nest10_depth1,10,1,number_inpatient,0.5,6,2,0.7066
nest10_depth1,10,1,number_inpatient,1.5,4,2,0.2934
nest10_depth2,10,2,number_inpatient,0.5,8,4,0.6422
nest10_depth2,10,2,number_inpatient,1.5,5,4,0.1403
nest10_depth2,10,2,number_diagnoses,5.5,8,4,0.1186
nest10_depth2,10,2,discharge_disposition_id,10.5,9,4,0.0988
nest10_depth3,10,3,number_inpatient,0.5,10,8,0.5971
nest10_depth3,10,3,discharge_disposition_id,10.5,21,8,0.1
nest10_depth3,10,3,number_diagnoses,5.5,9,8,0.0925
nest10_depth3,10,3,number_inpatient,1.5,6,8,0.068
nest10_depth3,10,3,change,0.5,11,8,0.0571
nest10_depth3,10,3,number_inpatient,2.5,3,8,0.0315
nest10_depth3,10,3,number_outpatient,0.5,6,8,0.0296
nest10_depth3,10,3,number_emergency,0.5,4,8,0.0244
nest15_depth1,15,1,number_inpatient,0.5,6,2,0.6943
nest15_depth1,15,1,number_inpatient,1.5,4,2,0.3057
nest15_depth2,15,2,number_inpatient,0.5,8,11,0.5268
nest15_depth2,15,2,number_inpatient,1.5,4,11,0.1404
nest15_depth2,15,2,discharge_disposition_id,10.5,6,11,0.0814
nest15_depth2,15,2,number_diagnoses,5.5,4,11,0.0779
nest15_depth2,15,2,change,0.5,3,11,0.0541
nest15_depth2,15,2,number_outpatient,0.5,2,11,0.0446
nest15_depth2,15,2,number_inpatient,2.5,1,11,0.0138
nest15_depth2,15,2,number_diagnoses,6.5,1,11,0.013
nest15_depth2,15,2,number_inpatient,3.5,1,11,0.0082
nest15_depth3,15,3,number_inpatient,0.5,10,25,0.5077
nest15_depth3,15,3,number_inpatient,1.5,6,25,0.0772
nest15_depth3,15,3,number_diagnoses,5.5,7,25,0.0689
nest15_depth3,15,3,change,0.5,8,25,0.0555
nest15_depth3,15,3,discharge_disposition_id,10,10,25,0.0513
nest15_depth3,15,3,discharge_disposition_id,10.5,6,25,0.042
nest15_depth3,15,3,number_outpatient,0.5,4,25,0.038
nest15_depth3,15,3,number_emergency,0.5,2,25,0.0307
nest15_depth3,15,3,number_inpatient,2.5,2,25,0.02
nest15_depth3,15,3,age,6.5,2,25,0.0152
nest15_depth3,15,3,number_diagnoses,6.5,2,25,0.0151
nest15_depth3,15,3,number_inpatient,3.5,2,25,0.0117
nest15_depth3,15,3,num_procedures,0.5,2,25,0.0089
nest15_depth3,15,3,gender,0.5,2,25,0.0071
nest15_depth3,15,3,diag_1,98.5,1,25,0.0056
nest15_depth3,15,3,num_medications,6.5,1,25,0.005
nest15_depth3,15,3,num_lab_procedures,35.5,2,25,0.0029
nest15_depth3,15,3,discharge_disposition_id,2.5,1,25,0.0027
nest20_depth1,20,1,number_inpatient,0.5,6,2,0.6783
nest20_depth1,20,1,number_inpatient,1.5,4,2,0.3217
nest20_depth2,20,2,number_inpatient,0.5,8,15,0.4884
nest20_depth2,20,2,number_inpatient,1.5,4,15,0.1383
nest20_depth2,20,2,discharge_disposition_id,10.5,6,15,0.0813
nest20_depth2,20,2,number_diagnoses,5.5,4,15,0.078
nest20_depth2,20,2,change,0.5,3,15,0.0551
nest20_depth2,20,2,number_outpatient,0.5,2,15,0.0482
nest20_depth2,20,2,number_inpatient,2.5,1,15,0.0203
nest20_depth2,20,2,number_diagnoses,6.5,1,15,0.0119
nest20_depth2,20,2,number_inpatient,3.5,1,15,0.0075
nest20_depth3,20,3,number_inpatient,0.5,10,35,0.4497
nest20_depth3,20,3,number_inpatient,1.5,6,35,0.0727
nest20_depth3,20,3,change,0.5,8,35,0.0659
nest20_depth3,20,3,discharge_disposition_id,10.5,11,35,0.0618
nest20_depth3,20,3,number_diagnoses,5.5,7,35,0.0602
nest20_depth3,20,3,number_outpatient,0.5,4,35,0.0397
nest20_depth3,20,3,number_emergency,0.5,2,35,0.0343
nest20_depth3,20,3,discharge_disposition_id,10,5,35,0.0237
nest20_depth3,20,3,number_inpatient,2.5,2,35,0.0175
nest20_depth3,20,3,age,6.5,2,35,0.016
nest20_depth3,20,3,number_diagnoses,6.5,2,35,0.0132
nest20_depth3,20,3,number_inpatient,3.5,2,35,0.0102
nest20_depth3,20,3,gender,0.5,2,35,0.01
nest20_depth3,20,3,num_procedures,0.5,2,35,0.0078
nest20_depth3,20,3,diag_1,98.5,1,35,0.0049
nest20_depth3,20,3,num_medications,6.5,1,35,0.0043
nest20_depth3,20,3,num_lab_procedures,35.5,2,35,0.0026
nest20_depth3,20,3,discharge_disposition_id,1.5,1,35,0.0012
nest25_depth1,25,1,number_inpatient,0.5,6,6,0.5197
nest25_depth1,25,1,number_inpatient,1.5,3,6,0.2399
nest25_depth1,25,1,number_diagnoses,5.5,1,6,0.0907
nest25_depth2,25,2,number_inpatient,0.5,8,20,0.4396
nest25_depth2,25,2,number_inpatient,1.5,4,20,0.1245
nest25_depth2,25,2,discharge_disposition_id,10.5,6,20,0.0808
nest25_depth2,25,2,number_diagnoses,5.5,4,20,0.0773
nest25_depth2,25,2,change,0.5,3,20,0.0602
nest25_depth2,25,2,number_outpatient,0.5,2,20,0.0484
nest25_depth2,25,2,number_inpatient,2.5,1,20,0.0232
nest25_depth2,25,2,number_diagnoses,6.5,1,20,0.0107
nest25_depth2,25,2,number_inpatient,3.5,1,20,0.0067
nest25_depth3,25,3,number_inpatient,0.5,10,46,0.405
nest25_depth3,25,3,number_inpatient,1.5,6,46,0.0677
nest25_depth3,25,3,change,0.5,8,46,0.0633
nest25_depth3,25,3,number_diagnoses,5.5,7,46,0.0567
nest25_depth3,25,3,discharge_disposition_id,10.5,9,46,0.0566
nest25_depth3,25,3,number_outpatient,0.5,4,46,0.0387
nest25_depth3,25,3,discharge_disposition_id,10,7,46,0.0309
nest25_depth3,25,3,number_emergency,0.5,2,46,0.0306
nest25_depth3,25,3,number_inpatient,2.5,2,46,0.0156
nest25_depth3,25,3,age,6.5,2,46,0.015
nest25_depth3,25,3,gender,0.5,2,46,0.0139
nest25_depth3,25,3,number_diagnoses,6.5,2,46,0.0118
nest25_depth3,25,3,number_inpatient,3.5,2,46,0.0091
nest25_depth3,25,3,num_procedures,0.5,2,46,0.0077
nest25_depth3,25,3,diag_1,98.5,1,46,0.0067
nest25_depth3,25,3,num_medications,6.5,1,46,0.0039
nest25_depth3,25,3,num_lab_procedures,35.5,2,46,0.0023
nest25_depth3,25,3,discharge_disposition_id,1.5,1,46,0.0011
nest30_depth1,30,1,number_inpatient,0.5,6,8,0.4962
nest30_depth1,30,1,number_inpatient,1.5,3,8,0.2065
nest30_depth1,30,1,number_diagnoses,5.5,1,8,0.0841
nest30_depth2,30,2,number_inpatient,0.5,8,21,0.4133
nest30_depth2,30,2,number_inpatient,1.5,4,21,0.1152
nest30_depth2,30,2,discharge_disposition_id,10.5,6,21,0.0828
nest30_depth2,30,2,number_diagnoses,5.5,4,21,0.0716
nest30_depth2,30,2,change,0.5,3,21,0.06
nest30_depth2,30,2,number_outpatient,0.5,2,21,0.0445
nest30_depth2,30,2,number_inpatient,2.5,1,21,0.0218
nest30_depth2,30,2,number_diagnoses,6.5,1,21,0.0136
nest30_depth2,30,2,number_inpatient,3.5,1,21,0.0083
nest30_depth3,30,3,number_inpatient,0.5,10,52,0.3759
nest30_depth3,30,3,change,0.5,8,52,0.0648
nest30_depth3,30,3,number_inpatient,1.5,6,52,0.0628
nest30_depth3,30,3,discharge_disposition_id,10,10,52,0.0537
nest30_depth3,30,3,number_diagnoses,5.5,7,52,0.0526
nest30_depth3,30,3,number_outpatient,0.5,4,52,0.038
nest30_depth3,30,3,discharge_disposition_id,10.5,6,52,0.0339
nest30_depth3,30,3,number_emergency,0.5,2,52,0.0322
nest30_depth3,30,3,number_inpatient,2.5,2,52,0.0153
nest30_depth3,30,3,age,6.5,2,52,0.0146
nest30_depth3,30,3,gender,0.5,2,52,0.0129
nest30_depth3,30,3,number_diagnoses,6.5,2,52,0.0109
nest30_depth3,30,3,num_procedures,0.5,2,52,0.01
nest30_depth3,30,3,number_inpatient,3.5,2,52,0.0084
nest30_depth3,30,3,diag_1,98.5,1,52,0.007
nest30_depth3,30,3,num_medications,6.5,1,52,0.0059
nest30_depth3,30,3,num_lab_procedures,35.5,2,52,0.0021
nest30_depth3,30,3,discharge_disposition_id,1.5,1,52,0.001
nest35_depth1,35,1,number_inpatient,0.5,6,5,0.5027
nest35_depth1,35,1,number_inpatient,1.5,3,5,0.2412
nest35_depth1,35,1,number_diagnoses,5.5,1,5,0.1109
nest35_depth2,35,2,number_inpatient,0.5,8,30,0.396
nest35_depth2,35,2,number_inpatient,1.5,4,30,0.1105
nest35_depth2,35,2,discharge_disposition_id,10.5,6,30,0.0806
nest35_depth2,35,2,number_diagnoses,5.5,4,30,0.0686
nest35_depth2,35,2,change,0.5,3,30,0.0659
nest35_depth2,35,2,number_outpatient,0.5,2,30,0.0464
nest35_depth2,35,2,number_inpatient,2.5,1,30,0.0206
nest35_depth2,35,2,number_diagnoses,6.5,1,30,0.0095
nest35_depth2,35,2,number_inpatient,3.5,1,30,0.0089
nest35_depth3,35,3,number_inpatient,0.5,10,62,0.3591
nest35_depth3,35,3,change,0.5,8,62,0.0639
nest35_depth3,35,3,number_inpatient,1.5,6,62,0.06
nest35_depth3,35,3,number_diagnoses,5.5,7,62,0.0519
nest35_depth3,35,3,discharge_disposition_id,10,7,62,0.0448
nest35_depth3,35,3,discharge_disposition_id,10.5,9,62,0.0445
nest35_depth3,35,3,number_outpatient,0.5,4,62,0.0378
nest35_depth3,35,3,number_emergency,0.5,2,62,0.0308
nest35_depth3,35,3,number_inpatient,2.5,2,62,0.0164
nest35_depth3,35,3,age,6.5,2,62,0.0141
nest35_depth3,35,3,gender,0.5,2,62,0.0139
nest35_depth3,35,3,num_procedures,0.5,2,62,0.0108
nest35_depth3,35,3,number_diagnoses,6.5,2,62,0.0105
nest35_depth3,35,3,diag_1,98.5,1,62,0.0091
nest35_depth3,35,3,number_inpatient,3.5,2,62,0.0081
nest35_depth3,35,3,num_medications,6.5,1,62,0.0056
nest35_depth3,35,3,discharge_disposition_id,1.5,1,62,0.0024
nest35_depth3,35,3,num_lab_procedures,35.5,2,62,0.002
nest40_depth1,40,1,number_inpatient,0.5,6,8,0.4561
nest40_depth1,40,1,number_inpatient,1.5,3,8,0.1899
nest40_depth1,40,1,number_diagnoses,5.5,1,8,0.0942
nest40_depth2,40,2,number_inpatient,0.5,8,33,0.3833
nest40_depth2,40,2,number_inpatient,1.5,4,33,0.1069
nest40_depth2,40,2,number_diagnoses,5.5,4,33,0.0687
nest40_depth2,40,2,change,0.5,3,33,0.0679
