parameter,n_estimators,max_depth,feature,threshold,tree_count,total_binary_variables,importance
nest5_depth1,5,1,num_medications,15.5,3,2,0.6047
nest5_depth1,5,1,num_medications,10.5,2,2,0.3953
nest5_depth2,5,2,num_medications,15.5,5,2,0.6486
nest5_depth2,5,2,num_lab_procedures,95.5,10,2,0.3514
nest5_depth3,5,3,num_medications,15.5,3,22,0.1494
nest5_depth3,5,3,num_medications,10.5,2,22,0.1277
nest5_depth3,5,3,num_lab_procedures,95.5,3,22,0.0966
nest5_depth3,5,3,number_inpatient,0.5,3,22,0.0707
nest5_depth3,5,3,diag_3_250,0.5,2,22,0.0574
nest5_depth3,5,3,num_lab_procedures,88.5,2,22,0.0543
nest5_depth3,5,3,time_in_hospital,7.5,1,22,0.0495
nest5_depth3,5,3,discharge_disposition_id,1.5,1,22,0.0418
nest5_depth3,5,3,diag_3_599,0.5,1,22,0.0388
nest5_depth3,5,3,number_inpatient,1.5,1,22,0.0324
nest5_depth3,5,3,gender_Female,0.5,2,22,0.0305
nest5_depth3,5,3,admission_source_id,4.5,1,22,0.0296
nest5_depth3,5,3,diag_2_781,0.5,1,22,0.0262
nest5_depth3,5,3,race_?,0.5,1,22,0.0262
nest5_depth3,5,3,diag_1_574,0.5,1,22,0.0262
nest5_depth3,5,3,num_lab_procedures,55.5,1,22,0.0252
nest5_depth3,5,3,diag_2_250.6,0.5,1,22,0.0232
nest5_depth3,5,3,race_AfricanAmerican,0.5,1,22,0.0231
nest5_depth3,5,3,num_medications,9.5,1,22,0.0204
nest5_depth3,5,3,diag_3_682,0.5,1,22,0.0178
nest5_depth3,5,3,glyburide_No,0.5,1,22,0.0169
nest5_depth3,5,3,diag_1_493,0.5,1,22,0.016
nest10_depth1,10,1,num_medications,15.5,5,2,0.541
nest10_depth1,10,1,num_medications,10.5,5,2,0.459
nest10_depth2,10,2,num_medications,10.5,3,16,0.1556
nest10_depth2,10,2,num_medications,15.5,2,16,0.1406
nest10_depth2,10,2,time_in_hospital,7.5,4,16,0.1254
nest10_depth2,10,2,num_lab_procedures,95.5,4,16,0.121
nest10_depth2,10,2,number_inpatient,0.5,3,16,0.0992
nest10_depth2,10,2,diag_3_250,0.5,2,16,0.067
nest10_depth2,10,2,number_inpatient,1.5,2,16,0.0657
nest10_depth2,10,2,race_?,0.5,2,16,0.0454
nest10_depth2,10,2,num_lab_procedures,47.5,1,16,0.03
nest10_depth2,10,2,gender_Female,0.5,1,16,0.0284
nest10_depth2,10,2,admission_source_id,4.5,1,16,0.0283
nest10_depth2,10,2,diag_2_250.6,0.5,1,16,0.0232
nest10_depth2,10,2,diag_2_781,0.5,1,16,0.023
nest10_depth2,10,2,discharge_disposition_id,6.5,1,16,0.0159
nest10_depth2,10,2,age_[80-90),0.5,1,16,0.0158
nest10_depth2,10,2,diag_1_250.6,0.5,1,16,0.0155
nest10_depth3,10,3,num_medications,15.5,3,29,0.1018
nest10_depth3,10,3,num_medications,10.5,3,29,0.094
