parameter,n_estimators,max_depth,feature,threshold,tree_count,total_binary_variables,importance
nest5_depth1,5,1,ExternalRiskEstimate,74.5,2,3,0.4455
nest5_depth1,5,1,ExternalRiskEstimate,70.5,2,3,0.3221
nest5_depth1,5,1,ExternalRiskEstimate,73.5,1,3,0.2323
nest5_depth2,5,2,ExternalRiskEstimate,74.5,5,2,0.9738
nest5_depth2,5,2,ExternalRiskEstimate,73.5,5,2,0.0262
nest5_depth3,5,3,ExternalRiskEstimate,74.5,3,21,0.4383
nest5_depth3,5,3,ExternalRiskEstimate,73.5,2,21,0.2818
nest5_depth3,5,3,MSinceMostRecentInqexcl7days,0.5,6,21,0.0431
nest5_depth3,5,3,ExternalRiskEstimate,67.5,2,21,0.0371
nest5_depth3,5,3,PercentTradesWBalance,47.5,2,21,0.0294
nest5_depth3,5,3,ExternalRiskEstimate,78.5,2,21,0.0261
nest5_depth3,5,3,PercentTradesWBalance,73.5,1,21,0.0153
nest5_depth3,5,3,NumSatisfactoryTrades,15.5,2,21,0.0151
nest5_depth3,5,3,ExternalRiskEstimate,63.5,2,21,0.0149
nest5_depth3,5,3,ExternalRiskEstimate,81.5,1,21,0.0138
nest5_depth3,5,3,MSinceMostRecentInqexcl7days,-7.5,1,21,0.0121
nest5_depth3,5,3,NetFractionRevolvingBurden,57.5,1,21,0.0118
nest5_depth3,5,3,ExternalRiskEstimate,80.5,1,21,0.0096
nest5_depth3,5,3,NumSatisfactoryTrades,27.5,1,21,0.0092
nest5_depth3,5,3,AverageMInFile,59.5,1,21,0.0079
nest5_depth3,5,3,PercentInstallTrades,43.5,1,21,0.0069
nest5_depth3,5,3,NetFractionRevolvingBurden,47.5,1,21,0.0067
nest5_depth3,5,3,MSinceOldestTradeOpen,138.5,2,21,0.0059
nest5_depth3,5,3,ExternalRiskEstimate,70.5,1,21,0.0055
nest5_depth3,5,3,AverageMInFile,49.5,1,21,0.0053
nest5_depth3,5,3,MSinceMostRecentInqexcl7days,1.5,1,21,0.0042
nest10_depth1,10,1,ExternalRiskEstimate,74.5,6,2,0.6542
nest10_depth1,10,1,ExternalRiskEstimate,70.5,4,2,0.3458
nest10_depth2,10,2,ExternalRiskEstimate,74.5,2,15,0.2769
nest10_depth2,10,2,ExternalRiskEstimate,73.5,2,15,0.2246
nest10_depth2,10,2,ExternalRiskEstimate,70.5,4,15,0.2055
nest10_depth2,10,2,ExternalRiskEstimate,75.5,2,15,0.0855
nest10_depth2,10,2,ExternalRiskEstimate,67.5,2,15,0.0309
nest10_depth2,10,2,ExternalRiskEstimate,78.5,2,15,0.0264
nest10_depth2,10,2,MSinceMostRecentInqexcl7days,0.5,2,15,0.0232
nest10_depth2,10,2,ExternalRiskEstimate,81.5,2,15,0.0203
nest10_depth2,10,2,MSinceMostRecentInqexcl7days,1.5,3,15,0.0188
nest10_depth2,10,2,AverageMInFile,63.5,2,15,0.018
nest10_depth2,10,2,PercentTradesWBalance,43.5,2,15,0.0179
nest10_depth2,10,2,MSinceMostRecentInqexcl7days,-7.5,2,15,0.0153
nest10_depth2,10,2,PercentTradesWBalance,73.5,1,15,0.0134
nest10_depth2,10,2,AverageMInFile,49.5,1,15,0.0122
nest10_depth2,10,2,NetFractionRevolvingBurden,57.5,1,15,0.0112
nest10_depth3,10,3,ExternalRiskEstimate,74.5,3,17,0.3117
nest10_depth3,10,3,ExternalRiskEstimate,73.5,3,17,0.2435
nest10_depth3,10,3,ExternalRiskEstimate,70.5,4,17,0.1179
nest10_depth3,10,3,MSinceMostRecentInqexcl7days,0.5,12,17,0.0443
nest10_depth3,10,3,ExternalRiskEstimate,67.5,3,17,0.0345
nest10_depth3,10,3,ExternalRiskEstimate,75.5,1,17,0.0299
nest10_depth3,10,3,ExternalRiskEstimate,78.5,3,17,0.0286
nest10_depth3,10,3,PercentTradesWBalance,47.5,3,17,0.0278
nest10_depth3,10,3,AverageMInFile,49.5,5,17,0.0214
nest10_depth3,10,3,ExternalRiskEstimate,81.5,3,17,0.0213
nest10_depth3,10,3,MSinceMostRecentInqexcl7days,1.5,7,17,0.0209
nest10_depth3,10,3,MSinceMostRecentInqexcl7days,-7.5,6,17,0.0196
nest10_depth3,10,3,ExternalRiskEstimate,63.5,5,17,0.0182
nest10_depth3,10,3,PercentTradesWBalance,73.5,2,17,0.0168
nest10_depth3,10,3,AverageMInFile,64.5,4,17,0.0157
nest10_depth3,10,3,NetFractionRevolvingBurden,57.5,3,17,0.0148
nest10_depth3,10,3,NumSatisfactoryTrades,27.5,3,17,0.0132
nest15_depth1,15,1,ExternalRiskEstimate,70.5,3,9,0.246
nest15_depth1,15,1,ExternalRiskEstimate,74.5,2,9,0.2314
nest15_depth1,15,1,ExternalRiskEstimate,78.5,2,9,0.1434
nest15_depth1,15,1,ExternalRiskEstimate,73.5,1,9,0.1414
nest15_depth1,15,1,ExternalRiskEstimate,75.5,1,9,0.0988
nest15_depth1,15,1,ExternalRiskEstimate,67.5,1,9,0.0594
nest15_depth2,15,2,ExternalRiskEstimate,74.5,2,16,0.2395
nest15_depth2,15,2,ExternalRiskEstimate,73.5,2,16,0.1943
nest15_depth2,15,2,ExternalRiskEstimate,70.5,4,16,0.18
nest15_depth2,15,2,ExternalRiskEstimate,75.5,2,16,0.0739
nest15_depth2,15,2,ExternalRiskEstimate,78.5,2,16,0.058
nest15_depth2,15,2,ExternalRiskEstimate,67.5,2,16,0.0456
nest15_depth2,15,2,MSinceMostRecentInqexcl7days,0.5,2,16,0.0404
nest15_depth2,15,2,AverageMInFile,63.5,2,16,0.031
nest15_depth2,15,2,PercentTradesWBalance,47.5,3,16,0.03
nest15_depth2,15,2,NetFractionRevolvingBurden,47.5,1,16,0.0177
nest15_depth2,15,2,ExternalRiskEstimate,81.5,2,16,0.0175
nest15_depth2,15,2,MSinceMostRecentInqexcl7days,1.5,3,16,0.0163
nest15_depth2,15,2,MSinceMostRecentInqexcl7days,-7.5,2,16,0.0155
nest15_depth2,15,2,AverageMInFile,49.5,1,16,0.0148
nest15_depth3,15,3,ExternalRiskEstimate,74.5,3,58,0.2638
nest15_depth3,15,3,ExternalRiskEstimate,73.5,3,58,0.1906
nest15_depth3,15,3,ExternalRiskEstimate,70.5,4,58,0.1466
nest15_depth3,15,3,MSinceMostRecentInqexcl7days,0.5,9,58,0.048
nest15_depth3,15,3,ExternalRiskEstimate,75.5,1,58,0.0403
nest15_depth3,15,3,ExternalRiskEstimate,78.5,3,58,0.033
nest15_depth3,15,3,ExternalRiskEstimate,67.5,2,58,0.0311
nest15_depth3,15,3,MSinceMostRecentInqexcl7days,-7.5,3,58,0.0274
nest15_depth3,15,3,PercentTradesWBalance,47.5,2,58,0.0193
nest15_depth3,15,3,ExternalRiskEstimate,63.5,3,58,0.0127
nest15_depth3,15,3,MSinceMostRecentInqexcl7days,1.5,4,58,0.0112
nest15_depth3,15,3,PercentTradesWBalance,73.5,1,58,0.0092
nest15_depth3,15,3,NumSatisfactoryTrades,15.5,2,58,0.0091
nest15_depth3,15,3,ExternalRiskEstimate,81.5,1,58,0.0083
nest15_depth3,15,3,NetFractionRevolvingBurden,57.5,2,58,0.0082
nest15_depth3,15,3,AverageMInFile,64.5,1,58,0.008
nest15_depth3,15,3,AverageMInFile,49.5,1,58,0.0078
nest15_depth3,15,3,NetFractionRevolvingBurden,59.5,1,58,0.0064
nest15_depth3,15,3,AverageMInFile,63.5,1,58,0.0061
nest15_depth3,15,3,ExternalRiskEstimate,80.5,1,58,0.0057
nest15_depth3,15,3,NumSatisfactoryTrades,27.5,1,58,0.0055
nest15_depth3,15,3,PercentTradesWBalance,81.5,1,58,0.0051
nest15_depth3,15,3,ExternalRiskEstimate,84.5,1,58,0.0048
nest15_depth3,15,3,AverageMInFile,59.5,1,58,0.0048
nest15_depth3,15,3,NetFractionRevolvingBurden,37.5,1,58,0.0043
nest15_depth3,15,3,NumSatisfactoryTrades,19.5,1,58,0.0042
nest15_depth3,15,3,PercentInstallTrades,43.5,1,58,0.0042
nest15_depth3,15,3,NumSatisfactoryTrades,9.5,2,58,0.0041
nest15_depth3,15,3,NetFractionRevolvingBurden,47.5,1,58,0.004
nest15_depth3,15,3,NumSatisfactoryTrades,18.5,1,58,0.0039
nest15_depth3,15,3,PercentTradesWBalance,24,1,58,0.0036
nest15_depth3,15,3,PercentTradesWBalance,43.5,1,58,0.0034
nest15_depth3,15,3,PercentInstallTrades,45.5,1,58,0.0029
nest15_depth3,15,3,AverageMInFile,42.5,1,58,0.0024
nest15_depth3,15,3,AverageMInFile,57.5,1,58,0.0024
nest15_depth3,15,3,PercentInstallTrades,53.5,1,58,0.0022
nest15_depth3,15,3,MSinceOldestTradeOpen,138.5,1,58,0.002
nest15_depth3,15,3,ExternalRiskEstimate,62.5,1,58,0.0018
nest15_depth3,15,3,AverageMInFile,88.5,1,58,0.0018
nest15_depth3,15,3,PercentTradesWBalance,2,1,58,0.0011
nest15_depth3,15,3,MSinceOldestTradeOpen,392,1,58,0.0011
nest20_depth1,20,1,ExternalRiskEstimate,70.5,3,8,0.2275
nest20_depth1,20,1,ExternalRiskEstimate,74.5,2,8,0.214
nest20_depth1,20,1,ExternalRiskEstimate,78.5,2,8,0.1504
nest20_depth1,20,1,ExternalRiskEstimate,73.5,1,8,0.1308
nest20_depth1,20,1,ExternalRiskEstimate,75.5,1,8,0.0913
nest20_depth1,20,1,ExternalRiskEstimate,67.5,1,8,0.0704
nest20_depth2,20,2,ExternalRiskEstimate,74.5,2,31,0.217
nest20_depth2,20,2,ExternalRiskEstimate,73.5,2,31,0.176
nest20_depth2,20,2,ExternalRiskEstimate,70.5,4,31,0.161
nest20_depth2,20,2,ExternalRiskEstimate,75.5,2,31,0.0669
nest20_depth2,20,2,ExternalRiskEstimate,78.5,2,31,0.0525
nest20_depth2,20,2,ExternalRiskEstimate,67.5,2,31,0.0407
nest20_depth2,20,2,MSinceMostRecentInqexcl7days,0.5,2,31,0.0334
nest20_depth2,20,2,MSinceMostRecentInqexcl7days,-7.5,2,31,0.0235
nest20_depth2,20,2,MSinceMostRecentInqexcl7days,1.5,3,31,0.0219
nest20_depth2,20,2,AverageMInFile,63.5,1,31,0.0178
nest20_depth2,20,2,NetFractionRevolvingBurden,57.5,1,31,0.015
nest20_depth2,20,2,PercentTradesWBalance,47.5,1,31,0.0141
nest20_depth2,20,2,AverageMInFile,59.5,1,31,0.0134
nest20_depth2,20,2,PercentTradesWBalance,73.5,1,31,0.0105
nest20_depth2,20,2,ExternalRiskEstimate,81.5,1,31,0.0086
nest20_depth2,20,2,PercentTradesWBalance,43.5,1,31,0.0082
nest20_depth2,20,2,AverageMInFile,49.5,1,31,0.0079
nest20_depth2,20,2,ExternalRiskEstimate,80.5,1,31,0.0074
nest20_depth3,20,3,ExternalRiskEstimate,74.5,3,40,0.2459
nest20_depth3,20,3,ExternalRiskEstimate,73.5,2,40,0.1673
nest20_depth3,20,3,ExternalRiskEstimate,70.5,4,40,0.1396
nest20_depth3,20,3,MSinceMostRecentInqexcl7days,0.5,10,40,0.0468
nest20_depth3,20,3,ExternalRiskEstimate,78.5,4,40,0.0455
nest20_depth3,20,3,ExternalRiskEstimate,75.5,2,40,0.0436
nest20_depth3,20,3,MSinceMostRecentInqexcl7days,-7.5,5,40,0.0344
nest20_depth3,20,3,ExternalRiskEstimate,67.5,2,40,0.0335
nest20_depth3,20,3,PercentTradesWBalance,47.5,3,40,0.0203
nest20_depth3,20,3,ExternalRiskEstimate,63.5,4,40,0.0197
nest20_depth3,20,3,MSinceMostRecentInqexcl7days,1.5,4,40,0.0196
nest20_depth3,20,3,NetFractionRevolvingBurden,37.5,1,40,0.011
nest20_depth3,20,3,AverageMInFile,49.5,2,40,0.0101
nest20_depth3,20,3,AverageMInFile,63.5,1,40,0.0093
nest20_depth3,20,3,NumSatisfactoryTrades,26.5,1,40,0.0091
nest20_depth3,20,3,PercentTradesWBalance,73.5,1,40,0.0086
nest20_depth3,20,3,NumSatisfactoryTrades,15.5,2,40,0.0085
nest20_depth3,20,3,ExternalRiskEstimate,81.5,1,40,0.0083
nest20_depth3,20,3,NumSatisfactoryTrades,9.5,4,40,0.0077
nest20_depth3,20,3,AverageMInFile,64.5,1,40,0.0076
nest20_depth3,20,3,PercentTradesWBalance,81.5,1,40,0.0071
nest20_depth3,20,3,NetFractionRevolvingBurden,57.5,1,40,0.0066
nest20_depth3,20,3,NetFractionRevolvingBurden,59.5,1,40,0.006
nest20_depth3,20,3,NetFractionRevolvingBurden,47.5,1,40,0.0058
nest20_depth3,20,3,AverageMInFile,42.5,1,40,0.0056
nest20_depth3,20,3,ExternalRiskEstimate,80.5,1,40,0.0054
nest20_depth3,20,3,AverageMInFile,80.5,1,40,0.0053
nest20_depth3,20,3,NumSatisfactoryTrades,27.5,1,40,0.0051
nest20_depth3,20,3,PercentInstallTrades,45.5,1,40,0.0051
nest20_depth3,20,3,AverageMInFile,59.5,1,40,0.0046
nest20_depth3,20,3,ExternalRiskEstimate,66.5,1,40,0.0042
nest20_depth3,20,3,PercentInstallTrades,43.5,1,40,0.0039
nest20_depth3,20,3,ExternalRiskEstimate,84.5,1,40,0.0032
nest25_depth1,25,1,ExternalRiskEstimate,70.5,3,18,0.2127
nest25_depth1,25,1,ExternalRiskEstimate,74.5,2,18,0.2001
nest25_depth1,25,1,ExternalRiskEstimate,78.5,2,18,0.124
nest25_depth1,25,1,ExternalRiskEstimate,73.5,1,18,0.1223
nest25_depth1,25,1,ExternalRiskEstimate,75.5,1,18,0.0854
nest25_depth1,25,1,ExternalRiskEstimate,67.5,1,18,0.0514
nest25_depth2,25,2,ExternalRiskEstimate,74.5,2,35,0.2045
nest25_depth2,25,2,ExternalRiskEstimate,73.5,2,35,0.1659
nest25_depth2,25,2,ExternalRiskEstimate,70.5,4,35,0.1518
nest25_depth2,25,2,ExternalRiskEstimate,75.5,2,35,0.0631
nest25_depth2,25,2,ExternalRiskEstimate,78.5,2,35,0.0495
nest25_depth2,25,2,MSinceMostRecentInqexcl7days,0.5,2,35,0.0387
nest25_depth2,25,2,ExternalRiskEstimate,67.5,2,35,0.0383
nest25_depth2,25,2,MSinceMostRecentInqexcl7days,-7.5,2,35,0.032
nest25_depth2,25,2,MSinceMostRecentInqexcl7days,1.5,3,35,0.0206
nest25_depth2,25,2,AverageMInFile,63.5,1,35,0.0167
nest25_depth2,25,2,AverageMInFile,59.5,1,35,0.0157
nest25_depth2,25,2,NetFractionRevolvingBurden,57.5,1,35,0.0141
nest25_depth2,25,2,PercentTradesWBalance,47.5,1,35,0.0133
nest25_depth2,25,2,PercentTradesWBalance,73.5,1,35,0.0099
nest25_depth2,25,2,ExternalRiskEstimate,81.5,1,35,0.0082
nest25_depth2,25,2,PercentTradesWBalance,43.5,1,35,0.0077
nest25_depth2,25,2,AverageMInFile,49.5,1,35,0.0075
nest25_depth2,25,2,ExternalRiskEstimate,80.5,1,35,0.007
nest25_depth3,25,3,ExternalRiskEstimate,74.5,3,90,0.2312
nest25_depth3,25,3,ExternalRiskEstimate,73.5,3,90,0.167
nest25_depth3,25,3,ExternalRiskEstimate,70.5,4,90,0.1285
nest25_depth3,25,3,MSinceMostRecentInqexcl7days,0.5,9,90,0.0462
nest25_depth3,25,3,MSinceMostRecentInqexcl7days,-7.5,3,90,0.0357
nest25_depth3,25,3,ExternalRiskEstimate,75.5,1,90,0.0353
nest25_depth3,25,3,ExternalRiskEstimate,78.5,3,90,0.0345
nest25_depth3,25,3,ExternalRiskEstimate,67.5,2,90,0.0336
nest25_depth3,25,3,MSinceMostRecentInqexcl7days,1.5,4,90,0.0186
nest25_depth3,25,3,PercentTradesWBalance,47.5,2,90,0.0169
nest25_depth3,25,3,ExternalRiskEstimate,63.5,3,90,0.0159
nest25_depth3,25,3,AverageMInFile,42.5,1,90,0.0098
nest25_depth3,25,3,NetFractionRevolvingBurden,37.5,1,90,0.0096
nest25_depth3,25,3,PercentTradesWBalance,73.5,1,90,0.0081
nest25_depth3,25,3,NumSatisfactoryTrades,15.5,2,90,0.008
nest25_depth3,25,3,ExternalRiskEstimate,81.5,1,90,0.0073
nest25_depth3,25,3,NetFractionRevolvingBurden,57.5,2,90,0.0072
nest25_depth3,25,3,AverageMInFile,64.5,1,90,0.007
nest25_depth3,25,3,AverageMInFile,49.5,1,90,0.0068
nest25_depth3,25,3,NetFractionRevolvingBurden,47.5,1,90,0.0066
nest25_depth3,25,3,NetFractionRevolvingBurden,59.5,1,90,0.0056
nest25_depth3,25,3,AverageMInFile,63.5,1,90,0.0054
nest25_depth3,25,3,ExternalRiskEstimate,80.5,1,90,0.005
nest25_depth3,25,3,NumSatisfactoryTrades,27.5,1,90,0.0048
nest25_depth3,25,3,PercentTradesWBalance,81.5,1,90,0.0045
nest25_depth3,25,3,PercentTradesWBalance,24,1,90,0.0043
nest25_depth3,25,3,ExternalRiskEstimate,84.5,1,90,0.0042
nest25_depth3,25,3,AverageMInFile,59.5,1,90,0.0042
nest25_depth3,25,3,PercentInstallTrades,45.5,1,90,0.0041
nest25_depth3,25,3,NumSatisfactoryTrades,19.5,1,90,0.0037
nest25_depth3,25,3,PercentInstallTrades,43.5,1,90,0.0037
nest25_depth3,25,3,NumSatisfactoryTrades,9.5,2,90,0.0036
nest25_depth3,25,3,NumSatisfactoryTrades,18.5,1,90,0.0035
nest25_depth3,25,3,ExternalRiskEstimate,62.5,1,90,0.0031
nest25_depth3,25,3,PercentTradesWBalance,43.5,1,90,0.003
nest25_depth3,25,3,AverageMInFile,57.5,1,90,0.0021
nest25_depth3,25,3,PercentInstallTrades,53.5,1,90,0.0019
nest25_depth3,25,3,MSinceOldestTradeOpen,138.5,1,90,0.0018
nest25_depth3,25,3,AverageMInFile,88.5,1,90,0.0016
nest25_depth3,25,3,PercentTradesWBalance,2,1,90,0.001
nest25_depth3,25,3,MSinceOldestTradeOpen,392,1,90,0.0009
nest30_depth1,30,1,ExternalRiskEstimate,70.5,3,17,0.2034
nest30_depth1,30,1,ExternalRiskEstimate,74.5,2,17,0.1914
nest30_depth1,30,1,ExternalRiskEstimate,78.5,2,17,0.1186
nest30_depth1,30,1,ExternalRiskEstimate,73.5,1,17,0.117
nest30_depth1,30,1,ExternalRiskEstimate,75.5,1,17,0.0817
nest30_depth1,30,1,ExternalRiskEstimate,67.5,1,17,0.0587
nest30_depth2,30,2,ExternalRiskEstimate,74.5,2,41,0.1963
nest30_depth2,30,2,ExternalRiskEstimate,73.5,2,41,0.1592
nest30_depth2,30,2,ExternalRiskEstimate,70.5,4,41,0.1457
nest30_depth2,30,2,ExternalRiskEstimate,75.5,2,41,0.0605
