parameter,n_estimators,max_depth,feature,threshold,tree_count,total_binary_variables,importance
nest5_depth1,5,1,char_freq_!,0.0795,2,4,0.3912
nest5_depth1,5,1,char_freq_$,0.0555,1,4,0.2595
nest5_depth1,5,1,char_freq_$,0.0445,1,4,0.194
nest5_depth1,5,1,word_freq_remove,0.01,1,4,0.1553
nest5_depth2,5,2,char_freq_$,0.0555,2,9,0.2986
nest5_depth2,5,2,char_freq_!,0.0795,2,9,0.2486
nest5_depth2,5,2,word_freq_remove,0.055,2,9,0.1323
nest5_depth2,5,2,char_freq_$,0.0395,1,9,0.0879
nest5_depth2,5,2,word_freq_remove,0.045,2,9,0.0621
nest5_depth2,5,2,word_freq_hp,0.385,3,9,0.0497
nest5_depth2,5,2,capital_run_length_longest,17.5,1,9,0.0453
nest5_depth2,5,2,word_freq_free,0.195,1,9,0.0423
nest5_depth2,5,2,capital_run_length_average,2.3995,1,9,0.0331
nest5_depth3,5,3,char_freq_$,0.0555,2,16,0.2329
nest5_depth3,5,3,char_freq_!,0.0795,2,16,0.169
nest5_depth3,5,3,word_freq_remove,0.055,6,16,0.1617
nest5_depth3,5,3,char_freq_$,0.0445,1,16,0.1211
nest5_depth3,5,3,word_freq_hp,0.385,5,16,0.0608
nest5_depth3,5,3,char_freq_!,0.5085,2,16,0.0599
nest5_depth3,5,3,word_freq_remove,0.045,2,16,0.0426
nest5_depth3,5,3,capital_run_length_longest,17.5,1,16,0.0342
nest5_depth3,5,3,capital_run_length_average,2.3995,1,16,0.0244
nest5_depth3,5,3,word_freq_free,0.215,1,16,0.022
nest5_depth3,5,3,word_freq_george,0.08,5,16,0.0166
nest5_depth3,5,3,word_freq_free,0.105,1,16,0.0136
nest5_depth3,5,3,word_freq_edu,0.49,3,16,0.0129
nest5_depth3,5,3,word_freq_your,0.375,1,16,0.0107
nest5_depth3,5,3,word_freq_money,0.01,1,16,0.0104
nest5_depth3,5,3,char_freq_$,0.164,1,16,0.0073
nest10_depth1,10,1,char_freq_!,0.0795,3,7,0.3163
nest10_depth1,10,1,word_freq_remove,0.01,2,7,0.1694
nest10_depth1,10,1,char_freq_$,0.0555,1,7,0.1659
nest10_depth1,10,1,char_freq_$,0.0445,1,7,0.124
nest10_depth1,10,1,char_freq_$,0.0295,1,7,0.0864
nest10_depth1,10,1,word_freq_free,0.135,1,7,0.0777
nest10_depth1,10,1,word_freq_your,0.605,1,7,0.0603
nest10_depth2,10,2,char_freq_!,0.0795,4,14,0.2586
nest10_depth2,10,2,char_freq_$,0.0555,3,14,0.2173
nest10_depth2,10,2,word_freq_remove,0.055,3,14,0.1122
nest10_depth2,10,2,char_freq_$,0.0395,1,14,0.0603
nest10_depth2,10,2,word_freq_hp,0.385,5,14,0.0579
nest10_depth2,10,2,char_freq_$,0.0295,2,14,0.0566
nest10_depth2,10,2,word_freq_remove,0.045,3,14,0.0519
nest10_depth2,10,2,word_freq_free,0.025,2,14,0.0363
nest10_depth2,10,2,word_freq_your,0.605,1,14,0.0321
nest10_depth2,10,2,capital_run_length_longest,17.5,1,14,0.0311
nest10_depth2,10,2,word_freq_free,0.195,1,14,0.029
nest10_depth2,10,2,capital_run_length_average,2.3995,1,14,0.0227
nest10_depth2,10,2,word_freq_hp,0.12,2,14,0.0178
nest10_depth2,10,2,capital_run_length_total,68.5,1,14,0.0163
nest10_depth3,10,3,char_freq_!,0.0795,5,27,0.2009
nest10_depth3,10,3,char_freq_$,0.0555,2,27,0.1636
nest10_depth3,10,3,word_freq_remove,0.055,5,27,0.1177
nest10_depth3,10,3,char_freq_$,0.0445,1,27,0.0851
nest10_depth3,10,3,char_freq_$,0.0295,2,27,0.0638
nest10_depth3,10,3,word_freq_remove,0.045,4,27,0.0445
nest10_depth3,10,3,char_freq_!,0.5085,4,27,0.0441
nest10_depth3,10,3,word_freq_hp,0.39,4,27,0.0291
nest10_depth3,10,3,word_freq_free,0.215,2,27,0.0256
nest10_depth3,10,3,capital_run_length_longest,17.5,1,27,0.024
nest10_depth3,10,3,word_freq_remove,0.065,5,27,0.0227
nest10_depth3,10,3,word_freq_free,0.115,2,27,0.0204
nest10_depth3,10,3,word_freq_hp,0.22,3,27,0.0202
nest10_depth3,10,3,word_freq_hp,0.385,2,27,0.0176
nest10_depth3,10,3,capital_run_length_average,2.3995,1,27,0.0172
nest10_depth3,10,3,word_freq_money,0.01,3,27,0.0145
nest10_depth3,10,3,word_freq_george,0.08,7,27,0.0138
nest10_depth3,10,3,capital_run_length_average,2.292,1,27,0.0121
nest10_depth3,10,3,word_freq_your,0.375,2,27,0.0118
nest10_depth3,10,3,capital_run_length_total,68.5,1,27,0.0104
nest10_depth3,10,3,word_freq_edu,0.175,4,27,0.0083
nest10_depth3,10,3,capital_run_length_average,2.7545,1,27,0.0076
nest10_depth3,10,3,word_freq_edu,0.49,2,27,0.0061
nest10_depth3,10,3,char_freq_$,0.164,1,27,0.0051
nest10_depth3,10,3,word_freq_your,0.6,1,27,0.0048
nest10_depth3,10,3,char_freq_$,0.0805,1,27,0.0045
nest10_depth3,10,3,word_freq_george,0.14,3,27,0.0044
nest15_depth1,15,1,char_freq_!,0.0795,3,9,0.258
nest15_depth1,15,1,char_freq_$,0.0555,1,9,0.1784
nest15_depth1,15,1,word_freq_remove,0.01,2,9,0.1726
nest15_depth1,15,1,word_freq_free,0.135,1,9,0.1022
nest15_depth1,15,1,char_freq_$,0.0445,1,9,0.1012
nest15_depth1,15,1,char_freq_$,0.0295,1,9,0.0705
nest15_depth1,15,1,word_freq_your,0.605,1,9,0.0492
nest15_depth2,15,2,char_freq_!,0.0795,4,24,0.22
nest15_depth2,15,2,char_freq_$,0.0555,2,24,0.1742
nest15_depth2,15,2,word_freq_remove,0.055,3,24,0.0955
nest15_depth2,15,2,word_freq_remove,0.045,2,24,0.0562
nest15_depth2,15,2,char_freq_$,0.0395,1,24,0.0513
nest15_depth2,15,2,char_freq_$,0.0295,2,24,0.0494
nest15_depth2,15,2,word_freq_hp,0.385,4,24,0.046
nest15_depth2,15,2,word_freq_free,0.025,1,24,0.0451
nest15_depth2,15,2,capital_run_length_longest,17.5,1,24,0.0264
