split,nest5_depth1,nest5_depth2,nest5_depth3,nest10_depth1,nest10_depth2,nest10_depth3,nest15_depth1,nest15_depth2,nest15_depth3,nest20_depth1,nest20_depth2,nest20_depth3,nest25_depth1,nest25_depth2,nest25_depth3,nest30_depth1,nest30_depth2,nest30_depth3,nest35_depth1,nest35_depth2,nest35_depth3,nest40_depth1,nest40_depth2,nest40_depth3,nest100_depth1,nest100_depth2,nest100_depth3,nest200_depth1,nest200_depth2,nest200_depth3
atemp <= 0.3106,,,,,,0.0134,,,0.0115,,,0.0107,,,0.0103,,,0.01,,,0.0105,,,0.0096,,,0.0092,,,0.0088
atemp <= 0.3257,,0.0925,,,0.032,,,0.0278,,,0.0255,,,0.0241,,,0.0231,,,0.0271,,,0.0219,,,0.0199,,,0.0193,
atemp <= 0.3409,,,0.0391,,,0.0276,,,0.0238,,,0.0221,,,0.0212,,,0.0206,,,0.0201,,,0.0198,,,0.0184,,,0.0175
atemp <= 0.4318,,,,,,,,,,,,0.0005,,,0.0005,,,,,,0.0005,,,,,,0.0008,,,0.0007
atemp <= 0.5228,,,,,,,,,0.0012,,,,,,,,,,,,,,,,,,,,,
atemp <= 0.5985,,,,,,,,,,0.0583,,,0.0545,,,0.0518,,,0.0497,,,0.048,,,0.0439,,,0.0415,,
hr <= 0.5,,,,,,,,,,,,0.0005,,,0.0005,,,0.0007,,,0.0007,,,0.0007,,,0.0008,,,0.0013
hr <= 19.5,,,0.0037,,,0.0043,,,0.0065,,,0.0073,,,0.0078,,,0.0093,,,0.0094,,,0.0093,,,0.01,,,0.0099
hr <= 20.5,,,0.0144,,,0.0173,,,0.0149,,,0.0149,,,0.0157,,,0.0153,,,0.015,,,0.0161,,,0.0162,,,0.0158
hr <= 21.5,,,0.0166,,0.0424,0.0284,,0.05,0.0362,,0.0458,0.0369,,0.0484,0.0369,,0.0502,0.0384,,0.0507,0.039,,0.0489,0.0383,,0.0468,0.0373,,0.046,0.0364
hr <= 22.5,,,0.0422,,,0.0298,,,0.0303,,,0.0294,,,0.0309,,,0.03,,,0.0313,,,0.0314,,,0.031,,,0.0302
hr <= 5.5,,,0.0042,,,0.0041,,0.0086,0.0041,,0.0215,0.0129,,0.0247,0.0126,,0.0293,0.016,,0.0289,0.0175,,0.0305,0.0183,,0.0338,0.0186,,0.0334,0.018
hr <= 6.5,1.0,0.7663,0.6642,0.9026,0.7339,0.6349,0.8651,0.6677,0.5904,0.7703,0.6207,0.5536,0.7208,0.5964,0.5328,0.6845,0.5726,0.5194,0.6569,0.5531,0.5086,0.642,0.5446,0.5008,0.5471,0.4982,0.4631,0.5191,0.4816,0.4455
hum <= 0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0055,,,
hum <= 0.745,,,,,,0.0072,,,0.0062,,,0.0058,,,0.0056,,,0.0054,,,0.0053,,,0.0059,,,,,,0.0053
hum <= 0.805,,,0.0142,,,0.01,,,0.0086,,,0.008,,,0.0077,,,0.0075,,,0.0073,,,0.0072,,,0.0066,,,0.0064
hum <= 0.815,,,,,,0.0047,,,0.004,,,0.0037,,,0.0036,,,0.0035,,,0.0034,,,0.0033,,,0.0033,,,0.0031
season <= 1.5,,,,,0.0207,0.0295,,0.018,0.0322,,0.0165,0.0342,,0.02,0.0328,,0.0221,0.0333,,0.029,0.0336,,0.0234,0.0335,,0.0264,0.0323,,0.0256,0.031
season <= 2.5,,,,,,0.0021,,,0.0019,,,0.0017,,,0.0031,,,0.003,,,0.0029,,,0.0029,,,0.0045,,,0.0046
temp <= 0.31,,,0.029,,0.0237,0.0302,,0.0205,0.026,,0.0273,0.0272,,0.0258,0.0261,,0.0248,0.0254,,0.0265,0.0248,,0.0235,0.0244,,0.0214,0.0225,,0.0208,0.0216
temp <= 0.37,,,0.0562,,0.0459,0.0396,0.1349,0.0398,0.0342,,0.0364,0.0318,,0.0345,0.0304,,0.0331,0.0296,,0.0322,0.0289,,0.0314,0.0285,,0.0286,0.0262,,0.0276,0.0252
temp <= 0.43,,,,,,,,,,,,,,,,,,0.0005,,,,,,0.0003,,,,,,
temp <= 0.45,,0.1411,0.0474,,0.0384,0.0343,,0.033,0.0293,,0.0302,0.0268,,0.0286,0.028,,0.0274,0.0283,,0.0297,0.0277,,0.0283,0.0262,,0.027,0.0246,,0.0261,0.0237
temp <= 0.47,,,0.0333,0.0974,0.0278,0.0385,,0.0239,0.0331,0.0592,0.0219,0.0308,0.0554,0.0208,0.0295,0.0526,0.0199,0.0286,0.0504,0.0194,0.028,0.0488,0.0225,0.0276,0.0412,0.0172,0.0254,0.0389,0.0166,0.0245
temp <= 0.49,,,,,0.0181,,,0.0157,,,0.0144,,,0.0136,,,0.0131,,,0.0127,,,0.0124,,,0.0113,,,0.0109,
weathersit <= 2.5,,,,,,0.0077,,,0.0166,,,0.0189,,,0.0222,,,0.0238,,,0.0253,,,0.0253,,,0.0256,,,0.0249
workingday <= 0.5,,,,,,,,,0.0037,,,0.0045,,,0.0047,,,0.0064,,,0.0066,,,0.0063,,,0.0217,,,0.0354
yr <= 0.5,,,0.0354,,0.0171,0.0365,,0.0288,0.0451,,0.0324,0.0516,,0.0353,0.0535,,0.0406,0.0553,,0.0429,0.056,,0.0438,0.0564,,0.0483,0.0561,,0.0482,0.0545
