split,nest5_depth1,nest5_depth2,nest5_depth3,nest10_depth1,nest10_depth2,nest10_depth3,nest15_depth1,nest15_depth2,nest15_depth3,nest20_depth1,nest20_depth2,nest20_depth3,nest25_depth1,nest25_depth2,nest25_depth3,nest30_depth1,nest30_depth2,nest30_depth3,nest35_depth1,nest35_depth2,nest35_depth3,nest40_depth1,nest40_depth2,nest40_depth3,nest100_depth1,nest100_depth2,nest100_depth3,nest200_depth1,nest200_depth2,nest200_depth3
area_mean <= 696.25,,,0.0214,,0.006,0.0186,,0.0054,0.017,,0.0082,0.0168,,0.008,0.0162,,0.0079,0.0165,,0.0078,0.016,,0.0082,0.015,,0.0085,0.0146,,0.0116,0.0146
area_se <= 13.93,,,,,,0.005,,,0.0053,,,0.002,,,0.0049,,,0.0049,,,0.0048,,,0.0049,,,,,,
area_se <= 34.405,,,,,0.0056,,,0.005,,,0.0064,,,0.0083,,,0.0082,,,0.0089,,,0.0102,,,0.0102,,,0.0125,
area_se <= 45.17,,,,,,0.0056,,,0.0042,,,,,,0.0039,,,0.0043,,,0.0041,,,0.0041,,,,,,
area_se <= 48.7,,,,,,,,,0.0036,,,0.0065,,,0.0031,,,0.0028,,,0.0029,,,0.0031,,,0.0089,,,0.0085
area_worst <= 710.2,,,,,0.0093,,,0.0058,,,0.0055,0.0075,,0.0054,,,0.0053,,,0.0052,,,0.0054,,,0.0051,0.0101,,,
area_worst <= 733.8,,,,,,,,,,,,,,,,,,,,,0.001,,,0.0013,,,,,,
area_worst <= 766.45,,,,,,,,,0.0048,,,,,,,,,,,,,,,,,,,,,
area_worst <= 768.1,,,,,,,,,,,,,,,0.009,,,0.0089,,,,,,,,,0.0207,,,0.0276
area_worst <= 810.1,,,0.0052,,,0.0053,,,0.0047,,,0.0032,,,0.0044,,,0.0043,,,,,,0.0003,,,,,,
area_worst <= 810.5,,,,,,,,,,,,,,,,,,,,,0.0046,,,0.0044,,,,,,
area_worst <= 929.8,,,,,,,,,0.0039,,,,,,0.003,,,0.0034,,,0.0033,,,0.0029,,,0.0168,,,
area_worst <= 953.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0076,
area_worst <= 957.45,,,,,0.0057,0.0068,,0.0051,0.0062,,0.0048,,,0.0047,0.0069,,0.0046,0.0077,,0.0046,0.0067,,0.0046,0.0056,,0.0045,,,,
compactness_se <= 0.0172,,,0.0073,,,0.0042,,,0.0038,,,,,,0.0035,,,0.0035,,,0.0039,,,0.0034,,,,,,
concave points_mean <= 0.0385,,,,,,,,,,,,,,,,,,,,,,,,0.0002,,,,,,
concave points_mean <= 0.0501,,,0.013,,,,,0.0035,,,,,,,,,,,,,,,,,,,,,,
concave points_mean <= 0.0513,0.1619,0.1168,,,0.1687,0.1273,0.1567,0.16,0.1567,0.1486,0.1557,0.0992,0.1493,0.1519,0.1556,0.1461,0.1513,0.1561,0.148,0.1495,0.1541,0.1452,0.1487,0.1532,0.1392,0.1452,0.1621,0.138,0.1514,0.0714
concave points_mean <= 0.0559,,,,,0.0444,,0.0706,0.0396,,0.0669,0.043,,0.0651,0.042,,0.064,0.0413,,0.0634,0.0409,,0.0628,0.041,,0.0605,0.0405,,0.0599,0.0357,
concave points_worst <= 0.1359,,,0.0192,,,0.0189,,,0.0162,,,0.0333,,,0.0201,,,0.0193,,,0.0186,,,0.0192,,,0.0204,,,0.03
concave points_worst <= 0.1376,,,,,,,,,,,,,,,,,,,,,,,,0.0017,,,,,,
concave points_worst <= 0.1398,,,0.0126,,,0.0059,,,,,,,,,,,,,,,,,,,,,,,,
concave points_worst <= 0.1417,0.2278,,,0.4098,0.0368,,0.2197,0.033,0.0161,0.183,0.0599,0.0051,0.178,0.0621,0.0178,0.1749,0.0612,0.0151,0.1734,0.0605,0.0162,0.1718,0.0601,0.0175,0.1655,0.0586,0.0125,0.1637,0.0585,0.0212
concave points_worst <= 0.142,,0.0461,,,0.0334,,,0.0298,,,,,,,,,,,,,,,,,,,,,,
concave points_worst <= 0.1454,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0145,,,
concave points_worst <= 0.1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0162
concave points_worst <= 0.1456,,,0.0126,,,0.0121,,,0.0081,,,0.0122,,,0.0117,,,0.0128,,,0.0131,,,0.0106,,,,,,
concave points_worst <= 0.1603,,0.0427,0.0399,,0.0262,0.0301,,0.0234,0.0287,,0.0223,0.0274,,0.0217,0.0277,,0.0214,0.0273,,0.0212,0.0274,,0.0211,0.027,,,,,0.0258,
concave points_worst <= 0.1604,,,,,,,,,,,,,,,,,,,,,,,,,,0.0212,0.0266,,,0.0285
concave points_worst <= 0.1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0162,
concave points_worst <= 0.1763,,,,,,,,,,,,,,,,,,,,,,,0.0161,,,0.0157,,,,
concave points_worst <= 0.1788,,,,,0.0146,,,0.0166,,,,,,0.0162,,,0.016,,,0.0158,,,,,,,,,,
concave points_worst <= 0.1807,,,0.0122,,,0.0097,,,0.0121,,0.0158,0.0116,,,0.0082,,,0.0095,,,0.0084,,,0.008,,,0.0209,,,0.0135
concavity_se <= 0.1357,,,,,,,,0.0058,,,0.0055,,,0.0063,,,0.0062,,,0.0061,,,0.0065,,,0.0067,,,,
concavity_worst <= 0.1979,,,,,,,,,0.0036,,,,,,0.0037,,,,,,,,,,,,,,,
concavity_worst <= 0.1981,,,0.0048,,,,,,,,,,,,,,,,,,0.0024,,,0.0039,,,,,,
concavity_worst <= 0.2014,,,,,,,,,,,,,,,0.003,,,,,,,,,,,,,,,
concavity_worst <= 0.208,,,,,,,,,,,,,,,,,,0.0061,,,0.005,,,0.0036,,,0.0123,,0.0106,0.0152
concavity_worst <= 0.2248,,,,,0.017,0.0137,,0.0124,0.0122,,0.0118,0.0108,,0.0115,0.0101,,0.0113,0.0108,,0.0112,0.0108,,0.0111,0.0115,,0.0108,0.0181,,0.0127,
fractal_dimension_worst <= 0.0649,,,,,,0.0054,,,0.0044,,,,,,0.0042,,,0.0044,,,0.0056,,,0.0041,,,,,,
