split,nest5_depth1,nest5_depth2,nest5_depth3,nest10_depth1,nest10_depth2,nest10_depth3,nest15_depth1,nest15_depth2,nest15_depth3,nest20_depth1,nest20_depth2,nest20_depth3,nest25_depth1,nest25_depth2,nest25_depth3,nest30_depth1,nest30_depth2,nest30_depth3,nest35_depth1,nest35_depth2,nest35_depth3,nest40_depth1,nest40_depth2,nest40_depth3,nest100_depth1,nest100_depth2
Amount <= -0.1489,,,0.0007,,,0.0005,,,0.0005,,,0.0005,,,0.0004,,,0.0004,,,0.0004,,,0.0004,,
Amount <= 0.7143,,,,,,0.0005,,,0.0005,,,0.0004,,,0.0004,,,0.0004,,,0.0004,,,0.0004,,
Time <= 1.3579,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,
V1 <= 1.9126,,,,,,,,,,,,,,,0.0005,,,0.0004,,,,,,,,
V1 <= 1.9643,,,0.0023,,,0.0016,,,0.0015,,,0.0014,,,0.0014,,,0.0014,,,0.0013,,,0.0013,,
V1 <= 1.9693,,,0.0017,,,0.0013,,,0.0011,,,0.0011,,,0.0011,,,0.0011,,,0.001,,,0.001,,
V10 <= -1.334,,,0.0006,,,0.0004,,,0.0004,,,0.0004,,,0.0004,,,0.0004,,,0.0004,,,0.0004,,
V10 <= -1.7026,,,,,0.0024,0.0012,,0.0021,0.0011,,0.002,0.001,,0.002,0.001,,0.0019,0.001,,0.0019,0.001,,0.0019,0.001,,0.0018
V10 <= -1.8405,,,,,,0.0013,,,0.0012,,,0.0011,,,0.0011,,,0.0029,,,0.0011,,,0.0011,,
V10 <= -3.7741,,,0.0001,,,0.0001,,,0.0001,,,0.0001,,,0.0001,,,,,,0.0001,,,0.0001,,
V10 <= 0.5671,,,,,,,,,0.0012,,,,,,0.0012,,,,,,0.0007,,,0.0006,,
V10 <= 0.5672,,,,,0.0016,,,0.0015,,,0.0014,0.0012,,0.0013,,,0.0013,0.0012,,0.0013,,,0.0013,,,0.0013
V10 <= 0.5989,,,,,,0.0001,,,,,,,,,,,,,,,,,,,,
V10 <= 0.637,,,,,,0.0009,,,0.0008,,,0.0008,,,0.0008,,,0.0007,,,0.0007,,,0.0007,,
V10 <= 0.6519,,,0.0034,,,0.0025,,,0.0022,,,0.0021,,,0.0021,,,0.0021,,,0.002,,,0.002,,
V10 <= 0.6864,,,,,,0.001,,,0.0009,,,0.0008,,,0.0008,,,0.0008,,,0.0008,,,0.0008,,
V12 <= -0.0831,,,,,,0.0025,,,0.0022,,,0.0021,,,0.0021,,,0.0021,,,0.002,,,0.002,,
V12 <= -0.0915,,,,,,0.0028,,,0.0026,,,0.0024,,,0.0024,,,0.0032,,,0.0023,,,0.0023,,
V12 <= -0.2149,,,0.006,,,0.0044,,,0.0039,,,0.0037,,,0.0037,,,0.0036,,,0.0036,,,0.0035,,
V12 <= -0.2197,,,0.0083,,,0.006,,,0.0054,,,0.0051,,,0.005,,,0.0049,,,0.0049,,,0.0049,,
V12 <= -1.4589,,,0.0024,,,,,,,,,,,,,,,,,,,,,,,
V12 <= -1.4593,,,,,0.0044,0.0033,,0.004,0.003,,0.0038,0.0028,,0.0037,0.0028,,0.0036,0.0027,,0.0036,0.0027,,0.0036,0.0027,,0.0035
V14 <= -0.4301,,,,,,0.0011,,,0.001,,,0.001,,,0.0009,,,0.0009,,,0.0009,,,0.0009,,
V14 <= -0.6369,,,0.006,,,0.0044,,,0.0039,,,0.0037,,,0.0036,,,0.0036,,,0.0036,,,0.0035,,
V14 <= -0.6639,,,,,,0.0023,,,0.002,,,0.0019,,,0.0019,,,0.0019,,,0.0018,,,0.0018,,
V14 <= -0.6914,,,,,0.0045,,,0.0041,,,0.0039,,,0.0038,,,0.0037,,,0.0037,,,0.0037,,,0.0036
V14 <= -0.6935,,,0.0029,,,0.0021,,,0.0019,,,0.0018,,,0.0017,,,0.0017,,,0.0017,,,0.0017,,
V14 <= -1.349,,,,,,,0.0396,,,,,,0.0365,,,0.0359,,,0.0355,,,0.0353,,,0.0342,
V14 <= -1.3846,,,,,0.0385,,,0.0344,,,0.0327,,,0.0319,,,0.0314,,,0.0312,,,0.031,,,0.0301
V14 <= -1.4205,,,,0.1207,0.0577,0.0842,0.0677,0.0516,0.0758,0.1017,0.049,0.0722,0.0624,0.0478,0.0704,0.0614,0.0472,0.0695,0.0607,0.0467,0.0688,0.0603,0.0464,0.0683,0.0586,0.0452
V14 <= -1.4367,,0.1192,,,0.0863,0.0669,,0.0772,0.0602,,0.0734,0.0574,,0.0715,0.0559,,0.0705,0.0552,,0.0699,0.0547,,0.0695,0.0543,,0.0676
V14 <= -1.5627,,,,0.1128,,,0.1002,,,0.0951,,,0.0923,,,0.0908,,,0.0898,,,0.0893,,,0.0866,
V14 <= -1.5734,,0.1463,0.1134,,0.106,0.0821,,0.0947,0.0739,,0.0901,0.0704,,0.0878,0.0687,,0.0866,0.0677,,0.0859,0.0671,,0.0853,0.0666,,0.083
V14 <= -1.7584,,0.1797,,,0.1302,,,0.1164,,,0.1106,,,0.1079,,,0.1064,,,0.1055,,,0.1048,,,0.1019
V14 <= -1.7585,,,0.1711,,,0.1239,,,0.1115,,,0.1063,,,0.1037,,,0.1023,,,0.1013,,,0.1006,,
V14 <= -1.7688,0.3913,,,0.1703,,,0.1514,,,0.1436,,,0.1395,,,0.1372,,,0.1357,,,0.1349,,,0.1309,
V14 <= -1.7704,,0.2214,,,0.1603,,,0.1434,,,0.1363,,,0.1329,,,0.1311,,,0.1299,,,0.1291,,,0.1256
V14 <= -1.7869,,,0.2108,,,0.1526,,,0.1374,,,0.1309,,,0.1277,,,0.126,,,0.1248,,,0.1239,,
V14 <= -1.8124,0.2907,0.2731,0.3991,0.2101,0.1978,0.2889,0.1868,0.1768,0.2601,0.1771,0.1681,0.248,0.1721,0.1639,0.2418,0.1692,0.1617,0.2385,0.1673,0.1603,0.2363,0.1664,0.1592,0.2346,0.1615,0.1549
V14 <= -1.8169,,,,,,0.0363,,,0.0327,,,0.0311,,,0.0304,,,0.0299,,,0.0297,,,0.0295,,
V14 <= -1.8273,0.318,,,0.1383,0.0703,0.0445,0.123,0.0629,0.04,0.1166,0.0598,0.0382,0.1133,0.0583,0.0372,0.1114,0.0575,0.0367,0.1102,0.057,0.0364,0.1095,0.0566,0.0361,0.1063,0.0551
V14 <= -2.7159,,,,0.1465,,,0.0825,,,0.1235,,,0.076,,,0.0747,,,0.0739,,,0.0735,,,0.0713,
V14 <= -2.7358,,,,,0.0787,,0.0478,0.0704,,,0.0669,,0.044,0.0652,,0.0433,0.0643,,0.0428,0.0638,,0.0426,0.0634,,0.0413,0.0616
V20 <= -0.8332,,,,,,0.0004,,,0.0013,,,0.0012,,,0.0012,,,0.0012,,,0.0012,,,0.0012,,
V26 <= -0.1289,,,0.0005,,,0.0003,,,0.0003,,,0.0003,,,0.0003,,,0.0003,,,0.0003,,,0.0003,,
V3 <= -0.8151,,,,,,0.0006,,,0.0005,,,0.0005,,,0.0005,,,0.0005,,,0.0005,,,0.0005,,
V3 <= -0.8457,,,,,,0.0004,,,0.0004,,,0.0003,,,0.0003,,,0.0003,,,0.0003,,,0.0003,,
V4 <= -0.0775,,,0.0043,,0.0041,0.0065,,0.0036,0.0059,,0.0035,0.0056,,0.0034,0.0055,,0.0033,0.0054,,0.0033,0.0053,,0.0033,0.0053,,0.0032
V4 <= -0.0994,,,0.0047,,,0.0034,,,0.003,,,0.0029,,,0.0028,,,0.0028,,,0.0028,,,0.0027,,
V4 <= -0.0999,,0.027,,,0.0041,,,0.0037,,,0.0035,,,0.0034,,,0.0034,,,0.0034,,,0.0033,,,0.0032
V4 <= -0.1824,,,,,0.0036,,,0.0033,,,0.0031,,,0.003,,,0.003,,,0.0029,,,0.0029,,,0.0029
V4 <= -0.1871,,,0.0034,,,0.0025,,,0.0022,,,0.0021,,,0.0021,,,0.002,,,0.002,,,0.002,,
V4 <= -0.4557,,,,,,0.0018,,,0.0025,,,0.0024,,,0.0015,,,0.0015,,,0.0014,,,0.0014,,
V4 <= -0.4578,,,0.0114,,0.0047,0.0083,,0.0042,0.0075,,0.004,0.0071,,0.0039,0.0069,,0.0044,0.0068,,0.0038,0.0067,,0.0038,0.0067,,0.0036
V4 <= -0.4698,,,,,0.0036,,,0.0032,,,0.003,,,0.003,,,0.0029,,,0.0029,,,0.0029,,,0.0028
