split,nest5_depth1,nest5_depth2,nest5_depth3,nest10_depth1,nest10_depth2,nest10_depth3,nest15_depth1,nest15_depth2,nest15_depth3,nest20_depth1,nest20_depth2,nest20_depth3,nest25_depth1,nest25_depth2,nest25_depth3,nest30_depth1,nest30_depth2,nest30_depth3,nest35_depth1,nest35_depth2,nest35_depth3,nest40_depth1,nest40_depth2,nest40_depth3,nest100_depth1,nest100_depth2,nest100_depth3,nest200_depth1,nest200_depth2,nest200_depth3
V10 <= -1.8473,,,0.137,,,0.0984,,,0.0679,,,0.0437,,,0.0323,,,0.0256,,,0.0212,,,0.018,,,0.0065,,,0.0032
V10 <= -11.3146,,,,,,0.0018,,,0.0025,,,0.0016,,,0.0024,,,0.0019,,,0.0016,,,0.0013,,,0.0005,,,0.0002
V10 <= 0.614,,,,,,0.0274,,,0.0189,,,0.0122,,,0.009,,,0.0071,,,0.0059,,,0.005,,,0.0018,,,0.0009
V11 <= 9.0185,,,,,,0.035,,,0.0422,,,0.0272,,,0.0201,,,0.0159,,,0.0132,,,0.0112,,,0.0041,,,0.002
V12 <= -2.1809,,0.0246,0.0253,,0.0098,0.0181,,0.0061,0.0125,,0.0044,0.0081,,0.0035,0.0059,,0.0029,0.0047,,0.0024,0.0039,,0.0021,0.0033,,0.0008,0.0012,,0.0004,0.0006
V12 <= -2.4396,,,0.1015,,,0.1002,,,0.0692,,,0.0446,,,0.0329,,,0.026,,,0.0216,,,0.0184,,,0.0067,,,0.0032
V12 <= -5.6718,,,0.0007,,,0.0005,,,0.0004,,,0.0002,,,0.0002,,,0.0001,,,0.0001,,,0.0001,,,0.0,,,0.0
V12 <= -6.404,,,0.0015,,,0.001,,,0.0007,,,0.0005,,,0.0003,,,0.0003,,,0.0002,,,0.0002,,,0.0001,,,0.0
V14 <= -3.182,,0.0247,0.0135,,0.0334,0.0097,,0.0355,0.0136,,0.0365,0.0087,,0.0371,0.0064,,0.0375,0.0051,,0.0377,0.0042,,0.0379,0.0036,,0.0387,0.0013,,0.0389,0.0006
V14 <= -3.9138,,,,,,,,,0.0094,,,0.006,,,0.0044,,,0.0035,,,0.0029,,,0.0025,,,0.0009,,,0.0004
V14 <= -4.6615,,,0.0059,,,0.0042,,,0.024,,,0.0033,,,0.0019,,,0.0019,,,0.0013,,,0.0017,,,0.0009,,,0.0009
V14 <= -4.6642,,,0.1563,,,0.1557,,,0.112,,,0.0714,,,0.0529,,,0.0417,,,0.0354,,,0.0298,,,0.0111,,,0.0056
V14 <= -7.7549,,0.0359,0.036,,0.0143,0.0258,,0.0089,0.0178,,0.0065,0.0115,,0.0051,0.0085,,0.0042,0.0067,,0.0036,0.0056,,0.0031,0.0047,,0.0012,0.0017,,0.0006,0.0008
V15 <= -0.4553,,,,,,0.0055,,,,,,0.0033,,,0.0018,,,0.0014,,,0.0012,,,0.0007,,,0.0002,,,0.0001
V17 <= -2.7038,0.7258,0.2919,0.3079,0.5402,0.1159,0.2393,0.43,0.0723,0.1612,0.357,0.0526,0.1112,0.3052,0.0413,0.076,0.2665,0.034,0.0615,0.2366,0.0289,0.0481,0.2126,0.0251,0.0452,0.096,0.0098,0.0164,0.0502,0.0049,0.0079
V17 <= -2.7145,,,0.035,,,0.0107,,,0.0115,,,,,,0.006,,,0.0034,,,0.0057,,,0.0007,,,0.0003,,,0.0001
V17 <= -2.7225,0.2742,,,0.4598,,,0.57,,,0.643,,,0.6948,,,0.7335,,,0.7634,,,0.7874,,,0.904,,,0.9498,,
V17 <= -3.051,,,,,,,,,,,,0.0102,,,0.0075,,,,,,,,,0.0042,,,0.0015,,,0.0007
V17 <= -3.0692,,,0.0097,,,0.0069,,,0.0048,,,,,,,,,0.006,,,0.0049,,,,,,,,,
V17 <= -3.0959,,0.029,,,0.0094,,,0.0058,,,0.0043,,,0.0033,,,0.0027,,,0.0023,,,0.002,,,0.0008,,,0.0004,
V17 <= -3.1354,,,0.0006,,,0.0004,,,0.0003,,,0.0002,,,0.0001,,,0.0001,,,0.0001,,,0.0001,,,0.0,,,0.0
V17 <= -3.1616,,,,,0.0084,,,0.009,,,0.0092,,,0.0094,,,0.0095,,,0.0095,,,0.0096,,,0.0098,,,0.0098,
V17 <= -3.1761,,,0.0205,,,0.0883,,,0.0741,,,0.0477,,,0.0352,,,0.0279,,,0.0231,,,0.0197,,,0.0071,,,0.0035
V17 <= -3.3262,,0.5778,0.0386,,0.8026,0.0277,,0.8583,0.0191,,0.8836,0.0123,,0.8981,0.0091,,0.9074,0.0072,,0.9139,0.006,,0.9188,0.0051,,0.9384,0.0018,,0.9447,0.0009
V17 <= -3.3989,,,0.0155,,,0.0111,,,0.0077,,,0.005,,,0.0037,,,0.0029,,,0.0024,,,0.002,,,0.0007,,,0.0004
V26 <= -0.2277,,0.016,0.0097,,0.0064,0.0069,,0.004,0.0048,,0.0029,0.0031,,0.0023,0.0023,,0.0019,0.0018,,0.0016,0.0015,,0.0014,0.0013,,0.0005,0.0005,,0.0003,0.0002
V27 <= 1.6751,,,0.0062,,,0.0044,,,0.0031,,,0.002,,,0.0015,,,0.0012,,,0.001,,,0.0008,,,0.0003,,,0.0001
V27 <= 1.7919,,,0.0604,,,0.0575,,,0.0397,,,0.0256,,,0.0189,,,0.0149,,,0.0124,,,0.0106,,,0.0038,,,0.0019
V4 <= 0.016,,,0.0039,,,0.0028,,,0.0019,,,0.0012,,,0.0009,,,0.0007,,,0.0006,,,0.0005,,,0.0002,,,0.0001
V4 <= 1.7535,,,,,,,,,0.0062,,,0.004,,,0.0029,,,0.0023,,,0.0019,,,0.0016,,,0.0006,,,0.0003
V7 <= -2.1809,,,0.0057,,,0.0082,,,0.0057,,,0.0037,,,0.0027,,,0.0021,,,0.0018,,,0.0015,,,0.0005,,,0.0003
V7 <= -3.562,,,0.0027,,,0.002,,,0.0014,,,0.0009,,,0.0006,,,0.0005,,,0.0004,,,0.0004,,,0.0001,,,0.0001
V7 <= -8.7174,,,,,,,,,0.0051,,,0.0008,,,,,,,,,,,,,,,,,,
V7 <= 0.2395,,,0.0062,,,0.0045,,,0.0031,,,0.002,,,0.0015,,,0.0012,,,0.001,,,0.0008,,,0.0003,,,0.0001
V7 <= 1.1003,,,,,,0.0283,,,0.0195,,,0.0126,,,0.0093,,,0.0073,,,0.0061,,,0.0052,,,0.0019,,,0.0009
V8 <= 3.4224,,,,,,0.0174,,,0.021,,,0.0135,,,0.01,,,0.0079,,,0.0066,,,0.0056,,,0.002,,,0.001
