split,nest5_depth1,nest5_depth2,nest5_depth3,nest10_depth1,nest10_depth2,nest10_depth3,nest15_depth1,nest15_depth2,nest15_depth3,nest20_depth1,nest20_depth2,nest20_depth3,nest25_depth1,nest25_depth2,nest25_depth3,nest30_depth1,nest30_depth2,nest30_depth3,nest35_depth1,nest35_depth2,nest35_depth3,nest40_depth1,nest40_depth2,nest40_depth3,nest100_depth1,nest100_depth2,nest100_depth3,nest200_depth1,nest200_depth2,nest200_depth3
age <= 6.5,,,,,,,,,0.0152,,,0.016,,,0.015,,,0.0146,,,0.0141,,,0.0137,,,0.0126,,,0.0114
change <= 0.5,,,0.0541,,,0.0571,,0.0541,0.0555,,0.0551,0.0659,,0.0602,0.0633,,0.06,0.0648,,0.0659,0.0639,,0.0679,0.0623,,0.0651,0.0544,,0.0618,0.0564
diag_1 <= 98.5,,,,,,,,,0.0056,,,0.0049,,,0.0067,,,0.007,,,0.0091,,,0.0086,,,0.0072,,,0.0064
discharge_disposition_id <= 1.5,,,,,,,,,,,,0.0012,,,0.0011,,,0.001,,,0.0024,,,0.0027,,,0.0075,,,0.0079
discharge_disposition_id <= 10,,,,,,,,,0.0513,,,0.0237,,,0.0309,,,0.0537,,,0.0448,,0.0258,0.0425,,0.0609,0.0401,,0.0397,0.0433
discharge_disposition_id <= 10.5,,,0.1043,,0.0988,0.1,,0.0814,0.042,,0.0813,0.0618,,0.0808,0.0566,,0.0828,0.0339,,0.0806,0.0445,,0.0551,0.0486,,0.0162,0.0461,,0.0368,0.0386
discharge_disposition_id <= 2.5,,,,,,,,,0.0027,,,,,,,,,,,,,,,,,,,,,
gender <= 0.5,,,,,,,,,0.0071,,,0.01,,,0.0139,,,0.0129,,,0.0139,,,0.0132,,,0.0136,,,0.0123
num_lab_procedures <= 35.5,,,,,,,,,0.0029,,,0.0026,,,0.0023,,,0.0021,,,0.002,,,0.0019,,,0.0015,,,0.0013
num_medications <= 6.5,,,,,,,,,0.005,,,0.0043,,,0.0039,,,0.0059,,,0.0056,,,0.0066,,,0.006,,,0.0054
num_procedures <= 0.5,,,,,,,,,0.0089,,,0.0078,,,0.0077,,,0.01,,,0.0108,,,0.0102,,,0.009,,,0.0092
number_diagnoses <= 5.5,,0.1604,0.0879,,0.1186,0.0925,,0.0779,0.0689,,0.078,0.0602,0.0907,0.0773,0.0567,0.0841,0.0716,0.0526,0.1109,0.0686,0.0519,0.0942,0.0687,0.0492,0.0774,0.0558,0.0394,0.0671,0.048,0.035
number_diagnoses <= 6.5,,,0.0164,,,,,0.013,0.0151,,0.0119,0.0132,,0.0107,0.0118,,0.0136,0.0109,,0.0095,0.0105,,0.0092,0.0099,,0.0079,0.0079,,0.0067,0.0073
number_emergency <= 0.5,,,,,,0.0244,,,0.0307,,,0.0343,,,0.0306,,,0.0322,,,0.0308,,,0.0292,,,0.0243,,,0.0221
number_inpatient <= 0.5,0.8399,0.8396,0.6209,0.7066,0.6422,0.5971,0.6943,0.5268,0.5077,0.6783,0.4884,0.4497,0.5197,0.4396,0.405,0.4962,0.4133,0.3759,0.5027,0.396,0.3591,0.4561,0.3833,0.3418,0.3662,0.3003,0.2698,0.3134,0.2575,0.2359
number_inpatient <= 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0183
number_inpatient <= 1.5,0.1601,,0.0701,0.2934,0.1403,0.068,0.3057,0.1404,0.0772,0.3217,0.1383,0.0727,0.2399,0.1245,0.0677,0.2065,0.1152,0.0628,0.2412,0.1105,0.06,0.1899,0.1069,0.0569,0.1538,0.0858,0.0462,0.1309,0.0735,0.0219
number_inpatient <= 2.5,,,0.034,,,0.0315,,0.0138,0.02,,0.0203,0.0175,,0.0232,0.0156,,0.0218,0.0153,,0.0206,0.0164,,0.0199,0.0155,,0.0179,0.0127,,0.0155,0.0117
number_inpatient <= 3.5,,,,,,,,0.0082,0.0117,,0.0075,0.0102,,0.0067,0.0091,,0.0083,0.0084,,0.0089,0.0081,,0.0087,0.0087,,0.0082,0.0077,,0.0072,0.0067
number_outpatient <= 0.5,,,0.0123,,,0.0296,,0.0446,0.038,,0.0482,0.0397,,0.0484,0.0387,,0.0445,0.038,,0.0464,0.0378,,0.0449,0.0359,,0.0394,0.0302,,0.0349,0.027
