split,nest5_depth1,nest5_depth2,nest5_depth3,nest10_depth1,nest10_depth2,nest10_depth3,nest15_depth1,nest15_depth2,nest15_depth3,nest20_depth1,nest20_depth2,nest20_depth3,nest25_depth1,nest25_depth2,nest25_depth3,nest30_depth1,nest30_depth2,nest30_depth3,nest35_depth1,nest35_depth2,nest35_depth3,nest40_depth1,nest40_depth2,nest40_depth3,nest100_depth1,nest100_depth2,nest100_depth3,nest200_depth1,nest200_depth2,nest200_depth3
admission_source_id <= 4,,,,,,,,,,,,,,,,,,,,,0.0267,,,,,,,,,
admission_source_id <= 4.5,,,0.0296,,0.0283,0.0306,,0.0385,0.0315,,0.0326,0.0275,,0.0294,0.0348,,0.0272,0.0284,,0.0255,,,,,,,,,,
admission_source_id <= 6.5,,,,,,,,,,,,,,,,,,,,,,,,0.0237,,,0.0224,,,0.0215
age_[30-40) <= 0.5,,,,,,,,,,,,,,,,,,0.004,,,,,,,,,,,,
age_[70-80) <= 0.5,,,,,,,,,,,,,,,,,,0.0113,,,,,,,,,,,,
age_[80-90) <= 0.5,,,,,0.0158,0.0128,,0.0125,0.0213,,0.0105,0.0194,,0.0095,0.0202,,0.0088,0.0077,,0.0085,0.0073,,,,,,,,,
diabetesMed_No <= 0.5,,,,,,,,,,,,,,,,,,,,,,,,0.0131,,,0.0088,,,0.0114
diabetesMed_Yes <= 0.5,,,,,,,,,,,,,,,,,,,,,,,0.0118,0.0051,,0.0159,0.0096,,0.0135,0.0063
diag_1_250.03 <= 0.5,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
diag_1_250.6 <= 0.5,,,,,0.0155,,,0.0122,,,0.0104,,,0.0093,,,0.0086,,,0.0081,,,,,,,,,,
diag_1_278 <= 0.5,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,0.0052,,,0.005
diag_1_428 <= 0.5,,,,,,0.0181,,,0.0247,,,0.0235,,,0.0204,,,0.0233,,,0.0219,,,0.0207,,,0.0202,,,0.019
diag_1_493 <= 0.5,,,0.016,,,0.0093,,,0.0072,,,,,,0.0059,,,0.0056,,,0.0054,,,,,,,,,
diag_1_574 <= 0.5,,,0.0262,,,0.0152,,,0.0117,,,0.0095,,,0.0132,,0.0129,0.0171,,0.0121,0.0139,,,,,,,,,
diag_2_250.12 <= 0.5,,,,,,,,,,,,0.0121,,,,,,,,,,,,,,,,,,
diag_2_250.6 <= 0.5,,,0.0232,,0.0232,0.0253,,0.0344,0.0195,,0.0391,0.0288,,0.0352,0.0292,,,0.0291,,,0.0303,,,,,,,,,
diag_2_781 <= 0.5,,,0.0262,,0.023,0.0529,,0.0331,0.0289,,0.028,0.0343,,0.0253,0.0368,,0.0304,0.0374,,0.0341,0.0388,,,,,,,,,
