split,nest5_depth1,nest5_depth2,nest5_depth3,nest10_depth1,nest10_depth2,nest10_depth3,nest15_depth1,nest15_depth2,nest15_depth3,nest20_depth1,nest20_depth2,nest20_depth3,nest25_depth1,nest25_depth2,nest25_depth3,nest30_depth1,nest30_depth2,nest30_depth3,nest35_depth1,nest35_depth2,nest35_depth3,nest40_depth1,nest40_depth2,nest40_depth3,nest100_depth1,nest100_depth2,nest100_depth3,nest200_depth1,nest200_depth2,nest200_depth3
AverageMInFile <= 42.5,,,,,,,,,0.0024,,,0.0056,,,0.0098,,,0.0095,,,0.0092,,,0.0091,,,0.0082,,,0.0073
AverageMInFile <= 49.5,,,0.0053,,0.0122,0.0214,,0.0148,0.0078,,0.0079,0.0101,,0.0075,0.0068,,0.0072,0.0066,,0.007,0.0064,,0.0068,0.007,,0.0062,0.0056,,0.0058,0.005
AverageMInFile <= 57.5,,,,,,,,,0.0024,,,,,,0.0021,,,0.002,,,0.002,,,0.0019,,,0.0017,,,0.0016
AverageMInFile <= 59.5,,,0.0079,,,,,,0.0048,,0.0134,0.0046,,0.0157,0.0042,,0.0121,0.0054,,0.0117,0.0053,,0.0115,0.0052,,0.0104,0.0047,,0.0098,0.0044
AverageMInFile <= 63.5,,,,,0.018,,,0.031,0.0061,,0.0178,0.0093,,0.0167,0.0054,,0.0161,0.0052,,0.0156,0.0051,,0.0153,0.005,,0.0138,0.0044,,0.013,0.0044
AverageMInFile <= 64.5,,,,,,0.0157,,,0.008,,,0.0076,,,0.007,,,0.0068,,,0.0066,,,0.0065,,,0.0058,,,0.0052
AverageMInFile <= 80.5,,,,,,,,,,,,0.0053,,,,,,,,,,,,,,,,,,
AverageMInFile <= 88.5,,,,,,,,,0.0018,,,,,,0.0016,,,0.0015,,,0.0015,,,0.0018,,,0.0015,,,0.0012
ExternalRiskEstimate <= 62.5,,,,,,,,,0.0018,,,,,,0.0031,,,0.003,,,0.0036,,,0.0029,,,0.0034,,,0.0033
ExternalRiskEstimate <= 63.5,,,0.0149,,,0.0182,,,0.0127,,,0.0197,,,0.0159,,,0.0171,,,0.0166,,,0.0166,,,0.0146,,,0.014
ExternalRiskEstimate <= 66.5,,,,,,,,,,,,0.0042,,,,,,,,,,,,,,,,,,
ExternalRiskEstimate <= 67.5,,,0.0371,,0.0309,0.0345,0.0594,0.0456,0.0311,0.0704,0.0407,0.0335,0.0514,0.0383,0.0336,0.0587,0.0368,0.0324,0.0565,0.0358,0.0316,0.0607,0.035,0.031,0.0471,0.0317,0.0277,0.0446,0.0298,0.0249
ExternalRiskEstimate <= 70.5,0.3221,,0.0055,0.3458,0.2055,0.1179,0.246,0.18,0.1466,0.2275,0.161,0.1396,0.2127,0.1518,0.1285,0.2034,0.1457,0.124,0.196,0.1415,0.1208,0.1904,0.1384,0.1187,0.1636,0.1254,0.106,0.1548,0.1179,0.0958
