split,nest5_depth1,nest5_depth2,nest5_depth3,nest10_depth1,nest10_depth2,nest10_depth3,nest15_depth1,nest15_depth2,nest15_depth3,nest20_depth1,nest20_depth2,nest20_depth3,nest25_depth1,nest25_depth2,nest25_depth3,nest30_depth1,nest30_depth2,nest30_depth3,nest35_depth1,nest35_depth2,nest35_depth3,nest40_depth1,nest40_depth2,nest40_depth3,nest100_depth1,nest100_depth2,nest100_depth3,nest200_depth1,nest200_depth2,nest200_depth3
capital_run_length_average <= 2.292,,,,,,0.0121,,,0.0105,,,0.0098,,,0.0094,,,0.0092,,,0.0091,,,0.009,,,0.0086,,,0.0084
capital_run_length_average <= 2.3995,,0.0331,0.0244,,0.0227,0.0172,,0.0193,0.0149,,0.0177,0.0138,,0.0168,0.0133,,0.0192,0.0131,,0.0159,0.0128,,0.0156,0.0127,,0.0148,0.0122,,0.0144,0.0119
capital_run_length_average <= 2.7545,,,,,,0.0076,,,0.0067,,,0.0062,,,0.0059,,,0.0058,,,0.0057,,,0.0057,,,0.0054,,,0.0053
capital_run_length_average <= 3.7345,,,,,,,,,,,,,,,,,,,,,,,,,,0.0106,,,,
capital_run_length_average <= 3.741,,,,,,,,0.0137,,,0.0125,,,0.0119,,,0.0168,,,0.0113,,,0.0111,,,,,,0.0103,
capital_run_length_longest <= 17.5,,0.0453,0.0342,,0.0311,0.024,,0.0264,0.021,,0.0242,0.0194,,0.023,0.0187,,0.0223,0.0183,,0.0218,0.018,,0.0214,0.0178,,0.0202,0.017,,0.0197,0.0166
capital_run_length_total <= 68.5,,,,,0.0163,0.0104,,0.0138,0.0091,,0.0127,0.0084,,0.012,0.0081,,0.0169,0.0079,,0.0114,0.0078,,0.0112,0.0077,,0.0106,0.0074,,0.0103,0.0072
char_freq_! <= 0.0795,0.3912,0.2486,0.169,0.3163,0.2586,0.2009,0.258,0.22,0.1854,0.2289,0.2013,0.1718,0.2246,0.1911,0.1655,0.2127,0.1857,0.1621,0.2042,0.1817,0.1593,0.1979,0.1782,0.1577,0.1747,0.1683,0.1507,0.1686,0.1644,0.147
char_freq_! <= 0.5065,,,,,,,,,,,,,,,0.0155,,,,,,0.037,,,,,,0.0191,,,0.0181
char_freq_! <= 0.5085,,,0.0599,,,0.0441,,,0.0433,,,0.0399,,,0.0258,,,0.0385,,,,,,0.0367,,,0.0173,,,0.0169
char_freq_! <= 0.5225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008
char_freq_! <= 0.5345,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,,
char_freq_! <= 0.55,,,,,,,,,,,,0.0014,,,,,,,,,,,,,,,,,,
char_freq_! <= 0.59,,,,,,,,,,,,,,,,,,,,,0.0009,,,,,,,,,
char_freq_$ <= 0.0295,,,,0.0864,0.0566,0.0638,0.0705,0.0494,0.0556,0.0626,0.0452,0.0515,0.0577,0.0429,0.0497,0.0547,0.0415,0.0486,0.0525,0.0407,0.0478,0.0509,0.04,0.0473,0.0449,0.0378,0.0452,0.0433,0.0369,0.0442
char_freq_$ <= 0.0395,,0.0879,,,0.0603,,,0.0513,,,0.0469,,,0.0445,,,0.0433,,,0.0423,,,0.0415,,,0.0392,,,0.0383,
char_freq_$ <= 0.0445,0.194,,0.1211,0.124,,0.0851,0.1012,,0.0742,0.0897,,0.0687,0.0828,,0.0662,0.0784,,0.0648,0.0753,,0.0637,0.073,,0.0631,0.0644,,0.0603,0.0622,,0.0589
char_freq_$ <= 0.0555,0.2595,0.2986,0.2329,0.1659,0.2173,0.1636,0.1784,0.1742,0.1427,0.1583,0.1594,0.1322,0.146,0.1513,0.1274,0.1383,0.156,0.1246,0.1327,0.1436,0.1226,0.1287,0.1411,0.1214,0.1136,0.1332,0.1159,0.1096,0.1301,0.1132
char_freq_$ <= 0.0805,,,,,,0.0045,,0.0108,0.0039,,0.0099,0.0055,,0.0094,0.0053,,,0.0052,,0.0089,0.0051,,0.0088,0.0051,,0.0083,0.0048,,0.0081,0.0047
char_freq_$ <= 0.164,,,0.0073,,,0.0051,,,0.0045,,,0.0041,,,0.0041,,,0.004,,,0.0038,,,0.0038,,,0.0036,,,0.0035
word_freq_1999 <= 0.065,,,,,,,,,,,,,,,,,,,,,0.0021,,,0.0025,,,0.0038,,,
word_freq_1999 <= 0.095,,,,,,,,,0.002,,,0.0018,,,0.0018,,,0.0023,,,,,,,,,,,,0.0021
word_freq_edu <= 0.165,,,,,,,,,0.0133,,,0.008,,,0.0102,,,0.014,,,,,,0.0107,,,,,,
word_freq_edu <= 0.175,,,,,,0.0083,,,,,,0.0021,,,,,,,,,0.0028,,,0.0011,,,0.0012,,,0.0037
word_freq_edu <= 0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017,,,0.0017
word_freq_edu <= 0.185,,,,,,,,,0.0013,,,,,,0.0038,,,,,,0.0017,,,,,,,,,0.0011
word_freq_edu <= 0.2,,,,,,,,,,,,0.0034,,,,,,,,,0.0025,,,,,,0.0032,,,
word_freq_edu <= 0.49,,,0.0129,,,0.0061,,,0.0063,,,0.0049,,,0.0061,,,0.0056,,,0.0061,,,0.006,,,0.0057,,,0.0051
word_freq_email <= 0.285,,,,,,,,,0.0026,,,0.0009,,,0.002,,,0.002,,,0.0008,,,0.0008,,,,,,0.0011
word_freq_email <= 0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012,,,0.0007
word_freq_free <= 0.025,,,,,0.0363,,,0.0451,,,0.051,,,0.0484,,,0.051,,,0.046,,,0.0462,,,0.0435,,,0.0425,
word_freq_free <= 0.105,,,0.0136,,,,,,0.0101,,,0.0016,,,0.0015,,,0.0015,,,0.0015,,,0.0086,,,0.0082,,,0.0014
word_freq_free <= 0.115,,,,,,0.0204,,,0.0092,,,0.0163,,,0.0157,,,0.0154,,,0.0151,,,0.0079,,,0.0075,,,0.0141
word_freq_free <= 0.135,,,,0.0777,,,0.1022,,,0.0907,,,0.0837,,,0.0792,,,0.0761,,,0.0737,,,0.0651,,,0.0628,,
word_freq_free <= 0.195,,0.0423,,,0.029,,,0.0247,,,0.0226,,,0.0214,,,0.0208,,,0.0204,,,0.02,,,0.0189,,,0.0184,
word_freq_free <= 0.215,,,0.022,,,0.0256,,,0.0223,,,0.0207,,,0.02,,,0.0196,,,0.0192,,,0.019,,,0.0182,,,0.0177
word_freq_free <= 0.63,,,,,,,,,0.0025,,,0.0023,,,0.0022,,,0.0022,,,0.0021,,,0.0021,,,0.0022,,,0.002
word_freq_george <= 0.005,,,,,,,,,,,,0.0048,,,0.0115,,,0.0122,,,0.0094,,,,,,,,,0.0104
word_freq_george <= 0.02,,,,,,,,,,,,0.0058,,,0.0039,,,0.007,,,0.0073,,,0.0085,,,0.0104,,,0.0092
word_freq_george <= 0.025,,,,,,,,,0.004,,,0.0039,,,,,,0.0063,,,,,,0.0031,,,0.0044,,,0.0008
word_freq_george <= 0.04,,,,,,,,,0.0101,,,0.0028,,,0.0036,,,,,,0.0056,,,0.0037,,,0.0037,,,0.0045
word_freq_george <= 0.08,,,0.0166,,,0.0138,,,0.005,,,0.0041,,,0.007,,,0.0052,,,0.0012,,,0.0028,,,,,,0.0009
word_freq_george <= 0.14,,,,,,0.0044,,,0.0022,,,0.0022,,,0.0033,,,,,,0.0033,,,0.0021,,,0.003,,,
word_freq_george <= 0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0042
word_freq_hp <= 0.12,,,,,0.0178,,,0.0143,,,0.0307,,,0.0329,,,0.0471,,,0.038,,,0.0395,,,0.0406,,,0.0401,
word_freq_hp <= 0.22,,,,,,0.0202,,0.0086,,,0.0079,0.0065,,0.0116,0.0128,,,0.0073,,0.0127,0.0085,,0.012,0.0099,,0.0113,0.0119,,0.0111,0.013
word_freq_hp <= 0.23,,,,,,,,,0.0242,,,0.0159,,,0.0107,,,0.0168,,,0.016,,,0.0143,,,0.0115,,,0.0089
word_freq_hp <= 0.385,,0.0497,0.0608,,0.0579,0.0176,,0.046,0.0468,,0.0231,0.0333,,0.0311,0.027,,0.0433,0.0197,,0.0394,0.0322,,0.029,0.0235,,0.0366,0.0276,,0.0358,0.0277
word_freq_hp <= 0.39,,,,,,0.0291,,,,,,0.0047,,,0.015,,,0.0222,,,0.0082,,,0.003,,,0.0106,,,0.0036
word_freq_hp <= 0.4,,,,,,,,,,,0.0189,0.0056,,0.0105,,,,,,,,,0.0098,0.0043,,,,,,0.0068
word_freq_hp <= 0.41,,,,,,,,,,,,,,,,,,,,,,,,0.0092,,,,,,
word_freq_meeting <= 0.46,,,,,,,,,,,,,,,,,,0.0017,,,,,,0.0019,,,,,,
word_freq_meeting <= 0.465,,,,,,,,,,,,,,,,,,,,,0.0026,,,,,,,,,
word_freq_meeting <= 0.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018
word_freq_meeting <= 0.48,,,,,,,,,,,,0.0011,,,0.001,,,,,,,,,,,,0.0013,,,
word_freq_money <= 0.01,,,0.0104,,,0.0145,,0.0154,0.0126,,0.0141,0.0145,,0.0134,0.014,,0.0159,0.0137,,0.0154,0.0135,,0.0142,0.0133,,0.0138,0.013,,0.0135,0.0128
word_freq_remove <= 0.01,0.1553,,,0.1694,,,0.1726,,,0.1531,,,0.1576,,,0.1587,,,0.1433,,,0.1389,,,0.1226,,0.0012,0.1183,,
word_freq_remove <= 0.045,,0.0621,0.0426,,0.0519,0.0445,,0.0562,0.0498,,0.0564,0.0414,,0.0403,0.0441,,0.0503,0.0392,,0.0473,0.0375,,0.0455,0.042,,0.036,0.0348,,0.042,0.0329
word_freq_remove <= 0.055,,0.1323,0.1617,,0.1122,0.1177,,0.0955,0.041,,0.0738,0.0054,,0.086,,,0.0872,0.1062,,0.0816,0.1006,,0.0802,0.0235,,0.0757,0.0098,,0.0742,0.0275
word_freq_remove <= 0.06,,,,,,,,,0.0756,,,0.1098,,,0.1038,,,,,,,,,0.0636,,,0.0905,,,0.0547
word_freq_remove <= 0.065,,,,,,0.0227,,,,,0.0167,,,,,,,,,,0.0045,,,,,,,,,
word_freq_remove <= 0.075,,,,,,,,,,,,,,,,,,,,,,,,0.0136,,,,,,0.0169
word_freq_remove <= 0.145,,,,,,,,,,,,,,,0.0042,,,,,,,,,,,,,,,
word_freq_your <= 0.375,,,0.0107,,,0.0118,,,0.0103,,,0.0096,,,0.0092,,,0.009,,,0.0089,,,0.0088,,,0.0084,,,0.0082
word_freq_your <= 0.6,,,,,,0.0048,,,,,,,,,,,,,,,,,,0.0036,,,,,,0.0033
word_freq_your <= 0.605,,,,0.0603,0.0321,,0.0492,0.0243,0.0251,0.0683,0.0222,0.0222,0.063,0.0211,0.0214,0.0597,0.0205,0.021,0.0646,0.02,0.0206,0.0626,0.0197,,0.049,0.0186,0.0196,0.0473,0.0182,
